Park,Date/Time,Wait Time
Magic Kingdom,2020-08-01 09:00:00,5
Magic Kingdom,2020-08-01 09:05:00,7
Magic Kingdom,2020-08-01 09:10:00,7
Magic Kingdom,2020-08-01 09:15:00,7
Magic Kingdom,2020-08-01 09:20:00,8
Magic Kingdom,2020-08-01 09:25:00,7
Magic Kingdom,2020-08-01 09:30:00,8
Magic Kingdom,2020-08-01 09:35:00,8
Magic Kingdom,2020-08-01 09:40:00,9
Magic Kingdom,2020-08-01 09:45:00,10
Magic Kingdom,2020-08-01 09:50:00,10
Magic Kingdom,2020-08-01 09:55:00,11
Magic Kingdom,2020-08-01 10:00:00,12
Magic Kingdom,2020-08-01 10:05:00,14
Magic Kingdom,2020-08-01 10:10:00,13
Magic Kingdom,2020-08-01 10:15:00,14
Magic Kingdom,2020-08-01 10:20:00,14
Magic Kingdom,2020-08-01 10:25:00,15
Magic Kingdom,2020-08-01 10:30:00,16
Magic Kingdom,2020-08-01 10:35:00,17
Magic Kingdom,2020-08-01 10:40:00,18
Magic Kingdom,2020-08-01 10:45:00,18
Magic Kingdom,2020-08-01 10:50:00,18
Magic Kingdom,2020-08-01 10:55:00,19
Magic Kingdom,2020-08-01 11:00:00,21
Magic Kingdom,2020-08-01 11:05:00,21
Magic Kingdom,2020-08-01 11:10:00,23
Magic Kingdom,2020-08-01 11:15:00,22
Magic Kingdom,2020-08-01 11:20:00,22
Magic Kingdom,2020-08-01 11:25:00,21
Magic Kingdom,2020-08-01 11:30:00,22
Magic Kingdom,2020-08-01 11:35:00,23
Magic Kingdom,2020-08-01 11:40:00,22
Magic Kingdom,2020-08-01 11:45:00,22
Magic Kingdom,2020-08-01 11:50:00,21
Magic Kingdom,2020-08-01 11:55:00,21
Magic Kingdom,2020-08-01 12:00:00,21
Magic Kingdom,2020-08-01 12:05:00,20
Magic Kingdom,2020-08-01 12:10:00,20
Magic Kingdom,2020-08-01 12:15:00,22
Magic Kingdom,2020-08-01 12:20:00,21
Magic Kingdom,2020-08-01 12:25:00,21
Magic Kingdom,2020-08-01 12:30:00,20
Magic Kingdom,2020-08-01 12:35:00,21
Magic Kingdom,2020-08-01 12:40:00,20
Magic Kingdom,2020-08-01 12:45:00,20
Magic Kingdom,2020-08-01 12:50:00,20
Magic Kingdom,2020-08-01 12:55:00,22
Magic Kingdom,2020-08-01 13:00:00,24
Magic Kingdom,2020-08-01 13:05:00,23
Magic Kingdom,2020-08-01 13:10:00,24
Magic Kingdom,2020-08-01 13:15:00,26
Magic Kingdom,2020-08-01 13:20:00,25
Magic Kingdom,2020-08-01 13:25:00,26
Magic Kingdom,2020-08-01 13:30:00,26
Magic Kingdom,2020-08-01 13:35:00,27
Magic Kingdom,2020-08-01 13:40:00,26
Magic Kingdom,2020-08-01 13:45:00,26
Magic Kingdom,2020-08-01 13:50:00,25
Magic Kingdom,2020-08-01 13:55:00,23
Magic Kingdom,2020-08-01 14:00:00,23
Magic Kingdom,2020-08-01 14:05:00,23
Magic Kingdom,2020-08-01 14:10:00,24
Magic Kingdom,2020-08-01 14:15:00,25
Magic Kingdom,2020-08-01 14:20:00,24
Magic Kingdom,2020-08-01 14:25:00,25
Magic Kingdom,2020-08-01 14:30:00,25
Magic Kingdom,2020-08-01 14:35:00,23
Magic Kingdom,2020-08-01 14:40:00,22
Magic Kingdom,2020-08-01 14:45:00,22
Magic Kingdom,2020-08-01 14:50:00,22
Magic Kingdom,2020-08-01 14:55:00,22
Magic Kingdom,2020-08-01 15:00:00,24
Magic Kingdom,2020-08-01 15:05:00,22
Magic Kingdom,2020-08-01 15:10:00,22
Magic Kingdom,2020-08-01 15:15:00,21
Magic Kingdom,2020-08-01 15:20:00,23
Magic Kingdom,2020-08-01 15:25:00,23
Magic Kingdom,2020-08-01 15:30:00,22
Magic Kingdom,2020-08-01 15:35:00,23
Magic Kingdom,2020-08-01 15:40:00,23
Magic Kingdom,2020-08-01 15:45:00,22
Magic Kingdom,2020-08-01 15:50:00,21
Magic Kingdom,2020-08-01 15:55:00,21
Magic Kingdom,2020-08-01 16:00:00,21
Magic Kingdom,2020-08-01 16:05:00,20
Magic Kingdom,2020-08-01 16:10:00,20
Magic Kingdom,2020-08-01 16:15:00,19
Magic Kingdom,2020-08-01 16:20:00,19
Magic Kingdom,2020-08-01 16:25:00,20
Magic Kingdom,2020-08-01 16:30:00,18
Magic Kingdom,2020-08-01 16:35:00,18
Magic Kingdom,2020-08-01 16:40:00,18
Magic Kingdom,2020-08-01 16:45:00,18
Magic Kingdom,2020-08-01 16:50:00,18
Magic Kingdom,2020-08-01 16:55:00,20
Magic Kingdom,2020-08-01 17:00:00,20
Magic Kingdom,2020-08-01 17:05:00,21
Magic Kingdom,2020-08-01 17:10:00,20
Magic Kingdom,2020-08-01 17:15:00,20
Magic Kingdom,2020-08-01 17:20:00,18
Magic Kingdom,2020-08-01 17:25:00,17
Magic Kingdom,2020-08-01 17:30:00,16
Magic Kingdom,2020-08-01 17:35:00,16
Magic Kingdom,2020-08-01 17:40:00,15
Magic Kingdom,2020-08-01 17:45:00,15
Magic Kingdom,2020-08-01 17:50:00,14
Magic Kingdom,2020-08-01 17:55:00,14
Magic Kingdom,2020-08-01 18:00:00,15
Magic Kingdom,2020-08-01 18:05:00,16
Magic Kingdom,2020-08-01 18:10:00,16
Magic Kingdom,2020-08-01 18:15:00,16
Magic Kingdom,2020-08-01 18:20:00,14
Magic Kingdom,2020-08-01 18:25:00,14
Magic Kingdom,2020-08-01 18:30:00,14
Magic Kingdom,2020-08-01 18:35:00,14
Magic Kingdom,2020-08-01 18:40:00,14
Magic Kingdom,2020-08-01 18:45:00,14
Magic Kingdom,2020-08-01 18:50:00,16
Magic Kingdom,2020-08-01 18:55:00,15
Magic Kingdom,2020-08-01 19:00:00,15
Magic Kingdom,2020-08-02 09:05:00,6
Magic Kingdom,2020-08-02 09:10:00,7
Magic Kingdom,2020-08-02 09:15:00,7
Magic Kingdom,2020-08-02 09:20:00,8
Magic Kingdom,2020-08-02 09:25:00,8
Magic Kingdom,2020-08-02 09:30:00,8
Magic Kingdom,2020-08-02 09:35:00,9
Magic Kingdom,2020-08-02 09:40:00,10
Magic Kingdom,2020-08-02 09:45:00,10
Magic Kingdom,2020-08-02 09:50:00,9
Magic Kingdom,2020-08-02 09:55:00,10
Magic Kingdom,2020-08-02 10:00:00,10
Magic Kingdom,2020-08-02 10:05:00,10
Magic Kingdom,2020-08-02 10:10:00,9
Magic Kingdom,2020-08-02 10:20:00,7
Magic Kingdom,2020-08-02 10:25:00,8
Magic Kingdom,2020-08-02 10:30:00,8
Magic Kingdom,2020-08-02 10:35:00,8
Magic Kingdom,2020-08-02 10:40:00,9
Magic Kingdom,2020-08-02 10:45:00,10
Magic Kingdom,2020-08-02 10:50:00,11
Magic Kingdom,2020-08-02 10:55:00,12
Magic Kingdom,2020-08-02 11:00:00,13
Magic Kingdom,2020-08-02 11:05:00,13
Magic Kingdom,2020-08-02 11:10:00,13
Magic Kingdom,2020-08-02 11:15:00,13
Magic Kingdom,2020-08-02 11:20:00,13
Magic Kingdom,2020-08-02 11:25:00,13
Magic Kingdom,2020-08-02 11:30:00,13
Magic Kingdom,2020-08-02 11:35:00,14
Magic Kingdom,2020-08-02 11:40:00,13
Magic Kingdom,2020-08-02 11:45:00,12
Magic Kingdom,2020-08-02 11:50:00,12
Magic Kingdom,2020-08-02 11:55:00,12
Magic Kingdom,2020-08-02 12:00:00,13
Magic Kingdom,2020-08-02 12:05:00,12
Magic Kingdom,2020-08-02 12:10:00,12
Magic Kingdom,2020-08-02 12:15:00,12
Magic Kingdom,2020-08-02 12:20:00,12
Magic Kingdom,2020-08-02 12:25:00,12
Magic Kingdom,2020-08-02 12:30:00,12
Magic Kingdom,2020-08-02 12:35:00,12
Magic Kingdom,2020-08-02 12:40:00,12
Magic Kingdom,2020-08-02 12:45:00,12
Magic Kingdom,2020-08-02 12:50:00,11
Magic Kingdom,2020-08-02 12:55:00,11
Magic Kingdom,2020-08-02 13:00:00,11
Magic Kingdom,2020-08-02 13:05:00,12
Magic Kingdom,2020-08-02 13:10:00,12
Magic Kingdom,2020-08-02 13:15:00,13
Magic Kingdom,2020-08-02 13:20:00,14
Magic Kingdom,2020-08-02 13:25:00,13
Magic Kingdom,2020-08-02 13:30:00,14
Magic Kingdom,2020-08-02 13:35:00,14
Magic Kingdom,2020-08-02 13:40:00,14
Magic Kingdom,2020-08-02 13:45:00,14
Magic Kingdom,2020-08-02 13:50:00,13
Magic Kingdom,2020-08-02 13:55:00,13
Magic Kingdom,2020-08-02 14:00:00,13
Magic Kingdom,2020-08-02 14:05:00,13
Magic Kingdom,2020-08-02 14:10:00,13
Magic Kingdom,2020-08-02 14:15:00,14
Magic Kingdom,2020-08-02 14:20:00,14
Magic Kingdom,2020-08-02 14:25:00,14
Magic Kingdom,2020-08-02 14:30:00,13
Magic Kingdom,2020-08-02 14:35:00,13
Magic Kingdom,2020-08-02 14:40:00,12
Magic Kingdom,2020-08-02 14:45:00,11
Magic Kingdom,2020-08-02 14:50:00,11
Magic Kingdom,2020-08-02 14:55:00,11
Magic Kingdom,2020-08-02 15:00:00,11
Magic Kingdom,2020-08-02 15:05:00,13
Magic Kingdom,2020-08-02 15:10:00,13
Magic Kingdom,2020-08-02 15:15:00,13
Magic Kingdom,2020-08-02 15:20:00,13
Magic Kingdom,2020-08-02 15:25:00,14
Magic Kingdom,2020-08-02 15:30:00,13
Magic Kingdom,2020-08-02 15:35:00,12
Magic Kingdom,2020-08-02 15:40:00,10
Magic Kingdom,2020-08-02 15:45:00,11
Magic Kingdom,2020-08-02 15:50:00,10
Magic Kingdom,2020-08-02 15:55:00,11
Magic Kingdom,2020-08-02 16:00:00,10
Magic Kingdom,2020-08-02 16:05:00,9
Magic Kingdom,2020-08-02 16:10:00,9
Magic Kingdom,2020-08-02 16:15:00,8
Magic Kingdom,2020-08-02 16:20:00,9
Magic Kingdom,2020-08-02 16:25:00,9
Magic Kingdom,2020-08-02 16:30:00,9
Magic Kingdom,2020-08-02 16:40:00,10
Magic Kingdom,2020-08-02 16:45:00,10
Magic Kingdom,2020-08-02 16:50:00,10
Magic Kingdom,2020-08-02 16:55:00,9
Magic Kingdom,2020-08-02 17:00:00,10
Magic Kingdom,2020-08-02 17:05:00,11
Magic Kingdom,2020-08-02 17:10:00,11
Magic Kingdom,2020-08-02 17:15:00,11
Magic Kingdom,2020-08-02 17:20:00,11
Magic Kingdom,2020-08-02 17:25:00,9
Magic Kingdom,2020-08-02 17:30:00,9
Magic Kingdom,2020-08-02 17:35:00,8
Magic Kingdom,2020-08-02 17:40:00,8
Magic Kingdom,2020-08-02 17:45:00,8
Magic Kingdom,2020-08-02 17:50:00,8
Magic Kingdom,2020-08-02 17:55:00,8
Magic Kingdom,2020-08-02 18:00:00,8
Magic Kingdom,2020-08-02 18:05:00,9
Magic Kingdom,2020-08-02 18:10:00,9
Magic Kingdom,2020-08-02 18:15:00,8
Magic Kingdom,2020-08-02 18:20:00,8
Magic Kingdom,2020-08-02 18:25:00,8
Magic Kingdom,2020-08-02 18:30:00,8
Magic Kingdom,2020-08-02 18:35:00,8
Magic Kingdom,2020-08-02 18:40:00,8
Magic Kingdom,2020-08-02 18:45:00,8
Magic Kingdom,2020-08-02 18:50:00,7
Magic Kingdom,2020-08-02 18:55:00,7
Magic Kingdom,2020-08-02 19:00:00,7
