Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,6,1,1,Import,12,Algeria,DZA,0,World,WLD,,,,,,,,441210,"Plywood, veneered panels and similar laminated wood; of bamboo",12,Volume in cubic meters,61,,,,39852,,33455,,,2
H5,2017,2017,2017,6,1,1,Import,36,Australia,AUS,0,World,WLD,,,,,,,,441210,"Plywood, veneered panels and similar laminated wood; of bamboo",12,Volume in cubic meters,4897,,,,1307168,,2090384,,,4
H5,2017,2017,2017,6,1,2,Export,36,Australia,AUS,0,World,WLD,,,,,,,,441210,"Plywood, veneered panels and similar laminated wood; of bamboo",12,Volume in cubic meters,2925,,,,186498,,295452,,,4
H5,2017,2017,2017,6,1,1,Import,40,Austria,AUT,0,World,WLD,,,,,,,,441210,"Plywood, veneered panels and similar laminated wood; of bamboo",1,No Quantity,0,,,,23248,,69685,,,2
H5,2017,2017,2017,6,1,2,Export,40,Austria,AUT,0,World,WLD,,,,,,,,441210,"Plywood, veneered panels and similar laminated wood; of bamboo",12,Volume in cubic meters,0,,,,8,,125,,,2
H5,2017,2017,2017,6,1,1,Import,48,Bahrain,BHR,0,World,WLD,,,,,,,,441210,"Plywood, veneered panels and similar laminated wood; of bamboo",12,Volume in cubic meters,3400,,,,144023,,110128,,,0
H5,2017,2017,2017,6,1,2,Export,48,Bahrain,BHR,0,World,WLD,,,,,,,,441210,"Plywood, veneered panels and similar laminated wood; of bamboo",12,Volume in cubic meters,51,,,,3291,,4153,,,0
H5,2017,2017,2017,6,1,3,Re-Export,48,Bahrain,BHR,0,World,WLD,,,,,,,,441210,"Plywood, veneered panels and similar laminated wood; of bamboo",12,Volume in cubic meters,51,,,,3291,,4153,,,0
H5,2017,2017,2017,6,1,1,Import,56,Belgium,BEL,0,World,WLD,,,,,,,,441210,"Plywood, veneered panels and similar laminated wood; of bamboo",12,Volume in cubic meters,12377,,,,971348,,1694525,,,0
H5,2017,2017,2017,6,1,2,Export,56,Belgium,BEL,0,World,WLD,,,,,,,,441210,"Plywood, veneered panels and similar laminated wood; of bamboo",12,Volume in cubic meters,5780,,,,1315741,,1154277,,,0
H5,2017,2017,2017,6,1,1,Import,60,Bermuda,BMU,0,World,WLD,,,,,,,,441210,"Plywood, veneered panels and similar laminated wood; of bamboo",12,Volume in cubic meters,9053,,,,250284,,416546,,,4
H5,2017,2017,2017,6,1,1,Import,68,Bolivia (Plurinational State of),BOL,0,World,WLD,,,,,,,,441210,"Plywood, veneered panels and similar laminated wood; of bamboo",12,Volume in cubic meters,5057,,,,101338,,96379,,,0
H5,2017,2017,2017,6,1,1,Import,70,Bosnia Herzegovina,BIH,0,World,WLD,,,,,,,,441210,"Plywood, veneered panels and similar laminated wood; of bamboo",1,No Quantity,0,,,,2243,,4262,,,2
H5,2017,2017,2017,6,1,1,Import,76,Brazil,BRA,0,World,WLD,,,,,,,,441210,"Plywood, veneered panels and similar laminated wood; of bamboo",12,Volume in cubic meters,79,,,,70326,,164415,,,0
H5,2017,2017,2017,6,1,2,Export,76,Brazil,BRA,0,World,WLD,,,,,,,,441210,"Plywood, veneered panels and similar laminated wood; of bamboo",12,Volume in cubic meters,4,,,,60,,2034,,,2
H5,2017,2017,2017,6,1,1,Import,96,Brunei Darussalam,BRN,0,World,WLD,,,,,,,,441210,"Plywood, veneered panels and similar laminated wood; of bamboo",12,Volume in cubic meters,175,,,,1150,,1915,,,4
H5,2017,2017,2017,6,1,1,Import,100,Bulgaria,BGR,0,World,WLD,,,,,,,,441210,"Plywood, veneered panels and similar laminated wood; of bamboo",12,Volume in cubic meters,24,,,,7463,,12180,,,2
H5,2017,2017,2017,6,1,1,Import,104,Myanmar,MMR,0,World,WLD,,,,,,,,441210,"Plywood, veneered panels and similar laminated wood; of bamboo",1,No Quantity,0,,,,22590,,25045,,,4
H5,2017,2017,2017,6,1,1,Import,112,Belarus,BLR,0,World,WLD,,,,,,,,441210,"Plywood, veneered panels and similar laminated wood; of bamboo",12,Volume in cubic meters,102,,,,23310,,18400,,,0
H5,2017,2017,2017,6,1,2,Export,112,Belarus,BLR,0,World,WLD,,,,,,,,441210,"Plywood, veneered panels and similar laminated wood; of bamboo",12,Volume in cubic meters,117,,,,79804,,76900,,,0
H5,2017,2017,2017,6,1,1,Import,116,Cambodia,KHM,0,World,WLD,,,,,,,,441210,"Plywood, veneered panels and similar laminated wood; of bamboo",1,No Quantity,0,,,,14995,,23980,,,6
H5,2017,2017,2017,6,1,1,Import,124,Canada,CAN,0,World,WLD,,,,,,,,441210,"Plywood, veneered panels and similar laminated wood; of bamboo",12,Volume in cubic meters,135479,,,,0,,5776460,,,4
H5,2017,2017,2017,6,1,2,Export,124,Canada,CAN,0,World,WLD,,,,,,,,441210,"Plywood, veneered panels and similar laminated wood; of bamboo",12,Volume in cubic meters,206,,,,78215,,123909,,,4
H5,2017,2017,2017,6,1,3,Re-Export,124,Canada,CAN,0,World,WLD,,,,,,,,441210,"Plywood, veneered panels and similar laminated wood; of bamboo",12,Volume in cubic meters,40,,,,10496,,16628,,,4
