name,state_name,state_fips,cnty_fips,fips,population,white,black,ameri_es,asian,hawn_pi,hispanic,other,mult_race,ave_hh_sz,hsehld_1_m,hsehld_1_f,marhh_chd,marhh_no_c,mhh_child,fhh_child,families,ave_fam_sz,hse_units,vacant,owner_occ,renter_occ,no_farms12,ave_size12,crop_acr12,ave_sale12,sqmi,no_farms17,ave_size17,crop_acr17,ave_sale17,shape_length,shape_area
Riverside,California,06,065,06065,2456530,1335147,140543,23710,130468,6874,995257,448235,104664,3.14,58397,74097,202045,174336,27090,60935,510241,3.61,800707,114447,462212,224048,2949.0,117.0,227246.0,352305.0,7303.15,2667.0,99.0,179739.0,349450.0,7.961844894160085,1.8404130112643335
Sacramento,California,06,067,06067,1543998,815151,147058,14308,203211,13858,306196,131691,93511,2.71,57076,76350,115571,116249,18283,49318,338982,3.31,555932,41987,295482,218463,1352.0,183.0,105721.0,241559.0,993.92,1161.0,224.0,118773.0,370759.0,3.281643909776455,0.2656589477156253
San Benito,California,06,069,06069,64284,35181,483,895,1443,94,31186,14471,2702,3.27,1199,1390,5559,4647,701,1440,13436,3.61,17870,1065,10927,5878,628.0,962.0,38532.0,261197.0,1390.46,610.0,853.0,35577.0,267059.0,3.7204237104548623,0.36272644440301444
San Bernardino,California,06,071,06071,2193288,1153161,181862,22689,128603,6870,1001145,439661,102364,3.26,50015,58080,183731,143196,27937,67392,470440,3.68,699637,88019,383573,228045,1249.0,62.0,29827.0,466157.0,20105.66,1062.0,64.0,29305.0,352096.0,10.456590033603623,5.132243848604902
San Diego,California,06,073,06073,3318139,1981442,158213,26340,336091,15337,991348,419465,158425,2.75,120318,140899,263046,268879,31706,81366,720480,3.31,1164786,77921,591025,495840,5732.0,39.0,68219.0,126657.0,4236.43,5082.0,44.0,64080.0,163601.0,6.454924795931614,1.0591026834003718
San Francisco,California,06,075,06075,881791,390387,48870,4024,267915,3359,121774,53021,37659,2.26,66729,66637,43772,65665,4834,13707,151029,3.11,376942,31131,123646,222165,6.0,2.0,9.0,0.0,47.38,10.0,9.0,0.0,60004.0,1.1824385865101643,0.012547410318324447
San Joaquin,California,06,077,06077,766311,349287,51744,7196,98472,3758,266341,131054,43795,3.12,18734,23655,62177,50231,9830,22624,161057,3.59,233755,18748,127270,87737,3580.0,220.0,517918.0,628536.0,1426.47,3430.0,225.0,524356.0,634404.0,3.2923590567456227,0.37863236593494115
San Luis Obispo,California,06,079,06079,285549,222756,5550,2536,8507,389,55973,19786,10113,2.48,11443,15330,19052,30679,2553,5691,63691,2.97,117315,15299,60920,41096,2666.0,502.0,255378.0,249431.0,3319.9,2349.0,396.0,246361.0,298676.0,6.489617869274661,0.8530150108027965
San Mateo,California,06,081,06081,746752,383535,20436,3306,178118,10317,182502,84529,38210,2.75,26483,36736,65709,69501,6185,14909,175607,3.28,271031,13194,153110,104727,334.0,144.0,8477.0,227212.0,456.68,241.0,191.0,6891.0,329562.0,2.6895495569657397,0.12039780308548766
Santa Barbara,California,06,083,06083,446904,295124,8513,5485,20665,806,181687,73860,19442,2.86,14680,20578,33171,35663,4207,9675,91600,3.39,152834,10730,74827,67277,1597.0,439.0,132323.0,737580.0,2751.18,1467.0,487.0,146259.0,1036090.0,7.175144345684891,0.7008516518061951
Santa Clara,California,06,085,06085,1920646,836616,46428,12960,570524,7060,479210,220806,87248,2.9,61728,69778,176144,154396,16072,37138,426824,3.39,631920,27716,348298,255906,1003.0,229.0,38350.0,243100.0,1298.39,890.0,324.0,34273.0,348524.0,3.937322306503108,0.34145023531285656
Santa Cruz,California,06,087,06087,270370,190208,2766,2253,11112,349,84092,43376,12318,2.66,11156,13770,19979,23355,2595,6139,57770,3.22,104476,10121,54229,40126,667.0,150.0,41094.0,848328.0,446.74,625.0,102.0,23470.0,970464.0,2.390633680675027,0.117216702263837
Shasta,California,06,089,06089,179588,153726,1548,4950,4391,271,14878,4501,7836,2.48,8020,10165,12667,21768,2442,5529,46981,2.94,77313,6967,45277,25069,1544.0,244.0,36855.0,42501.0,3847.44,1337.0,307.0,38941.0,46547.0,5.742142901640182,1.0627534166609613
Sierra,California,06,091,06091,3187,3022,6,44,12,2,269,75,79,2.16,239,224,197,553,42,63,926,2.67,2328,846,1065,417,48.0,815.0,4019.0,0.0,962.04,38.0,1501.0,3697.0,106005.0,3.0636335923208633,0.26121407182482587
Siskiyou,California,06,093,06093,44997,38030,571,1814,540,80,4615,1491,2374,2.28,2830,3237,2930,6254,615,1335,12065,2.82,23910,4405,12629,6876,929.0,778.0,194828.0,240146.0,6347.52,745.0,923.0,142837.0,258302.0,7.29108200016617,1.775321788815416
Solano,California,06,095,06095,445432,210751,60750,3212,60473,3564,99356,43236,31358,2.83,13272,17801,34815,37711,5144,13311,101989,3.3,152698,10940,89648,52110,860.0,473.0,169637.0,357463.0,889.75,849.0,404.0,152139.0,349337.0,2.759049446922164,0.2372361431775048
Sonoma,California,06,097,06097,492485,371412,7610,6489,18341,1558,120430,56966,21502,2.55,20404,30266,38463,49076,5900,12118,117114,3.11,204572,18747,112280,73545,3579.0,165.0,130632.0,272253.0,1590.02,3594.0,158.0,129883.0,255719.0,4.111357733906237,0.425445620279273
Stanislaus,California,06,099,06099,549370,337342,14721,5902,26090,3401,215658,99210,27787,3.08,13938,17985,47179,40837,7508,15905,124032,3.52,179503,14323,99364,65816,4143.0,185.0,340890.0,537807.0,1513.84,3621.0,200.0,404702.0,697690.0,3.9172000514300227,0.39982345048203244
Sutter,California,06,101,06101,97881,57749,1919,1365,13663,281,27251,14463,5297,2.98,2796,3806,8719,8461,1249,2678,23243,3.46,33858,2421,19212,12225,1358.0,276.0,275849.0,374209.0,608.55,1157.0,329.0,257339.0,356252.0,2.7994716063079657,0.16397223340732556
Tehama,California,06,103,06103,65713,51721,406,1644,656,76,13906,6258,2702,2.63,2620,3092,4964,7190,907,2024,16642,3.09,26987,3220,15363,8404,1743.0,354.0,89348.0,138163.0,2962.23,1479.0,415.0,77153.0,147640.0,5.1977571250469765,0.8106249369642178
Trinity,California,06,105,06105,13706,12033,59,655,94,16,959,217,712,2.2,1133,816,746,2001,230,321,3620,2.73,8681,2598,4284,1799,247.0,712.0,2084.0,20894.0,3207.59,185.0,356.0,1737.0,0.0,6.253089175654338,0.8845403603576595
Tulare,California,06,107,06107,474490,265618,7196,6993,15176,509,268065,128263,18424,3.36,9512,12076,41260,30089,7285,15261,102856,3.74,141696,11344,76586,53766,4931.0,251.0,677506.0,814657.0,4838.62,4187.0,299.0,721368.0,1068739.0,5.371672852351282,1.256111348716205
Tuolumne,California,06,109,06109,56087,48274,1143,1039,572,76,5918,2238,2023,2.3,2826,3437,3255,7866,675,1230,14278,2.77,31244,9088,15471,6685,391.0,225.0,2785.0,70720.0,2276.53,417.0,294.0,1519.0,77383.0,5.208040520159849,0.6050175094042997
Ventura,California,06,111,06111,857801,565804,15163,8068,55446,1643,331567,140253,36941,3.04,22021,31016,76893,73619,8896,18955,197178,3.47,281695,14775,174168,92752,2150.0,131.0,101084.0,669829.0,1857.01,2135.0,122.0,123361.0,765008.0,3.923277629656789,0.4718589927952156
Yolo,California,06,113,06113,220785,126883,5208,2214,26052,910,60953,27882,11700,2.74,6984,9267,16635,16100,1912,5168,44101,3.26,75054,4182,37416,33456,1011.0,456.0,306915.0,555134.0,1023.36,949.0,484.0,312775.0,602265.0,3.374194192788159,0.27441794826355287
Yuba,California,06,115,06115,79831,49332,2361,1675,4862,293,18051,8545,5087,2.92,2566,2598,6438,5962,1125,2385,17548,3.39,27635,3328,14468,9839,795.0,236.0,89761.0,243332.0,643.57,764.0,235.0,79314.0,234438.0,2.873590379420696,0.1739774451457439
