MSSA_COUNTY,MSSA_ID,MSSA_NAME,Total_Population,EST_Physicians,EST_FNPPA,EST_Providers,Provider_Ratio,Score_Provider_Ratio,Pop_100FPL,PCT_100FPL,Score_Poverty,Score_Total,PCSA,Effective Date
Contra Costa,18f,Richmond Central/San Pablo Central,101796,83,23.9,100.9,1008.9,1,19860,0.195,3,4,No,1/30/2020
Contra Costa,18g,El Cerrito/El Sobrante/Kensington/Richmond North/Richmond Southeast/Wildcat Canyon,82922,15,7.3,20.5,4045,5,8545,0.103,2,7,Yes,1/30/2020
Contra Costa,18h,Alamo/Danville/Diablo/San Ramon,141808,110.5,39.1,139.8,1014.4,1,5360,0.038,0,1,No,1/30/2020
Contra Costa,18i,Lafayette/Martinez South/Moraga/Orinda/Pleasant Hill/Rheem Valley/Rossmoor Leisure World/Walnut Creek Southwest,113632,123.5,29.2,145.4,781.5,0,4676,0.041,0,0,No,1/30/2020
Contra Costa,18j,Clayton/Concord South/Walnut Creek Central and East,104015,301,74.3,356.7,291.6,0,5805,0.056,1,1,No,1/30/2020
Del Norte,19,Crescent City/Gasquet/Klamath/Smith River,23970,11.5,9.6,18.7,1281.8,1,5571,0.232,4,5,Yes,1/30/2020
El Dorado,22,Garden Valley/Georgetown/Greenwood/Kelsey/Volcanoville,10507,0,3.3,2.5,4202.8,5,1356,0.129,2,7,Yes,1/30/2020
El Dorado,23.1,Cameron Park/El Dorado Hills/Shingle Springs,68529,27,9.3,33.9,2021.5,3,4256,0.062,1,4,No,1/30/2020
El Dorado,23.2,Camino/Pollock Pines,24789,1,0.7,1.5,16526,5,3448,0.139,2,7,Yes,1/30/2020
El Dorado,23.3,Cool/Diamond Springs/Latrobe/Pilot Hill/Placerville,50182,26,23.6,43.7,1148.3,1,5074,0.101,2,3,No,1/30/2020
El Dorado,24,South Lake Tahoe,29312,12,9.3,18.9,1550.9,2,3862,0.132,2,4,No,1/30/2020
Fresno,25,Firebaugh/Mendota,22027,2,3.6,4.7,4686.6,5,8444,0.383,5,10,Yes,1/30/2020
Fresno,26,Cantua Creek/San Joaquin/Tranquility,6635,2,0.3,2.2,3015.9,5,2266,0.342,5,10,Yes,1/30/2020
Fresno,27,Coalinga,14105,6.5,5.3,10.5,1343.3,1,3265,0.231,4,5,Yes,1/30/2020
Fresno,28,Huron,8016,2,1,2.7,2968.9,4,3411,0.426,5,9,Yes,1/30/2020
Fresno,29,Biola/Herndon/Highway City/Kerman,44473,6,6.3,10.7,4156.4,5,8543,0.192,3,8,Yes,1/30/2020
Fresno,30,Bowles/Caruthers/Easton/Kingsburg/Lanare/Laton/Raisin City/Riverdale/Selma,92775,34.3,18.2,48,1932.8,2,25724,0.277,5,7,Yes,1/30/2020
Fresno,31,Auberry/Calwa/Centerville/Clovis East/Del Rey/Fowler/Friant/Sanger/Shaver Lake,104683,33.3,17.5,46.5,2251.2,3,14654,0.14,2,5,Yes,1/30/2020
Fresno,32,Orange Cove/Parlier/Reedley/Squaw Valley/Tivy Valley/Wonder Valley,63664,24.2,13.2,34.1,1867,2,19705,0.31,5,7,Yes,1/30/2020
Fresno,35a,Fresno Northwest,138199,90.3,84.8,153.9,898,0,13221,0.096,1,1,No,1/30/2020
Fresno,35b,Clovis West/Fresno East,109493,8.5,14.6,19.4,5644,5,19053,0.174,3,8,Yes,1/30/2020
Fresno,35c,Fresno West Central,83009,59.8,104.2,138,601.5,0,31479,0.379,5,5,Yes,1/30/2020
Fresno,35d,Fresno East Central,95655,15.3,17.9,28.7,3332.9,5,39336,0.411,5,10,Yes,1/30/2020
Fresno,35e,Fresno South and West,93102,4,10,11.5,8095.8,5,33853,0.364,5,10,Yes,1/30/2020
Fresno,35f,Fresno North Central,79673,100.3,83.7,163.1,488.5,0,20086,0.252,5,5,Yes,1/30/2020
Glenn,36.1,Orland,12772,4,4.3,7.2,1773.9,2,2938,0.23,4,6,Yes,1/30/2020
Glenn,36.2,Hamilton City,3886,0,0,0,,5,653,0.168,3,8,Yes,1/30/2020
Glenn,37,Artois/Elk Creek/Glenn/Grindstone Indian Rancheria/Willows,10884,2,5.6,6.2,1755.5,2,1813,0.167,3,5,Yes,1/30/2020
Humboldt,38,Hoopa/Willow Creek,5728,1.5,7.7,7.2,795.6,0,2199,0.384,5,5,Yes,1/30/2020
Humboldt,39,Arcata/Eureka,70697,35.5,56.3,77.8,908.7,0,16226,0.23,4,4,No,1/30/2020
Humboldt,40,Bluelake/McKinleyville/Orick/Trinidad,23371,10,5.3,14,1669.4,2,3767,0.161,3,5,Yes,1/30/2020
Humboldt,42,Ferndale/Fortuna/Rio Dell/Scotia,25659,8,13,17.7,1449.7,1,3813,0.149,2,3,No,1/30/2020
Humboldt,44,Garberville/Redway,6723,2,6,6.5,1034.3,1,1476,0.22,4,5,Yes,1/30/2020
Imperial,46,Bard/Winterhaven,1902,0,2.3,1.7,1118.8,1,571,0.3,5,6,Yes,1/30/2020
Imperial,47,Bombay Beach/Calipatria/Desert Shores/Niland/Salton City/Salton Sea Beach,11757,6,1.7,7.2,1632.9,2,4225,0.359,5,7,Yes,1/30/2020
Imperial,48,El Centro/Heber/Holtville/Imperial/Seeley,85681,17,30.2,39.6,2163.7,3,17013,0.199,3,6,Yes,1/30/2020
Imperial,49,Calexico/Ocotillo,41102,11.5,6.6,16.5,2491,3,10241,0.249,4,7,Yes,1/30/2020
Imperial,50,Brawley/Westmorland,29559,13,20.9,28.7,1029.9,1,8326,0.282,5,6,Yes,1/30/2020
Inyo,53,Bishop/Bishop Paiute Tribe/Mustang Mesa/Round Valley/West Bishop/Wilkerson,12675,16,6,20.5,618.3,0,1072,0.085,1,1,No,1/30/2020
Inyo,54,Aberdeen/Big Pine/Big Pine Reservation/Fort Independence Indian/Independence,2322,0,0,0,,5,255,0.11,2,7,Yes,1/30/2020
Inyo,55,Alabama Hills/Cartago/Darwin/Keeler/Lone Pine/Lone Pine Paiute Shoshone Tribe/Olancha/Pearsonville,2740,1,2.3,2.7,1014.8,1,479,0.175,3,4,No,1/30/2020
Kern,57.1,Fort Tejon/Frazier Park/Lebec/Pine Mountain,8351,0.5,0,0.5,16702,5,1705,0.204,4,9,Yes,1/30/2020
Kern,57.2,BlackwellGÇÖs Corners/Ford City/Maricopa/McKittrick/Taft,19661,1.5,1.7,2.7,7281.9,5,5404,0.275,5,10,Yes,1/30/2020
Kern,58.1,Shafter,20570,7.5,6.3,12.2,1686.1,2,5177,0.252,5,7,Yes,1/30/2020
Kern,58.2,Lost Hills/Wasco,24169,6.5,8,12.5,1933.5,2,6730,0.278,5,7,Yes,1/30/2020
Kern,59,Buttonwillow,3579,1,0.3,1.2,2982.5,4,945,0.264,5,9,Yes,1/30/2020
Kern,60,Delano/McFarland,60420,43.5,14.6,54.4,1110.7,1,16363,0.271,5,6,Yes,1/30/2020
Kern,61,Arvin/Lamont/Weed Patch,43018,15,5,18.7,2300.4,3,13422,0.312,5,8,Yes,1/30/2020
Kern,62,Bear Valley Springs/Keene/Stallion Springs/Tehachapi,30976,19.5,5.9,23.9,1296.1,1,4399,0.142,2,3,No,1/30/2020
Kern,63,Alta Sierra/Bodfish/Glennville/Kernville/Lake Isabella/Weldon/Wofford Heights,15437,3,3.3,5.5,2806.7,4,3496,0.226,4,8,Yes,1/30/2020
Kern,64,Inyokern/Ridgecrest,35263,18,10.3,25.7,1372.1,1,6342,0.18,3,4,No,1/30/2020
Kern,65,Boron/California City/Desert Lake/Mojave/North Edwards/Rosamond,42847,2,6,6.5,6591.8,5,10034,0.234,4,9,Yes,1/30/2020
Kern,66a,Bakersfield Northeast/Oildale,109145,52,67,102.2,1068,1,24039,0.22,4,5,Yes,1/30/2020
Kern,66b,Bakersfield East/Lakeview/La Loma,142734,52,35.8,78.9,1809,2,56556,0.396,5,7,Yes,1/30/2020
Kern,66c,Bakersfield Southwest,166399,37,31.9,60.9,2732.3,4,25005,0.15,3,7,Yes,1/30/2020
Kern,66d,Bakersfield Northwest/Rosedale,124471,222.5,101.7,298.8,416.6,0,11506,0.092,1,1,No,1/30/2020
Kings,67,Avenal,9252,6.5,6.3,11.2,826.1,0,3347,0.362,5,5,Yes,1/30/2020
Kings,68,Corcoran/Kettleman City/Stratford,19274,18,6.3,22.7,849.1,0,6855,0.356,5,5,Yes,1/30/2020
Kings,69,Armona/Hanford/Lemoore,105675,41.5,47.7,77.3,1367.1,1,17811,0.169,3,4,No,1/30/2020
Lake,70.1,Kelseyville/Lakeport,14944,15.6,14.2,26.3,568.2,0,2872,0.192,3,3,No,1/30/2020
Lake,70.2,Lucerne/Nice/Upper Lake,9049,1,3.7,3.7,2445.7,3,2341,0.259,5,8,Yes,1/30/2020
Lake,71.1,Clearlake/Clearlake Oaks,19138,8.5,7.6,14.2,1347.7,1,6328,0.331,5,6,Yes,1/30/2020
Lake,71.2,Lower Lake,9987,0.5,0,0.5,19974,5,1394,0.14,2,7,Yes,1/30/2020
Lake,71.3,Cobb/Hidden Valley/Middletown,9983,1,1.3,2,4991.5,5,1463,0.147,2,7,Yes,1/30/2020
Lassen,72,Susanville,15662,18,13.3,28,559.4,0,2394,0.153,3,3,No,1/30/2020
Lassen,73,Bieber/Madeline/Nubieber,1333,1,1,1.8,740.6,0,208,0.156,3,3,No,1/30/2020
Lassen,74,Doyle,1867,0,0.3,0.2,9335,5,225,0.121,2,7,Yes,1/30/2020
Lassen,75,Westwood,2688,0,0.3,0.2,13440,5,328,0.122,2,7,Yes,1/30/2020
Los Angeles,76.2,Castaic/Val Verde,25644,0,2.7,2,12822,5,1825,0.071,1,6,Yes,1/30/2020
Los Angeles,77.2,Lake Los Angeles,17436,0.3,0.3,0.5,34872,5,4785,0.274,5,10,Yes,1/30/2020
Los Angeles,77.3,Juniper Hills/Littlerock/Longview/Pearblossom/Valyermo,18367,0.3,0,0.3,61223.3,5,4145,0.226,4,9,Yes,1/30/2020
Los Angeles,77.4,Acton/Ravenna,11825,0,2,1.5,7883.3,5,1100,0.093,1,6,Yes,1/30/2020
Los Angeles,77.5,Elizabeth Lake/Gorman/Green Valley/Lake Hughes/Leona Valley/Neenach,27084,1.5,3.7,4.2,6448.6,5,3061,0.113,2,7,Yes,1/30/2020
Los Angeles,78.1,Avalon,3894,0,2,1.5,2596,4,565,0.145,2,6,Yes,1/30/2020
Los Angeles,76.1a,Canyon Country/Santa Clarita West/Saugus,122758,108.5,40.8,139.1,882.5,0,7561,0.062,1,1,No,1/30/2020
Los Angeles,76.1b,Newhall/Santa Clarita East/Valencia,120793,35,17.3,48,2516.5,4,13144,0.109,2,6,Yes,1/30/2020
Los Angeles,77.1a,Palmdale Central,101863,21,17.6,34.2,2978.5,4,19573,0.192,3,7,Yes,1/30/2020
Los Angeles,77.1b,Desert View Highlands/Lancaster West/Palmdale Northwest/Quartz Hill,99440,97.8,43.4,130.3,763.2,0,12856,0.129,2,2,No,1/30/2020
Los Angeles,77.1c,Lancaster Central/Palmdale North Central,107541,24.1,26.6,44,2444.1,3,33209,0.309,5,8,Yes,1/30/2020
Los Angeles,78.2a,Echo Park/Hollywood North Central/Silverlake South,83754,39,11.6,47.7,1755.8,2,15044,0.18,3,5,Yes,1/30/2020
Los Angeles,78.2aa,Bel Air/Beverly Glen/Beverly Hills/Brentwood/Malibu/Pacific Palisades/Santa Monica Northwest/Topanga,97199,99,8.3,105.2,923.9,0,5542,0.057,1,1,No,1/30/2020
Los Angeles,78.2aaaa,Harbor Gateway South/Lomita/Torrance East Central,115735,431.5,90.5,499.4,231.7,0,14716,0.127,2,2,No,1/30/2020
Los Angeles,78.2b,Pico-Union,149479,66,20.9,81.7,1829.6,2,54189,0.363,5,7,Yes,1/30/2020
Los Angeles,78.2bb,North Hollywood Central and North,98953,21.5,18.2,35.2,2811.2,4,23661,0.239,4,8,Yes,1/30/2020
Los Angeles,78.2bbb,Compton East,93240,15.5,8.3,21.7,4296.8,5,23142,0.248,4,9,Yes,1/30/2020
Los Angeles,78.2bbbb,Gardena West/Hawthorne,78910,8,9.6,15.2,5191.4,5,12987,0.165,3,8,Yes,1/30/2020
Los Angeles,78.2c,Bell Northeast/Bell Gardens/Commerce/Maywood/Montebello South,117928,25.5,33.2,50.4,2339.8,3,26769,0.227,4,7,Yes,1/30/2020
Los Angeles,78.2cc,Van Nuys Central,107344,41.8,14.2,52.5,2044.6,3,25429,0.237,4,7,Yes,1/30/2020
Los Angeles,78.2ccc,Huntington Park/South Gate West/Walnut Park,106158,51.5,22.8,68.6,1547.5,2,25250,0.238,4,6,Yes,1/30/2020
Los Angeles,78.2cccc,Chatsworth,110769,30,15.9,41.9,2643.7,4,9839,0.089,1,5,Yes,1/30/2020
Los Angeles,78.2d,City Terrace East/East Los Angeles,92590,90.5,19.5,105.1,881,0,21085,0.228,4,4,No,1/30/2020
Los Angeles,78.2dd,Burbank South/Eagle Rock/Glendale Northwest,107354,68,29.2,89.9,1194.1,1,12092,0.113,2,3,No,1/30/2020
Los Angeles,78.2ddd,Bell Southwest/Cudahy/Vernon,82817,23,9.9,30.4,2724.2,4,22170,0.268,5,9,Yes,1/30/2020
Los Angeles,78.2dddd,Arcadia Southeast/San Gabriel North,106503,69,13,78.7,1353.3,1,11270,0.106,2,3,No,1/30/2020
Los Angeles,78.2e,Country Club Park/Koreatown/Mid-City East,132478,75.5,22.9,92.7,1429.1,1,27041,0.204,4,5,Yes,1/30/2020
Los Angeles,78.2ee,Atwater Village/Glendale Central/Glendale Southwest/Griffith Park,99906,165,56.3,207.2,482.2,0,16294,0.163,3,3,No,1/30/2020
Los Angeles,78.2eee,Downey Northeast,82646,126.5,49.1,163.3,506.1,0,8317,0.101,2,2,No,1/30/2020
Los Angeles,78.2eeee,Alhambra/El Sereno South/San Gabriel Central,110429,118,35.4,144.5,764.2,0,17358,0.157,3,3,No,1/30/2020
Los Angeles,78.2f,Hollywood Hills/Hollywood West/Mount Olympus/West Hollywood,93929,271,24.2,289.1,324.9,0,12635,0.135,2,2,No,1/30/2020
Los Angeles,78.2ff,Glassell Park/Glendale Southeast/Silverlake North,98073,92.5,20.2,107.7,910.6,0,19784,0.202,4,4,No,1/30/2020
Los Angeles,78.2fff,Firestone/Florence South/Watts,136403,44,15.9,55.9,2440.1,3,47328,0.347,5,8,Yes,1/30/2020
Los Angeles,78.2ffff,Boyle Heights Northwest/Chinatown/Downtown Northwest/Little Tokyo/Westlake,103572,877.5,219,1041.8,99.4,0,33435,0.323,5,5,Yes,1/30/2020
Los Angeles,78.2g,Hollywood South Central/Inner Sunset,111965,745.5,65.1,794.3,141,0,26983,0.241,4,4,No,1/30/2020
Los Angeles,78.2gg,Angeles National Forest West/Kagel Canyon/Lake View Terrace/San Fernando East/Sylmar,105102,54,17.3,67,1568.7,2,15900,0.151,3,5,Yes,1/30/2020
Los Angeles,78.2ggg,South Central Northeast,133713,26.8,68.3,78.1,1712.1,2,43436,0.325,5,7,Yes,1/30/2020
Los Angeles,78.2gggg,Altadena East/Angeles National Forest East/Azusa North/Duarte North/Glendora/Pasadena East,90805,45,19.2,59.4,1528.7,2,8046,0.089,1,3,No,1/30/2020
Los Angeles,78.2h,Boyle Heights Central/City Terrace West,96023,26.5,13.9,36.9,2602.2,4,27753,0.289,5,9,Yes,1/30/2020
Los Angeles,78.2hh,Granada Hills/Mission Hills/Porter Ranch,87288,131,30.5,153.9,567.2,0,6135,0.07,1,1,No,1/30/2020
Los Angeles,78.2hhh,Altadena West/Pasadena Northwest,94517,69,30.2,91.6,1031.8,1,18037,0.191,3,4,No,1/30/2020
Los Angeles,78.2hhhh,Canoga Park Northeast/Winnetka,100771,34.3,9.9,41.8,2410.8,3,21471,0.213,4,7,Yes,1/30/2020
Los Angeles,78.2i,El Sereno North/Highland Park/Montecito Heights/Monterey Hills,120535,55,22.9,72.1,1671.8,2,27846,0.231,4,6,Yes,1/30/2020
Los Angeles,78.2ii,Reseda South/Van Nuys Southwest,99008,28,33.6,53.2,1861.1,2,13438,0.136,2,4,No,1/30/2020
Los Angeles,78.2iii,North Long Beach,93251,10,7.6,15.7,5939.6,5,20546,0.22,4,9,Yes,1/30/2020
Los Angeles,78.2iiii,Gardena Southeast/Harbor Gateway Central/Lawndale South/Moneta/Redondo Beach North/Torrance North,113145,61.5,18.6,75.5,1498.6,1,13400,0.118,2,3,No,1/30/2020
Los Angeles,78.2j,Baldwin Hills/Culver City South/Fox Hills/Ladera Heights/Marina del Rey/View Park/Windsor Hills,128321,78,32.1,102.1,1256.8,1,10865,0.085,1,2,No,1/30/2020
Los Angeles,78.2jj,Sherman Oaks/Studio City/Valley Village,134833,94,32.1,118,1142.7,1,10798,0.08,1,2,No,1/30/2020
Los Angeles,78.2jjj,Long Beach West Central,113913,27,21.9,43.4,2624.7,4,34702,0.305,5,9,Yes,1/30/2020
Los Angeles,78.2jjjj,Norwalk/Studebaker,105912,48.5,15.2,59.9,1768.1,2,14967,0.141,2,4,No,1/30/2020
Los Angeles,78.2k,South Central Northwest,78614,4,6,8.5,9248.7,5,17789,0.226,4,9,Yes,1/30/2020
Los Angeles,78.2kk,North Hills/Northridge North,116589,59.5,19.2,73.9,1577.7,2,21014,0.18,3,5,Yes,1/30/2020
Los Angeles,78.2kkk,Belmont Shore/Long Beach East/Long Beach Shoreline/Los Altos/Naples,126838,229,109,310.8,408.1,0,12357,0.097,1,1,No,1/30/2020
Los Angeles,78.2kkkk,Santa Monica Central/Sawtelle/West Los Angeles,87942,308.5,49.3,345.4,254.6,0,10060,0.114,2,2,No,1/30/2020
Los Angeles,78.2l,Exposition Park/Leimert Park,91891,48.5,71.6,102.2,899.1,0,30118,0.328,5,5,Yes,1/30/2020
Los Angeles,78.2ll,Arleta/Pacoima West/Panorama City/San Fernando West,127853,27,23.5,44.6,2866.7,4,27226,0.213,4,8,Yes,1/30/2020
Los Angeles,78.2lll,Bixby Knolls/Long Beach Central,108723,258.5,76.6,315.9,344.2,0,15890,0.146,2,2,No,1/30/2020
Los Angeles,78.2m,Bellflower/Paramount South,100356,77.5,33,102.3,981,0,16414,0.164,3,3,No,1/30/2020
Los Angeles,78.2mm,Pasadena South/San Marino/South Pasadena,104431,231.5,55.7,273.3,382.1,0,9991,0.096,1,1,No,1/30/2020
Los Angeles,78.2mmm,Downtown Southeast/Florence North,105359,11.5,26.9,31.7,3323.6,5,36132,0.343,5,10,Yes,1/30/2020
Los Angeles,78.2n,Cerritos/Hawaiian Gardens,110027,60,29.9,82.4,1335.3,1,10460,0.095,1,2,No,1/30/2020
Los Angeles,78.2nn,Montebello North/Monterey Park/South San Gabriel,81952,51.5,16.9,64.1,1278.5,1,10508,0.128,2,3,No,1/30/2020
Los Angeles,78.2nnn,Crenshaw/Culver City East/Mid-City South/West Adams,110507,10.5,12.3,19.7,5609.5,5,28343,0.256,5,10,Yes,1/30/2020
Los Angeles,78.2o,Miraleste/Palo Verdes Estates/Portuguese Bend/Rancho Palos Verdes/Rolling Hills/San Pedro West,124685,94.5,13.9,104.9,1188.6,1,8290,0.066,1,2,No,1/30/2020
Los Angeles,78.2oo,El Monte/Five Points,100309,60.8,24.9,79.5,1261.7,1,23938,0.239,4,5,Yes,1/30/2020
Los Angeles,78.2ooo,Paramount North/Willowbrook,140392,31,24.1,49,2865.1,4,33653,0.24,4,8,Yes,1/30/2020
Los Angeles,78.2p,Long Beach Port/San Pedro East/Wilmington,114570,22,22.5,38.9,2945.2,4,28546,0.249,4,8,Yes,1/30/2020
Los Angeles,78.2pp,Hacienda Heights/Industry Central,102418,37,15,48.2,2124.9,3,10351,0.101,2,5,Yes,1/30/2020
Los Angeles,78.2ppp,Pacoima East/Sun Valley West,104683,21,9.3,28,3738.7,5,20351,0.194,3,8,Yes,1/30/2020
Los Angeles,78.2q,Del Aire/Inglewood West/Los Angeles International Airport,101856,63.5,49.9,100.9,1009.5,1,15576,0.153,3,4,No,1/30/2020
Los Angeles,78.2qq,Asuza/Charter Oak/Covina,120861,49,41.1,79.8,1514.5,2,14883,0.123,2,4,No,1/30/2020
Los Angeles,78.2qqq,Rosemead/San Gabriel South/South El Monte West/Temple City West,90622,90,20.3,105.2,861.4,0,17671,0.195,3,3,No,1/30/2020
Los Angeles,78.2r,Inglewood East/Lennox,77443,12,13,21.7,3568.8,5,16689,0.216,4,9,Yes,1/30/2020
Los Angeles,78.2rr,Glendale Northeast/La Canada-Flintridge/La Crescenta/Montrose/Sunland/Tujunga/Verdugo City,111106,45,9.7,52.2,2128.5,3,10683,0.096,1,4,No,1/30/2020
Los Angeles,78.2rrr,La Mirada/Santa Fe Springs South,101318,67,43.6,99.7,1016.2,1,7213,0.071,1,2,No,1/30/2020
Los Angeles,78.2s,South Central Southwest,91354,7,2.7,9,10150.4,5,33736,0.369,5,10,Yes,1/30/2020
Los Angeles,78.2ss,Pomona East and South,116575,48.3,48.1,84.4,1381.2,1,26465,0.227,4,5,Yes,1/30/2020
Los Angeles,78.2sss,Downey Southwest/Lynwood North Central/South Gate East,95508,69.5,45.3,103.5,922.8,0,15873,0.166,3,3,No,1/30/2020
Los Angeles,78.2t,Hermosa Beach/Lawndale North/Manhattan Beach/Redondo Beach North,95667,45,29.5,67.1,1425.7,1,6140,0.064,1,2,No,1/30/2020
Los Angeles,78.2tt,Claremont/La Verne/Pomona Northwest/San Dimas,113552,144,50,181.5,625.6,0,10794,0.095,1,1,No,1/30/2020
Los Angeles,78.2ttt,Burbank North/North Hollywood South,129364,152,41.7,183.3,705.8,0,15030,0.116,2,2,No,1/30/2020
Los Angeles,78.2u,Redondo Beach Central and South/Torrance West Central,91412,157.5,46.5,192.4,475.1,0,5827,0.064,1,1,No,1/30/2020
Los Angeles,78.2uu,La Habra Heights/Whittier,85487,121.5,51.5,160.2,533.6,0,9735,0.114,2,2,No,1/30/2020
Los Angeles,78.2uuu,Athens/Gardena Northeast/Harbor Gateway North,87129,11,7.3,16.5,5280.5,5,19098,0.219,4,9,Yes,1/30/2020
Los Angeles,78.2v,Carson/Compton West/Rancho Dominguez,110216,37,39.2,66.4,1659.9,2,12988,0.118,2,4,No,1/30/2020
