MSSA_COUNTY,MSSA_ID,MSSA_NAME,Total_Population,EST_Physicians,EST_FNPPA,EST_Providers,Provider_Ratio,Score_Provider_Ratio,Pop_100FPL,PCT_100FPL,Score_Poverty,Score_Total,PCSA,Effective Date
Alameda,1.1,Livermore Central and West/Spring Town,58273,46,5,49.8,1172.5,1,3149,0.054,1,2,No,1/30/2020
Alameda,1.2,Altamont/Livermore East/Midway/Mountain House/Scotts Corner,39930,13.5,2.7,15.5,2576.1,4,1774,0.044,0,4,No,1/30/2020
Alameda,2a,Berkeley South and West/Emeryville/Oakland Northwest,86595,116,78.7,175,494.8,0,20908,0.241,4,4,No,1/30/2020
Alameda,2b,Albany/Berkeley East and North/Claremont/Cragmont/Forest Park/Rockridge/Temescal/Thousand Oaks,110451,273,39.4,302.6,365,0,8701,0.079,1,1,No,1/30/2020
Alameda,2c,Oakland West Central,88757,361,48.1,397,223.6,0,22684,0.256,5,5,Yes,1/30/2020
Alameda,2d,Fruitvale/Melrose/Oakland Airport,135406,42.5,48.2,78.7,1720.5,2,31323,0.231,4,6,Yes,1/30/2020
Alameda,2e,Alameda/Jack London Square/Oakland Inner Harbor,71177,71.5,15.2,82.9,858.6,0,9703,0.136,2,2,No,1/30/2020
Alameda,2f,Castro Valley Central and North/Oak Knoll/San Leandro Northeast/Sheffield Village/Union City East,108515,71.5,21.6,87.7,1237.3,1,7799,0.072,1,2,No,1/30/2020
Alameda,2g,San Leandro West/San Lorenzo West/Hayward West,102435,159.5,28.1,180.5,567.5,0,9938,0.097,1,1,No,1/30/2020
Alameda,2h,Ashland/Brookfield Village/Castro Valley South/Elmhurst/Hayward Northeast/San Leandro North Central/San Lorenzo East,117800,40,23.2,57.4,2052.3,3,19863,0.169,3,6,Yes,1/30/2020
Alameda,2i,Fremont South/Mission San Jose/Newark South/Warm Springs,96094,25,10.3,32.7,2938.7,4,3732,0.039,0,4,No,1/30/2020
Alameda,2j,Centerville/Fremont West/Irvington/Newark East Central,96242,233,34.4,258.8,371.9,0,6330,0.066,1,1,No,1/30/2020
Alameda,2k,Dublin/Pleasanton/Santa Rita/Sunol,127835,169,44.8,202.6,631,0,5042,0.039,0,0,No,1/30/2020
Alameda,2l,Fremont East/Niles/Union City Central,122221,97,25.1,115.8,1055.4,1,6483,0.053,1,2,No,1/30/2020
Alameda,2m,Dimond/Montclair/Oakland East/Oakmore/Piedmont/Piedmont Pines/Trestle Glen,120643,390,83.9,452.9,266.4,0,11180,0.093,1,1,No,1/30/2020
Alameda,2n,Hayward Central,119983,10,5,13.7,8757.9,5,12585,0.105,2,7,Yes,1/30/2020
Alpine,3,Alpine Village/Bear Valley/Kirkwood/Markleeville/Mesa Valley/Woodfords,1188,0,0,0,,5,235,0.198,3,8,Yes,1/30/2020
Amador,4,Ione/Jackson/Pine Grove/Sutter Creek,23400,27,9.6,34.2,684.2,0,2532,0.108,2,2,No,1/30/2020
Amador,5,Plymouth,4490,0.5,0,0.5,8980,5,354,0.079,1,6,Yes,1/30/2020
Amador,6,Pioneer,5671,0.5,1.3,1.5,3780.7,5,678,0.12,2,7,Yes,1/30/2020
Butte,7.1,Chapmantown/Chico,96487,55.5,63.6,103.2,935,0,23007,0.238,4,4,No,1/30/2020
Butte,7.2,Capay/Lake/Nord,5798,3,1,3.8,1525.8,2,379,0.065,1,3,No,1/30/2020
Butte,7.3,Butte Meadows/Cohasset/Forest Ranch,4820,0,0,0,,5,387,0.08,1,6,Yes,1/30/2020
Butte,7.4,Durham,5644,0,0,0,,5,564,0.1,1,6,Yes,1/30/2020
Butte,8,Magalia/Paradise/Stirling City,41358,19,25.2,37.9,1091.2,1,6085,0.147,2,3,No,1/30/2020
Butte,9,Biggs/East Biggs/Gridley,14665,4.5,4,7.5,1955.3,2,2503,0.171,3,5,Yes,1/30/2020
Butte,10,Oroville/Palermo/Thermalito,45959,13,33.1,37.8,1215.8,1,10967,0.239,4,5,Yes,1/30/2020
Butte,11,Berry Creek/Brownsville/Concow/Feather Falls/Forbestown,4798,0,0.3,0.2,23990,5,1085,0.226,4,9,Yes,1/30/2020
Calaveras,12,Angels Camp/Arnold/Copperopolis/Mountain Ranch/Murphys/San Andreas/Valley Springs/West Point,44516,17,5.6,21.2,2099.8,3,5676,0.128,2,5,Yes,1/30/2020
Colusa,15,Colusa,7536,2.5,3.3,5,1507.2,2,1043,0.138,2,4,No,1/30/2020
Colusa,16.1,Williams,6024,0,0.3,0.2,30120,5,791,0.131,2,7,Yes,1/30/2020
Colusa,16.2,Loduga/Maxwell/Princeton/Stonyford,2379,0,0,0,,5,412,0.173,3,8,Yes,1/30/2020
Colusa,16.3,Arbuckle/Grimes,5345,1.5,1,2.3,2323.9,3,733,0.137,2,5,Yes,1/30/2020
Contra Costa,17,Brentwood East/Byron/Discovery Bay/Knightsen,63320,22,7.7,27.7,2285.9,3,5733,0.091,1,4,No,1/30/2020
Contra Costa,18a,Crockett/Hercules/Martinez West/Pinole/Port Costa/Richmond Northeast/Rodeo,90182,256.5,43.6,289.2,311.8,0,7171,0.08,1,1,No,1/30/2020
Contra Costa,18b,Concord West/Martinez East/Martinez Waterfront/Pacheco/Pleasant Hill East,82384,18,20.5,33.3,2474,3,11278,0.137,2,5,Yes,1/30/2020
Contra Costa,18c,Avon/Clyde/Concord Central/Pittsburg Southwest,95018,70,24.9,88.6,1072.4,1,7489,0.079,1,2,No,1/30/2020
Contra Costa,18d,Antioch North and West/Nichols/Pittsburg Central and East/West Pittsburg,102724,68.5,9.6,75.7,1357,1,20217,0.197,3,4,No,1/30/2020
Contra Costa,18e,Brentwood Central and West/Oakley,136327,80.5,23.4,98.1,1389.7,1,12496,0.092,1,2,No,1/30/2020
