state_name,votes_gop,votes_dem,total_votes,pct_dem,pct_gop,winner
Alabama,1441168,849648,2323304,37.0,62.0,gop
Alaska,189892,153405,391346,39.0,49.0,gop
Arizona,1661686,1672143,3387326,49.0,49.0,dem
Arkansas,760647,423932,1219069,35.0,62.0,gop
California,6005961,11109764,17495906,63.0,34.0,dem
Colorado,1364607,1804352,3256953,55.0,42.0,dem
Connecticut,715291,1080680,1824280,59.0,39.0,dem
Delaware,200603,296268,504010,59.0,40.0,dem
District of Columbia,18586,317323,344356,92.0,5.0,dem
Florida,5668731,5297045,11067456,48.0,51.0,gop
Georgia,2461854,2473633,4997716,49.0,49.0,dem
Hawaii,196864,366130,574469,64.0,34.0,dem
Idaho,554119,287021,868106,33.0,64.0,gop
Illinois,2446891,3471915,6038843,57.0,41.0,dem
Indiana,1729852,1242495,3033198,41.0,57.0,gop
Iowa,897672,759061,1690871,45.0,53.0,gop
Kansas,758100,558669,1349567,41.0,56.0,gop
Kentucky,1326646,772474,2136768,36.0,62.0,gop
Louisiana,1255776,856034,2148062,40.0,58.0,gop
Maine,359899,430473,813740,53.0,44.0,dem
Maryland,976414,1985023,3037030,65.0,32.0,dem
Massachusetts,1167202,2382202,3631402,66.0,32.0,dem
Michigan,2649852,2804040,5539302,51.0,48.0,dem
Minnesota,1484065,1717077,3277171,52.0,45.0,dem
Mississippi,756764,539398,1315182,41.0,58.0,gop
Missouri,1718736,1253014,3025962,41.0,57.0,gop
Montana,343602,244786,605750,40.0,57.0,gop
Nebraska,556846,374583,956379,39.0,58.0,gop
Nevada,669890,703486,1405376,50.0,48.0,dem
New Hampshire,365654,424921,804430,53.0,45.0,dem
New Jersey,1883274,2608335,4564234,57.0,41.0,dem
New Mexico,401894,501614,923965,54.0,43.0,dem
New York,3250230,5244006,8613546,61.0,38.0,dem
North Carolina,2758773,2684292,5524801,49.0,50.0,gop
North Dakota,235595,114902,361819,32.0,65.0,gop
Ohio,3154834,2679165,5922202,45.0,53.0,gop
Oklahoma,1020280,503890,1560699,32.0,65.0,gop
Oregon,958448,1340383,2374321,56.0,40.0,dem
Pennsylvania,3378263,3459923,6925255,50.0,49.0,dem
Rhode Island,199837,306210,516383,59.0,39.0,dem
South Carolina,1385103,1091541,2513329,43.0,55.0,gop
South Dakota,261043,150471,422609,36.0,62.0,gop
Tennessee,1852948,1143913,3054534,37.0,61.0,gop
Texas,5890347,5259126,11317911,46.0,52.0,gop
Utah,865140,560282,1488289,38.0,58.0,gop
Vermont,112704,242820,367428,66.0,31.0,dem
Virginia,1962430,2413568,4460524,54.0,44.0,dem
Washington,1584651,2369612,4087631,58.0,39.0,dem
West Virginia,545382,235984,794652,30.0,69.0,gop
Wisconsin,1610065,1630673,3297352,49.0,49.0,dem
Wyoming,193559,73491,276765,27.0,70.0,gop
