LocationType,Location Name,StNumber,StNumberFraction,StDirection,StName,StSuffix,StSuffixDirection,AddressType,AddressTypeValue,CrossStDirection,CrossStName,CrossStSuffix,CrossStSuffixDirection,City,State,Zip,Website,Phone,CouncilDistrict,GeoLat,GeoLong
Skate Parks,Jackie Tatum Skate Plaza,1535,,W,62nd,St,,,,,,,,"Los Angeles, CA 90047
(33.9842, -118.304)",CA,90047,http://www.laparks.org/dos/parks/skateparks/jackieTatumSkatePk.htm,(323) 778-2579,8,33.984177,-118.303512
Skate Parks,Venice Skate Park,1800,,,Ocean Front,Walk,,,,,,,,"Venice, CA 90291
(33.9857, -118.473)",CA,90291,http://www.laparks.org/dos/parks/skateparks/veniceSkatePk.htm,(310) 399-2775,11,33.98570187,-118.4726212
Skate Parks,Hansen Dam Skate Park,11770,,,Foothill,Blvd,,,,,,,,"Lake View Terrace, CA 91342
(34.2738, -118.383)",CA,91342,,(818) 899-4537,7,34.273758,-118.383484
Skate Parks,Garvanza Skate Park,6240,,,Meridian,St,,,,,,,,"Los Angeles, CA 90042
(34.1201, -118.18)",CA,90042,http://www.laparks.org/dos/parks/skateparks/garvanzaSkatePk.htm,(323) 255-0370,14,34.12007,-118.179944
Skate Parks,Southeast Valley Roller and Skateboard Park,12505,,W,Sheldon,St,,,,,,,,"Sun Valley, CA 91352
(34.231, -118.406)",CA,91352,,(818) 899-4537,6,34.230966,-118.405579
Skate Parks,Ritchie Valens Skate Park Plaza,10731,,,Laurel Canyon,Blvd,,,,,,,,"Pacoima, CA 91331
(34.2651, -118.439)",CA,91331,http://www.laparks.org/dos/parks/skateparks/ritchieValensSkatePk.htm,(818) 834-5172,7,34.26510266,-118.4393469
Skate Parks,Gilbert W. Lindsay Skate Park,429,,E,42nd,Pl,,,,,,,,"Los Angeles, CA 90011
(34.0066, -118.268)",CA,90011,http://www.laparks.org/dos/parks/skateparks/gilbertLindsaySkatePk.htm,(323) 233-0552,9,34.00661929,-118.2677641
Skate Parks,Lafayette Skate Park,625,,S,Lafayette Park,Pl,,,,,,,,"Los Angeles, CA 90057
(34.0621, -118.283)",CA,90057,http://www.laparks.org/dos/parks/skateparks/lafayetteSkatePk.htm,(213) 384-0562,10,34.06211618,-118.282875
Skate Parks,Andres and Maria Cardenas Skate Park,14740,,,Blythe,St,,,,,Willis,Ave,,"Panorama City, CA 91402
(34.215, -118.455)",CA,91402,http://www.laparks.org/dos/parks/skateparks/andresMariaSkatePk.htm,(810) 781-3952,6,34.215049,-118.454568
Skate Parks,William Nickerson Gardens Skate Park,11251,,,Compton,Ave,,,,,,,,"Los Angeles, CA 90059
(33.9322, -118.247)",CA,90059,http://www.laparks.org/dos/parks/skateparks/nickersonSkatePk.htm,(323) 566-1416,15,33.932182,-118.246727
Skate Parks,North Hollywood Skate Park,11430,,,Chandler,Blvd,,,,,,,,"North Hollywood, CA 91601
(34.165, -118.38)",CA,91601,http://www.laparks.org/dos/parks/skateparks/nHollywoodSkatePk.htm,(818) 763-7651,2,34.1650083,-118.3799229
Skate Parks,Rancho Cienega Skate Park,5001,,,Rodeo,Rd,,,,,,,,"Los Angeles, CA 90016
(34.0217, -118.352)",CA,90016,http://www.laparks.org/dos/parks/skateparks/ranchoSkatePk.htm,(323) 290-2663,10,34.02167021,-118.351823
Skate Parks,Lanark Skate Plaza,21816,,,Lanark,St,,,,,,,,"Canoga Park, CA 91304
(34.2174, -118.604)",CA,91304,http://www.laparks.org/dos/reccenter/facility/lanarkRC.htm,(818) 883-1503,3,34.21743314,-118.6038772
