LocationType,Location Name,StNumber,StNumberFraction,StDirection,StName,StSuffix,StSuffixDirection,AddressType,AddressTypeValue,CrossStDirection,CrossStName,CrossStSuffix,CrossStSuffixDirection,City,State,Zip,Website,Phone,CouncilDistrict,GeoLat,GeoLong
Skate Parks,Lake Street Skate Park,227,,N,Lake,St,,,,,,,,"Los Angeles, CA 90026
(34.0687, -118.27)",CA,90026,http://www.laparks.org/dos/parks/skateparks/lakeStSkatePk.htm,(213) 207-2196,13,34.06874703,-118.270384
Skate Parks,Stoner Skate Park,1835,,,Stoner,Ave,,,,,,,,"Los Angeles, CA 90025
(34.0384, -118.453)",CA,90025,http://www.laparks.org/dos/parks/skateparks/stonerSkatePk.htm,(310) 479-7200,11,34.03844736,-118.4532902
Skate Parks,Westchester Skate Park,7000,,W,Manchester,Ave,,,,,,,,"Los Angeles, CA 90045
(33.9591, -118.415)",CA,90045,http://www.laparks.org/dos/parks/skateparks/westchesterSkatePk.htm,(310) 670-7473,11,33.959143,-118.414785
Skate Parks,Lincoln Park Skate Park,3501,,,Valley,Blvd,,,,,,,,"Los Angeles, CA 90031
(34.0656, -118.202)",CA,90031,http://www.laparks.org/dos/parks/skateparks/lincolnParkSkatePk.htm,(213) 847-1726,1,34.06561417,-118.2018369
Skate Parks,Wilmington Skate Park (Ambassador Skate Park),325,,N,Neptune,Ave,,,,,,,,"Wilmington, CA 90744
(33.7731, -118.269)",CA,90744,http://www.laparks.org/dos/parks/skateparks/wilmingtonSkatePk.htm,(310) 548-7645,15,33.77313982,-118.2686791
Skate Parks,Imperial Courts Skate Park,2250,,E,114th,St,,,,,,,,"Los Angeles, CA 90059
(33.9313, -118.232)",CA,90059,http://www.laparks.org/dos/parks/skateparks/imperialCourtsSkatePk.htm,(323) 564-1834,15,33.93125654,-118.2324199
Skate Parks,Hollenbeck Safe Spot Skate Spot,415,,S,Saint Louis,St,,,,,,,,"Los Angeles, CA 90033
(34.0414, -118.216)",CA,90033,http://www.laparks.org/dos/parks/skateparks/hollenbeckSkatePk.htm,(323) 261-0113,14,34.04136456,-118.2160944
Skate Parks,El Sereno Skate Park,4721,,,Klamath,St,,,,,,,,"Los Angeles, CA 90032
(34.0757, -118.182)",CA,90032,http://www.laparks.org/dos/parks/skateparks/elSerenoSkatePk.htm,(323) 225-3517,14,34.075694,-118.1815698
Skate Parks,Sunland Skate Park,8651,,,Foothill,Blvd,,,,,,,,"Sunland, CA 91040
(34.2599, -118.322)",CA,91040,http://www.laparks.org/dos/parks/skateparks/sunlandSkatePk.htm,(818) 352-5282,7,34.25987785,-118.3220099
Skate Parks,Pedlow Skate Park,17334,,,Victory,Blvd,,,,,,,,"Encino, CA 91316
(34.1859, -118.512)",CA,91316,http://www.laparks.org/dos/parks/skateparks/pedlowSkatePk.htm,(818) 654-5296,6,34.185931,-118.511611
