OBJECTID,VAR_ROUTE,VAR_IDENT,VAR_DESCR,VAR_DIREC,MetroCategory,MetroBusType,RouteNumber,RouteName,TOOLTIP,NLA_URL
189,  51,N06,85TH & CENTRAL OWL,0,LocalCBD,Metro Local and Limited,51,51 Wilshr Ctr-Dtwn LA-Compton-Harbr Gtw Tc Via Avalon,51 Wilshr Ctr-Dtwn LA-Compton-Harbr Gtw Tc Via Avalon\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
190,  51,N07,7THBRO AR-LV_WILVEO,0,LocalCBD,Metro Local and Limited,51,51 Wilshr Ctr-Dtwn LA-Compton-Harbr Gtw Tc Via Avalon,51 Wilshr Ctr-Dtwn LA-Compton-Harbr Gtw Tc Via Avalon\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
191,  51,N08,RTE 352 LIMITED,0,LocalCBD,Metro Local and Limited,51,51 Wilshr Ctr-Dtwn LA-Compton-Harbr Gtw Tc Via Avalon,51 Wilshr Ctr-Dtwn LA-Compton-Harbr Gtw Tc Via Avalon\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
192,  51,N10,ARTESIA TRANSIT CENTER.,0,LocalCBD,Metro Local and Limited,51,51 Wilshr Ctr-Dtwn LA-Compton-Harbr Gtw Tc Via Avalon,51 Wilshr Ctr-Dtwn LA-Compton-Harbr Gtw Tc Via Avalon\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
193,  51,N12,7THHOO,0,LocalCBD,Metro Local and Limited,51,51 Wilshr Ctr-Dtwn LA-Compton-Harbr Gtw Tc Via Avalon,51 Wilshr Ctr-Dtwn LA-Compton-Harbr Gtw Tc Via Avalon\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
194,  51,S01,END TO END,1,LocalCBD,Metro Local and Limited,51,51 Wilshr Ctr-Dtwn LA-Compton-Harbr Gtw Tc Via Avalon,51 Wilshr Ctr-Dtwn LA-Compton-Harbr Gtw Tc Via Avalon\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
195,  51,S02,SANTEE HIGH & WASSAN,1,LocalCBD,Metro Local and Limited,51,51 Wilshr Ctr-Dtwn LA-Compton-Harbr Gtw Tc Via Avalon,51 Wilshr Ctr-Dtwn LA-Compton-Harbr Gtw Tc Via Avalon\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
196,  51,S04,103RD L.O.,1,LocalCBD,Metro Local and Limited,51,51 Wilshr Ctr-Dtwn LA-Compton-Harbr Gtw Tc Via Avalon,51 Wilshr Ctr-Dtwn LA-Compton-Harbr Gtw Tc Via Avalon\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
197,  51,S06,OWL ROUTE,1,LocalCBD,Metro Local and Limited,51,51 Wilshr Ctr-Dtwn LA-Compton-Harbr Gtw Tc Via Avalon,51 Wilshr Ctr-Dtwn LA-Compton-Harbr Gtw Tc Via Avalon\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
198,  51,S07,7THBRO AR-LV_WILVEO,1,LocalCBD,Metro Local and Limited,51,51 Wilshr Ctr-Dtwn LA-Compton-Harbr Gtw Tc Via Avalon,51 Wilshr Ctr-Dtwn LA-Compton-Harbr Gtw Tc Via Avalon\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
199,  51,S09,RTE 352 LIMITED,1,LocalCBD,Metro Local and Limited,51,51 Wilshr Ctr-Dtwn LA-Compton-Harbr Gtw Tc Via Avalon,51 Wilshr Ctr-Dtwn LA-Compton-Harbr Gtw Tc Via Avalon\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
200,  51,S10,ARTESIA TRANSIT CENTER,1,LocalCBD,Metro Local and Limited,51,51 Wilshr Ctr-Dtwn LA-Compton-Harbr Gtw Tc Via Avalon,51 Wilshr Ctr-Dtwn LA-Compton-Harbr Gtw Tc Via Avalon\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
201,  51,S11,AVLGLO,1,LocalCBD,Metro Local and Limited,51,51 Wilshr Ctr-Dtwn LA-Compton-Harbr Gtw Tc Via Avalon,51 Wilshr Ctr-Dtwn LA-Compton-Harbr Gtw Tc Via Avalon\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
202,  51,S12,7THHOO,1,LocalCBD,Metro Local and Limited,51,51 Wilshr Ctr-Dtwn LA-Compton-Harbr Gtw Tc Via Avalon,51 Wilshr Ctr-Dtwn LA-Compton-Harbr Gtw Tc Via Avalon\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
203,  53,N1,END TO END,0,LocalCBD,Metro Local and Limited,53,53 Downtown LA - Csu Domiguez Hills Via Central Av,53 Downtown LA - Csu Domiguez Hills Via Central Av\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
204,  53,N2,GREENLINE STATION,0,LocalCBD,Metro Local and Limited,53,53 Downtown LA - Csu Domiguez Hills Via Central Av,53 Downtown LA - Csu Domiguez Hills Via Central Av\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
205,  53,N4,6TH & BRWY SHORTLINE,0,LocalCBD,Metro Local and Limited,53,53 Downtown LA - Csu Domiguez Hills Via Central Av,53 Downtown LA - Csu Domiguez Hills Via Central Av\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
206,  53,N5,5TH & FLOWER,0,LocalCBD,Metro Local and Limited,53,53 Downtown LA - Csu Domiguez Hills Via Central Av,53 Downtown LA - Csu Domiguez Hills Via Central Av\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
207,  53,S1,END TO END,1,LocalCBD,Metro Local and Limited,53,53 Downtown LA - Csu Domiguez Hills Via Central Av,53 Downtown LA - Csu Domiguez Hills Via Central Av\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
208,  53,S2,BROADWAY LINE-UP #1,1,LocalCBD,Metro Local and Limited,53,53 Downtown LA - Csu Domiguez Hills Via Central Av,53 Downtown LA - Csu Domiguez Hills Via Central Av\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
209,  53,S3,BROADWAY LINE-UP #2,1,LocalCBD,Metro Local and Limited,53,53 Downtown LA - Csu Domiguez Hills Via Central Av,53 Downtown LA - Csu Domiguez Hills Via Central Av\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
210,  53,S4,AVALON STATION L.O.,1,LocalCBD,Metro Local and Limited,53,53 Downtown LA - Csu Domiguez Hills Via Central Av,53 Downtown LA - Csu Domiguez Hills Via Central Av\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
211,  55,N1,END to END,0,LocalCBD,Metro Local and Limited,55,55 Downtown LA - Willowbrook Sta Via Compton Av,55 Downtown LA - Willowbrook Sta Via Compton Av\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
212,  55,N2,Firestone - Maie L.O.,0,LocalCBD,Metro Local and Limited,55,55 Downtown LA - Willowbrook Sta Via Compton Av,55 Downtown LA - Willowbrook Sta Via Compton Av\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
213,  55,N4,202 Late Night,0,LocalCBD,Metro Local and Limited,55,55 Downtown LA - Willowbrook Sta Via Compton Av,55 Downtown LA - Willowbrook Sta Via Compton Av\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
214,  55,N5,LIMITED Stops End to End,0,LocalCBD,Metro Local and Limited,55,55 Downtown LA - Willowbrook Sta Via Compton Av,55 Downtown LA - Willowbrook Sta Via Compton Av\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
215,  55,N6,LIMITED from Firestone,0,LocalCBD,Metro Local and Limited,55,55 Downtown LA - Willowbrook Sta Via Compton Av,55 Downtown LA - Willowbrook Sta Via Compton Av\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
216,  55,S1,END to END,1,LocalCBD,Metro Local and Limited,55,55 Downtown LA - Willowbrook Sta Via Compton Av,55 Downtown LA - Willowbrook Sta Via Compton Av\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
217,  55,S2,Firestone - Maie L.O.,1,LocalCBD,Metro Local and Limited,55,55 Downtown LA - Willowbrook Sta Via Compton Av,55 Downtown LA - Willowbrook Sta Via Compton Av\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
218,  55,S4,202 Late Night,1,LocalCBD,Metro Local and Limited,55,55 Downtown LA - Willowbrook Sta Via Compton Av,55 Downtown LA - Willowbrook Sta Via Compton Av\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
219,  55,S5,LIMITED End to End,1,LocalCBD,Metro Local and Limited,55,55 Downtown LA - Willowbrook Sta Via Compton Av,55 Downtown LA - Willowbrook Sta Via Compton Av\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
220,  55,S6,LIMITED to Firestone,1,LocalCBD,Metro Local and Limited,55,55 Downtown LA - Willowbrook Sta Via Compton Av,55 Downtown LA - Willowbrook Sta Via Compton Av\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
221,  60,N1,END to END,0,LocalCBD,Metro Local and Limited,60,60 Downtown LA - Artesia Station Via Long Beach Bl,60 Downtown LA - Artesia Station Via Long Beach Bl\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
222,  60,N4,Owl from Long Beach 60A,0,LocalCBD,Metro Local and Limited,60,60 Downtown LA - Artesia Station Via Long Beach Bl,60 Downtown LA - Artesia Station Via Long Beach Bl\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
223,  60,N5,Owl from LB via ML King TC 60B,0,LocalCBD,Metro Local and Limited,60,60 Downtown LA - Artesia Station Via Long Beach Bl,60 Downtown LA - Artesia Station Via Long Beach Bl\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
224,  60,S1,END to END,1,LocalCBD,Metro Local and Limited,60,60 Downtown LA - Artesia Station Via Long Beach Bl,60 Downtown LA - Artesia Station Via Long Beach Bl\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
225,  60,S4,Owl to Long Beach 60A,1,LocalCBD,Metro Local and Limited,60,60 Downtown LA - Artesia Station Via Long Beach Bl,60 Downtown LA - Artesia Station Via Long Beach Bl\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
226,  60,S5,Owl - L.A. & Compton Arr/Lve 60B,1,LocalCBD,Metro Local and Limited,60,60 Downtown LA - Artesia Station Via Long Beach Bl,60 Downtown LA - Artesia Station Via Long Beach Bl\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
227,  60,S6,Owl - L.A. Arr/Lve to L.B. 60A,1,LocalCBD,Metro Local and Limited,60,60 Downtown LA - Artesia Station Via Long Beach Bl,60 Downtown LA - Artesia Station Via Long Beach Bl\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
228,  60,S7,Owl - L.A. Arr/Lve Only,1,LocalCBD,Metro Local and Limited,60,60 Downtown LA - Artesia Station Via Long Beach Bl,60 Downtown LA - Artesia Station Via Long Beach Bl\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
229,  60,S8,FLOWER TO 7TH & ALAMEDA,1,LocalCBD,Metro Local and Limited,60,60 Downtown LA - Artesia Station Via Long Beach Bl,60 Downtown LA - Artesia Station Via Long Beach Bl\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
230,  62,E1,END TO END,2,LocalCBD,Metro Local and Limited,62,62 Downtown LA - Hawaiian Gardens Via Telegraph Rd,62 Downtown LA - Hawaiian Gardens Via Telegraph Rd\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
231,  62,E2,SHORT LINE AT CIVIC CENTER,2,LocalCBD,Metro Local and Limited,62,62 Downtown LA - Hawaiian Gardens Via Telegraph Rd,62 Downtown LA - Hawaiian Gardens Via Telegraph Rd\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
232,  62,E3,LATE NIGHT 7TH-BROADWAY LINE UP,2,LocalCBD,Metro Local and Limited,62,62 Downtown LA - Hawaiian Gardens Via Telegraph Rd,62 Downtown LA - Hawaiian Gardens Via Telegraph Rd\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
233,  62,E4,CORBY-ROSECRANS SHORT LINE,2,LocalCBD,Metro Local and Limited,62,62 Downtown LA - Hawaiian Gardens Via Telegraph Rd,62 Downtown LA - Hawaiian Gardens Via Telegraph Rd\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
234,  62,E5,CERRITOS CENTER SHORTLINE,2,LocalCBD,Metro Local and Limited,62,62 Downtown LA - Hawaiian Gardens Via Telegraph Rd,62 Downtown LA - Hawaiian Gardens Via Telegraph Rd\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
235,  62,E6,LATE NIGHT 7TH-BROADWAY LINE UP,2,LocalCBD,Metro Local and Limited,62,62 Downtown LA - Hawaiian Gardens Via Telegraph Rd,62 Downtown LA - Hawaiian Gardens Via Telegraph Rd\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
236,  62,W1,END TO END,3,LocalCBD,Metro Local and Limited,62,62 Downtown LA - Hawaiian Gardens Via Telegraph Rd,62 Downtown LA - Hawaiian Gardens Via Telegraph Rd\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
237,  62,W2,CORBY-ROSECRANS SHORT LINE,3,LocalCBD,Metro Local and Limited,62,62 Downtown LA - Hawaiian Gardens Via Telegraph Rd,62 Downtown LA - Hawaiian Gardens Via Telegraph Rd\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
238,  62,W3,6TH AND FLOWER SHORT LINE,3,LocalCBD,Metro Local and Limited,62,62 Downtown LA - Hawaiian Gardens Via Telegraph Rd,62 Downtown LA - Hawaiian Gardens Via Telegraph Rd\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
239,  66,E1,66E -  END TO END,2,LocalCBD,Metro Local and Limited,66,66 Wilshire Ctr-Dtwn LA-Montebello Via 8th-Olympic,66 Wilshire Ctr-Dtwn LA-Montebello Via 8th-Olympic\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
240,  66,E2,OWL LINE-UP,2,LocalCBD,Metro Local and Limited,66,66 Wilshire Ctr-Dtwn LA-Montebello Via 8th-Olympic,66 Wilshire Ctr-Dtwn LA-Montebello Via 8th-Olympic\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
241,  66,E22,E/B LINE-UP 2012,2,LocalCBD,Metro Local and Limited,66,66 Wilshire Ctr-Dtwn LA-Montebello Via 8th-Olympic,66 Wilshire Ctr-Dtwn LA-Montebello Via 8th-Olympic\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
242,  66,W1,MAIN ROUTE,3,LocalCBD,Metro Local and Limited,66,66 Wilshire Ctr-Dtwn LA-Montebello Via 8th-Olympic,66 Wilshire Ctr-Dtwn LA-Montebello Via 8th-Olympic\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
243,  66,W2,BROADWAY&SOTO OWL TO 8PLWES,3,LocalCBD,Metro Local and Limited,66,66 Wilshire Ctr-Dtwn LA-Montebello Via 8th-Olympic,66 Wilshire Ctr-Dtwn LA-Montebello Via 8th-Olympic\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
244,  70,E1,END TO END,2,LocalCBD,Metro Local and Limited,70,70 Downtown LA - El Monte Via Marengo St- Garvey Av,70 Downtown LA - El Monte Via Marengo St- Garvey Av\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
245,  70,E2,RTE -70A-,2,LocalCBD,Metro Local and Limited,70,70 Downtown LA - El Monte Via Marengo St- Garvey Av,70 Downtown LA - El Monte Via Marengo St- Garvey Av\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
246,  70,W1,END TO END,3,LocalCBD,Metro Local and Limited,70,70 Downtown LA - El Monte Via Marengo St- Garvey Av,70 Downtown LA - El Monte Via Marengo St- Garvey Av\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
247,  70,W3,-70A- to TER028,3,LocalCBD,Metro Local and Limited,70,70 Downtown LA - El Monte Via Marengo St- Garvey Av,70 Downtown LA - El Monte Via Marengo St- Garvey Av\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
248,  70,W6,P/I from BDWVEN,3,LocalCBD,Metro Local and Limited,70,70 Downtown LA - El Monte Via Marengo St- Garvey Av,70 Downtown LA - El Monte Via Marengo St- Garvey Av\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
249,  70,W8,RTE. -70A-,3,LocalCBD,Metro Local and Limited,70,70 Downtown LA - El Monte Via Marengo St- Garvey Av,70 Downtown LA - El Monte Via Marengo St- Garvey Av\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
250,  71,E1,END TO END,2,LocalCBD,Metro Local and Limited,71,71 Downtown LA - Csu LA - Lac+usc Med Ctr,71 Downtown LA - Csu LA - Lac+usc Med Ctr\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
251,  71,E3,-71- From OLI7TH,2,LocalCBD,Metro Local and Limited,71,71 Downtown LA - Csu LA - Lac+usc Med Ctr,71 Downtown LA - Csu LA - Lac+usc Med Ctr\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
252,  71,W1,END TO END,3,LocalCBD,Metro Local and Limited,71,71 Downtown LA - Csu LA - Lac+usc Med Ctr,71 Downtown LA - Csu LA - Lac+usc Med Ctr\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
253,  71,W3,To GRA7TH,3,LocalCBD,Metro Local and Limited,71,71 Downtown LA - Csu LA - Lac+usc Med Ctr,71 Downtown LA - Csu LA - Lac+usc Med Ctr\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
254,  71,W4,P/I from BDWVEN(W1),3,LocalCBD,Metro Local and Limited,71,71 Downtown LA - Csu LA - Lac+usc Med Ctr,71 Downtown LA - Csu LA - Lac+usc Med Ctr\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
255,  76,E1,END TO END,2,LocalCBD,Metro Local and Limited,76,76 Downtown LA - El Monte Via Valley Bl,76 Downtown LA - El Monte Via Valley Bl\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
256,  76,E2,LATE NIGHT OWL TRIPS,2,LocalCBD,Metro Local and Limited,76,76 Downtown LA - El Monte Via Valley Bl,76 Downtown LA - El Monte Via Valley Bl\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
257,  76,E3,OLI7TH - MAICES,2,LocalCBD,Metro Local and Limited,76,76 Downtown LA - El Monte Via Valley Bl,76 Downtown LA - El Monte Via Valley Bl\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
258,  76,W1,END TO END,3,LocalCBD,Metro Local and Limited,76,76 Downtown LA - El Monte Via Valley Bl,76 Downtown LA - El Monte Via Valley Bl\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
259,  76,W2,LATE HIGHT OWL TRIPS,3,LocalCBD,Metro Local and Limited,76,76 Downtown LA - El Monte Via Valley Bl,76 Downtown LA - El Monte Via Valley Bl\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
260,  76,W3,GRAVEN PULL-IN,3,LocalCBD,Metro Local and Limited,76,76 Downtown LA - El Monte Via Valley Bl,76 Downtown LA - El Monte Via Valley Bl\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
261,  76,W4,GRAN7TH - DEADHEAD (OWLS),3,LocalCBD,Metro Local and Limited,76,76 Downtown LA - El Monte Via Valley Bl,76 Downtown LA - El Monte Via Valley Bl\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
262,  78,E1,End To End -78-,2,LocalCBD,Metro Local and Limited,78,78 Downtown LA - Arcadia Via Las Tunas-Huntington Drs,78 Downtown LA - Arcadia Via Las Tunas-Huntington Drs\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
263,  78,E11,MAIGAO,2,LocalCBD,Metro Local and Limited,78,78 Downtown LA - Arcadia Via Las Tunas-Huntington Drs,78 Downtown LA - Arcadia Via Las Tunas-Huntington Drs\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
264,  78,E13,79A Ended @ SANHUN,2,LocalCBD,Metro Local and Limited,78,78 Downtown LA - Arcadia Via Las Tunas-Huntington Drs,78 Downtown LA - Arcadia Via Las Tunas-Huntington Drs\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
265,  78,E2,RTE 79 - VIA MALL,2,LocalCBD,Metro Local and Limited,78,78 Downtown LA - Arcadia Via Las Tunas-Huntington Drs,78 Downtown LA - Arcadia Via Las Tunas-Huntington Drs\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
266,  78,E3,RTE 79A,2,LocalCBD,Metro Local and Limited,78,78 Downtown LA - Arcadia Via Las Tunas-Huntington Drs,78 Downtown LA - Arcadia Via Las Tunas-Huntington Drs\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
267,  78,E5,OLIVE & 7TH TURN AROUND,2,LocalCBD,Metro Local and Limited,78,78 Downtown LA - Arcadia Via Las Tunas-Huntington Drs,78 Downtown LA - Arcadia Via Las Tunas-Huntington Drs\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
268,  78,EB,-378- to LASWEL,2,LocalCBD,Metro Local and Limited,78,78 Downtown LA - Arcadia Via Las Tunas-Huntington Drs,78 Downtown LA - Arcadia Via Las Tunas-Huntington Drs\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
269,  78,EB1,-378- to LONMYR,2,LocalCBD,Metro Local and Limited,78,78 Downtown LA - Arcadia Via Las Tunas-Huntington Drs,78 Downtown LA - Arcadia Via Las Tunas-Huntington Drs\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
270,  78,W1,78 WEST,3,LocalCBD,Metro Local and Limited,78,78 Downtown LA - Arcadia Via Las Tunas-Huntington Drs,78 Downtown LA - Arcadia Via Las Tunas-Huntington Drs\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
271,  78,W11,From MAIGAO,3,LocalCBD,Metro Local and Limited,78,78 Downtown LA - Arcadia Via Las Tunas-Huntington Drs,78 Downtown LA - Arcadia Via Las Tunas-Huntington Drs\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
272,  78,W2,LINE -79 A-,3,LocalCBD,Metro Local and Limited,78,78 Downtown LA - Arcadia Via Las Tunas-Huntington Drs,78 Downtown LA - Arcadia Via Las Tunas-Huntington Drs\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
273,  78,W3,RTE 79 - VIA MALL,3,LocalCBD,Metro Local and Limited,78,78 Downtown LA - Arcadia Via Las Tunas-Huntington Drs,78 Downtown LA - Arcadia Via Las Tunas-Huntington Drs\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
274,  78,W4,RTE 79 - HUNMAY NIGHT,3,LocalCBD,Metro Local and Limited,78,78 Downtown LA - Arcadia Via Las Tunas-Huntington Drs,78 Downtown LA - Arcadia Via Las Tunas-Huntington Drs\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
275,  78,W5,GRAVEN P/I,3,LocalCBD,Metro Local and Limited,78,78 Downtown LA - Arcadia Via Las Tunas-Huntington Drs,78 Downtown LA - Arcadia Via Las Tunas-Huntington Drs\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
276,  78,W6,78 NIGHT - 7TH & GRAND,3,LocalCBD,Metro Local and Limited,78,78 Downtown LA - Arcadia Via Las Tunas-Huntington Drs,78 Downtown LA - Arcadia Via Las Tunas-Huntington Drs\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
277,  78,W7,LAS TUNAS & LIVE OAK,3,LocalCBD,Metro Local and Limited,78,78 Downtown LA - Arcadia Via Las Tunas-Huntington Drs,78 Downtown LA - Arcadia Via Las Tunas-Huntington Drs\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
278,  78,WB,LIMITED,3,LocalCBD,Metro Local and Limited,78,78 Downtown LA - Arcadia Via Las Tunas-Huntington Drs,78 Downtown LA - Arcadia Via Las Tunas-Huntington Drs\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
279,  78,WB1,378 LONMYR,3,LocalCBD,Metro Local and Limited,78,78 Downtown LA - Arcadia Via Las Tunas-Huntington Drs,78 Downtown LA - Arcadia Via Las Tunas-Huntington Drs\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
280,  81,N1,END TO END,0,LocalCBD,Metro Local and Limited,81,81 Eagle Rock- Dwntwn LA- Harbor Fwy Sta Via Figueroa,81 Eagle Rock- Dwntwn LA- Harbor Fwy Sta Via Figueroa\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
