,id,listing_url,scrape_id,last_scraped,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
961,1630098,https://www.airbnb.com/rooms/1630098,20211205213202,2021-12-07,USC 1 block north -Private Room/Private Bath B&B,"Private room and private bath Bed and Breakfast 1 block north of USC.  Free breakfast + business center. Car/bicycles if available. Parking $5/day. Great international USC community. 1 block to USC GYM/pool $15/day. Near bus/rail/downtown/venues.<br /><br /><b>The space</b><br />The apartments are set up with everything you will need for a comfortable stay including towels and kitchen supplies. A full breakfast with coffee/tea is provided. There are communal areas such as outdoor decks where you can sit and enjoy the sun and a business center where you have access to a computer/printer. The space is owned and operated by a family that has provided housing and catered to international visitors to USC for over 25 years.<br /><br /><b>Other things to note</b><br />When you contact us, please address the following questions so we can place you in a room/unit that will best accommodate your needs.<br />1) Why are you visiting the USC area?<br />2) What will your noise level be while staying","1 block from USC in historic West Adams district. Easy access to USC's world class amenities including gym, pool, and libraries; Exposition Park museums, garden and coliseum; and centrally located/easily connected to greater LA (downtown, beaches, Hollywood, Beverly Hills etc.)",https://a0.muscache.com/pictures/f3393619-30e0-4277-a204-0c2a6a12111b.jpg,8663618,https://www.airbnb.com/users/show/8663618,James Brian,2013-09-06,"Los Angeles, California, United States",Property Manager for family owned and operated rental company. ,within an hour,100%,75%,t,https://a0.muscache.com/im/users/8663618/profile_pic/1414444281/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/8663618/profile_pic/1414444281/original.jpg?aki_policy=profile_x_medium,West Adams,2.0,2.0,"['email', 'phone', 'reviews', 'jumio', 'government_id']",t,t,"Los Angeles, California, United States",University Park,City of Los Angeles,34.02835,-118.28725,Private room in bed and breakfast,Private room,2,,1 bath,1.0,1.0,"[""Washer"", ""Heating"", ""First aid kit"", ""Shampoo"", ""Breakfast"", ""Cooking basics"", ""Cable TV"", ""TV with standard cable"", ""Air conditioning"", ""Essentials"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""Wifi"", ""Fire extinguisher"", ""Dryer"", ""Hot water"", ""Kitchen""]",$50.00,31,365,31.0,31.0,365.0,365.0,31.0,365.0,,t,6,29,59,334,2021-12-07,68,1,1,2015-06-16,2020-01-25,4.68,4.69,4.66,4.84,4.97,4.67,4.63,Exempt - This listing is a bed and breakfast,f,2,0,2,0,0.86
2283,4708239,https://www.airbnb.com/rooms/4708239,20211205213202,2021-12-06,Furnished room minutes from DTLA,Fully furnished private room in a 3BHK for upto two people minutes from downtown LA and at walking distance to train station.,,https://a0.muscache.com/pictures/59117140/05d90845_original.jpg,15973150,https://www.airbnb.com/users/show/15973150,Sebanti,2014-05-25,"Los Angeles, California, United States",,,,,f,https://a0.muscache.com/im/users/15973150/profile_pic/1401052631/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/15973150/profile_pic/1401052631/original.jpg?aki_policy=profile_x_medium,West Adams,1.0,1.0,"['email', 'phone', 'facebook', 'reviews']",t,f,,University Park,City of Los Angeles,34.03252,-118.28238,Private room in residential home,Private room,2,,1 bath,1.0,1.0,"[""Free parking on premises"", ""Heating"", ""Air conditioning"", ""Smoke alarm"", ""Essentials"", ""Wifi"", ""Long term stays allowed"", ""Kitchen""]",$20.00,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,,f,0,0,0,0,2021-12-06,2,0,0,2014-12-25,2015-01-02,1.5,2.0,1.0,4.5,4.0,2.5,2.5,,f,1,0,1,0,0.02
2592,5627628,https://www.airbnb.com/rooms/5627628,20211205213202,2021-12-06,Nupac Apartment near USC,"The apartment is 10 min walking distance from USC and 5 min to Ralphs.<br />The apartment belongs to Nupac and we rented it last year. But I and my roommate will both leave LA from June 1st, so we decided to sublease the entire apartment.",,https://a0.muscache.com/pictures/74195073/fcd88752_original.jpg,21364327,https://www.airbnb.com/users/show/21364327,Xinpei,2014-09-15,"Beijing, Beijing, China",,,,,f,https://a0.muscache.com/im/users/21364327/profile_pic/1426058927/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/21364327/profile_pic/1426058927/original.jpg?aki_policy=profile_x_medium,West Adams,1.0,1.0,"['email', 'phone', 'reviews', 'jumio', 'government_id']",t,t,,University Park,City of Los Angeles,34.03066,-118.28217,Shared room in rental unit,Shared room,2,,1 shared bath,1.0,1.0,"[""Washer"", ""Heating"", ""Pool"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Long term stays allowed"", ""Wifi"", ""Dryer"", ""Kitchen""]",$50.00,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,,f,0,0,0,0,2021-12-06,0,0,0,,,,,,,,,,,f,1,0,0,1,
2764,6092506,https://www.airbnb.com/rooms/6092506,20211205213202,2021-12-06,USC ICON Plaza Summer Sublease - Pr,"Looking for a FEMALE to take over my private, deluxe room at Icon Plaza for the summer!<br />Room Type: D3- Deluxe Room. Faces Downtown. highest floor. Have everything here. You only need to take your stuff and move in. <br />Website: iconplazausc.com/",,https://a0.muscache.com/pictures/75932141/a820bb5e_original.jpg,31609605,https://www.airbnb.com/users/show/31609605,Ziyu,2015-04-20,"Los Angeles, California, United States",,,,,f,https://a0.muscache.com/im/users/31609605/profile_pic/1429562126/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/31609605/profile_pic/1429562126/original.jpg?aki_policy=profile_x_medium,South LA,1.0,1.0,"['email', 'phone', 'reviews', 'weibo', 'jumio', 'offline_government_id', 'government_id']",t,t,,University Park,City of Los Angeles,34.0199,-118.28266,Private room in residential home,Private room,1,,1 bath,1.0,1.0,"[""Washer"", ""Heating"", ""Elevator"", ""Cable TV"", ""Indoor fireplace"", ""Gym"", ""TV with standard cable"", ""Air conditioning"", ""Pool"", ""Essentials"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""Wifi"", ""Dryer"", ""Kitchen""]",$35.00,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,,t,0,0,0,0,2021-12-06,0,0,0,,,,,,,,,,,f,1,0,1,0,
2781,6133492,https://www.airbnb.com/rooms/6133492,20211205213202,2021-12-07,[TESTING] Spacious Private Room near DTLA/USC,"Note: not available right now, just testing the website<br /><br />Relax quietly and comfortably in this simple and quaint, incredibly spacious room on Ellendale Place.<br /><br />•10 minute walk to USC <br />•5 minute drive to downtown <br />•DPS patrolled location <br />•parking lot in back<br />•4 minute walk to Ralphs",,https://a0.muscache.com/pictures/109592346/4b749975_original.jpg,17090189,https://www.airbnb.com/users/show/17090189,Geronimo Carlo,2014-06-22,"Arcadia, California, United States","I'm an entrepreneur and designer who likes to create things to make the world a better place. When I'm not saving the world; I'm with family, cooking, riding a board, playing board games, or writing. 

I've lived and worked in Europe, East Africa, North and Central America. ",,,,f,https://a0.muscache.com/im/pictures/user/d9aba499-832a-4bd5-a0ce-4ac0a1f22c4f.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/d9aba499-832a-4bd5-a0ce-4ac0a1f22c4f.jpg?aki_policy=profile_x_medium,West Adams,1.0,1.0,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'kba', 'selfie', 'government_id', 'identity_manual', 'work_email']",t,t,,University Park,City of Los Angeles,34.0313,-118.28819,Private room in rental unit,Private room,2,,2 baths,1.0,2.0,"[""Washer"", ""Heating"", ""Free parking on premises"", ""Smart lock"", ""TV"", ""Air conditioning"", ""Essentials"", ""Smoke alarm"", ""Long term stays allowed"", ""Wifi"", ""Fire extinguisher"", ""Dryer"", ""Kitchen""]",$100.00,30,30,30.0,30.0,30.0,30.0,30.0,30.0,,t,30,60,89,89,2021-12-07,0,0,0,,,,,,,,,,,f,1,0,1,0,
2828,6278856,https://www.airbnb.com/rooms/6278856,20211205213202,2021-12-06,Private room w/ bathroom near USC,"This room is has a twin bed and its own private restroom with shower. It is in an old Victorian house that has 3 other bedrooms. The house has living room, dining room and a big kitchen. There is a USC shuttle stop few steps away and nearby shopping.",,https://a0.muscache.com/pictures/78382206/d5383f9f_original.jpg,32639611,https://www.airbnb.com/users/show/32639611,Roland,2015-05-05,"Los Angeles, California, United States","I have enjoyed living in Southern California for the past 40 years. One of my passions is the architecture of old historic neighborhood of Los Angeles, and I love restoring old houses. I am a very social person and I like sharing my passion about the uniqueness of this city with others. ",,,,f,https://a0.muscache.com/im/users/32639611/profile_pic/1430806437/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/32639611/profile_pic/1430806437/original.jpg?aki_policy=profile_x_medium,West Adams,1.0,1.0,"['email', 'phone', 'reviews']",t,f,,University Park,City of Los Angeles,34.03348,-118.29069,Private room in residential home,Private room,1,,1 bath,1.0,1.0,"[""Washer"", ""Heating"", ""Free parking on premises"", ""Essentials"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""Wifi"", ""Dryer"", ""Kitchen""]",$50.00,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,,t,0,0,0,0,2021-12-06,4,0,0,2015-06-19,2015-07-11,4.5,4.5,4.5,4.75,4.25,4.5,4.5,,f,1,0,1,0,0.05
2833,6290172,https://www.airbnb.com/rooms/6290172,20211205213202,2021-12-06,Neat living room for rent in a 1BHK,"I am renting out my room in a 1BHK. Its completely furnished with Ikea furniture. Its conveniently located near Downtown and is 10 minute walk to USC campus. <br /><br />There's a grocery store Ralphs located around the corner. Its quiet, safe and peaceful.<br /><br /><b>The space</b><br />This is a neat and clean student accommodation conveniently located near USC. It is the best accommodation that you can come across at this price point.<br /><br /><b>Guest access</b><br />You will have access to the room,washroom and kitchen.<br /><br /><b>Other things to note</b><br />Please carry your own Towel. There is Laundry available on site $1.25 for washer and $0.75 for the dryer. Its quarter operated and quarters are available from the grocery stores.",,https://a0.muscache.com/pictures/78538684/aaaf25e2_original.jpg,30821080,https://www.airbnb.com/users/show/30821080,Aamir,2015-04-08,"Los Angeles, California, United States",,,,,f,https://a0.muscache.com/im/users/30821080/profile_pic/1430862226/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/30821080/profile_pic/1430862226/original.jpg?aki_policy=profile_x_medium,West Adams,1.0,1.0,"['email', 'phone', 'jumio', 'government_id']",t,t,,University Park,City of Los Angeles,34.02896,-118.28837,Private room in rental unit,Private room,1,,1 bath,1.0,1.0,"[""Washer"", ""Heating"", ""Kitchen"", ""Free parking on premises"", ""Hangers"", ""Iron"", ""Hot tub"", ""Essentials"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""Wifi"", ""Dryer"", ""Dedicated workspace""]",$33.00,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,,f,0,0,0,0,2021-12-06,0,0,0,,,,,,,,,,,f,1,0,1,0,
3109,6897344,https://www.airbnb.com/rooms/6897344,20211205213202,2021-12-06,USC university gateway/ luxury,http://livegw.com/<br />One of the best student apartment in USC area. (just opposites the USC.) it includes 24hr Entertainment Lounge State of the Art Fitness Center Resident Services Lounge Rooftop Terraces Landscaped Courtyards 24hr Business Center.,,https://a0.muscache.com/pictures/87404495/841c1bf0_original.jpg,10538147,https://www.airbnb.com/users/show/10538147,Christine,2013-12-10,"Los Angeles, California, United States",,,,,f,https://a0.muscache.com/im/pictures/user/3f5e8a9f-0993-437c-a8db-e77dc7727de7.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/3f5e8a9f-0993-437c-a8db-e77dc7727de7.jpg?aki_policy=profile_x_medium,West Adams,1.0,1.0,"['email', 'phone', 'reviews', 'jumio', 'government_id']",t,t,,University Park,City of Los Angeles,34.02353,-118.28049,Private room in rental unit,Private room,2,,1 bath,1.0,1.0,"[""Washer"", ""Heating"", ""Shampoo"", ""Elevator"", ""Cable TV"", ""Gym"", ""TV with standard cable"", ""Air conditioning"", ""Hot tub"", ""Pool"", ""Long term stays allowed"", ""Wifi"", ""Dryer"", ""Kitchen""]",$76.00,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,,t,0,0,0,0,2021-12-06,1,0,0,2015-06-26,2015-06-26,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,f,1,0,1,0,0.01
3895,8971196,https://www.airbnb.com/rooms/8971196,20211205213202,2021-12-07,Private Suite Near It All,"A full suite including private bathroom, queen bed, sitting area, full flat screen TV, Apple TV, DVD player, microwave, plates, cutlery.  All of this in a historic Victorian with modern eclectic styling.<br /><br /><b>The space</b><br />Our home is on the historic register for Los Angeles.  Built in 1905, it has been totally renovated.  We love our amazing home and have decorated it with accents from our travels, passions, and experiences.  <br /><br />We look forward to sharing our place with you.<br /><br /><b>Guest access</b><br />You will have access to your suite which includes your own bathroom, microwave, mini fridge, and Apple TV. You will also find a coffee and tea station with the fixings for French press coffee and teas. You do not have access to the kitchen nor the laundry. If you stay longer than a week then you will have access to the laundry.  Our kittens are only allowed in the kitchen and their room.  Please respect this. <br /><br />We also provide access to a common ","We are walking distance from USC and St. Mary's College.  Our area is fantastically eclectic.  Entire sections of historic and gorgeous homes next to apartments next to more modern buildings.  <br /><br />You'll find great fare like at 23rd St. Cafe which is a fusion of Mexican, Asian, and American foods as well as standards like Grinder Diner (very old school), and new experiences like Italian tapas at Bacaro LA or Korean and Japanese tapas at Ebaes.  <br /><br />Great coffee can be found at 23rd St. Cafe as well as at Nature's Brew (which also has a fantastic bakery and amazing lunch and brunch menu).  A quick search on Yelp will reveal even more treasures. And don't forget to check out our guidebook. We update it with the faves from our own wanderings as well as recommendations from other travelers.<br /><br />We are walking distance (a few miles) from the Rose Garden, the California African American Museum, The California Science Museum and much more!",https://a0.muscache.com/pictures/c3538c17-1743-4707-8a15-e5f0623865ff.jpg,3790914,https://www.airbnb.com/users/show/3790914,Lisa,2012-10-07,"Los Angeles, California, United States","Things I cannot live without:
1. my husband
2. air
3. water
4. friends
5. music
6. laughter
7.  joy
8. great stories
9. happiness
10. experiencing different cultures and communities.  The world is so big, why not get to know it? 
 
Favorite destinations: Paris, Barcelona, Seattle, San Francisco, New York, Venice.

We have two cats who are incredibly friendly. They have access to the common areas but not the suites.

I'm a writer.  I adore traveling, writing, reading, a great workout and spending time with friends and family.  

In terms of hosting, we are laid back. We love meeting new people and enjoy quiet time. Our home is conveniently in a quiet area yet within walking distance of USC, the Los Angeles Convention Center, LA Live, and within quick driving distance to Hollywood, Beverly Hills, Studio City, Echo Park, Los Feliz, Burbank, and Santa Monica. This is one of the main reasons we chose to live where we do - we can have the best of it all. 

Our common room is full of books and magazines. Guess what? You are free to take a copy.  You are also welcomed to leave a book or magazine that you really enjoyed. I'm sure another guest would love to read it too.

If you are staying with us for a week or more, then we provide access to a washer and dryer. Always nice to have clean clothes on long journeys.

Please know that we are very responsive. If you have a question or can't find something or what-have-you then we answer quickly. We want to be sure your stay is a great one.",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/916fc200-4630-46a4-b002-57855a3d7035.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/916fc200-4630-46a4-b002-57855a3d7035.jpg?aki_policy=profile_x_medium,West Adams,0.0,0.0,"['email', 'phone', 'reviews', 'kba', 'work_email']",t,t,"Los Angeles, California, United States",University Park,City of Los Angeles,34.03538,-118.28031,Private room in guest suite,Private room,2,,1 private bath,1.0,1.0,"[""Free parking on premises"", ""Shampoo"", ""Dishes and silverware"", ""TV"", ""Refrigerator"", ""Dryer"", ""Hot water"", ""Washer"", ""Microwave"", ""Lockbox"", ""Hair dryer"", ""Iron"", ""Smoke alarm"", ""Heating"", ""Coffee maker"", ""First aid kit"", ""Air conditioning"", ""Backyard"", ""Essentials"", ""Wifi"", ""Luggage dropoff allowed"", ""Long term stays allowed"", ""Hangers"", ""Dedicated workspace"", ""Lock on bedroom door"", ""Carbon monoxide alarm"", ""Free street parking"", ""Fire extinguisher"", ""Kitchen""]",$54.00,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,,t,10,10,10,257,2021-12-07,139,2,0,2017-09-30,2021-06-11,4.88,4.95,4.82,4.99,4.99,4.82,4.92,HSR20-001481,f,2,0,2,0,2.73
3912,9010363,https://www.airbnb.com/rooms/9010363,20211205213202,2021-12-07,Private Modern Suite Near It All,"Enjoy WiFi, a queen bed, fridge, microwave, sitting area, closets, dresser, flat screen with Apple TV and your own bathroom. Free street parking and minutes from 110, 10, 5 freeways. LA is enormous so public transportation or a car is a must.<br /><br /><b>The space</b><br />Our home is on the historic register for Los Angeles.  Built in 1905, it has been totally renovated.  We love our amazing home and have decorated it with accents from our travels, passions, and experiences.  <br /><br />We look forward to sharing our place with you.<br /><br /><b>Guest access</b><br />You will have access to your suite which includes your own bathroom, microwave, mini fridge, and Apple TV. You will also find a coffee and tea station with the fixings for French press coffee and teas.  You do not have access to the kitchen nor the laundry.  If you stay more than a week then you are granted access to the laundry. Our kittens are only allowed in the kitchen and their room. Please respect this.<br /><br","We are walking distance from USC and St. Mary's College.  Our area is fantastically eclectic.  Entire sections of historic and gorgeous homes next to apartments next to more modern buildings.  You'll find great fare like at 23rd St. Cafe which is a fusion of Mexican, Asian, and American foods as well as standards like Grinder Diner (very old school), and new experiences like Italian tapas at Bacaro LA or Korean and Japanese tapas at Ebaes.  Great coffee can be found at 23rd St. Cafe as well as at Nature's Brew (which also has a fantastic bakery and amazing lunch and brunch menu).  <br /><br />A quick search on Yelp will reveal even more treasures. <br /><br />And don't forget to check out our guidebook. We've updated it with favorites from our wanders as well as recommendations from other visitors.<br /><br />We are walking distance (a few miles) from the Rose Garden, the California African American Museum, The California Science Museum and much more!",https://a0.muscache.com/pictures/be656272-0409-4702-b1ed-b7bc36343e0f.jpg,3790914,https://www.airbnb.com/users/show/3790914,Lisa,2012-10-07,"Los Angeles, California, United States","Things I cannot live without:
1. my husband
2. air
3. water
4. friends
5. music
6. laughter
7.  joy
8. great stories
9. happiness
10. experiencing different cultures and communities.  The world is so big, why not get to know it? 
 
Favorite destinations: Paris, Barcelona, Seattle, San Francisco, New York, Venice.

We have two cats who are incredibly friendly. They have access to the common areas but not the suites.

I'm a writer.  I adore traveling, writing, reading, a great workout and spending time with friends and family.  

In terms of hosting, we are laid back. We love meeting new people and enjoy quiet time. Our home is conveniently in a quiet area yet within walking distance of USC, the Los Angeles Convention Center, LA Live, and within quick driving distance to Hollywood, Beverly Hills, Studio City, Echo Park, Los Feliz, Burbank, and Santa Monica. This is one of the main reasons we chose to live where we do - we can have the best of it all. 

Our common room is full of books and magazines. Guess what? You are free to take a copy.  You are also welcomed to leave a book or magazine that you really enjoyed. I'm sure another guest would love to read it too.

If you are staying with us for a week or more, then we provide access to a washer and dryer. Always nice to have clean clothes on long journeys.

Please know that we are very responsive. If you have a question or can't find something or what-have-you then we answer quickly. We want to be sure your stay is a great one.",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/916fc200-4630-46a4-b002-57855a3d7035.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/916fc200-4630-46a4-b002-57855a3d7035.jpg?aki_policy=profile_x_medium,West Adams,0.0,0.0,"['email', 'phone', 'reviews', 'kba', 'work_email']",t,t,"Los Angeles, California, United States",University Park,City of Los Angeles,34.03369,-118.28073,Private room in guest suite,Private room,2,,1 private bath,1.0,1.0,"[""Shampoo"", ""Dishes and silverware"", ""TV"", ""Bed linens"", ""Refrigerator"", ""Dryer"", ""Hot water"", ""Washer"", ""Microwave"", ""Lockbox"", ""Hair dryer"", ""Cooking basics"", ""Iron"", ""Smoke alarm"", ""Heating"", ""Coffee maker"", ""First aid kit"", ""Extra pillows and blankets"", ""Essentials"", ""Wifi"", ""Luggage dropoff allowed"", ""Long term stays allowed"", ""Hangers"", ""Lock on bedroom door"", ""Carbon monoxide alarm"", ""Free street parking"", ""Fire extinguisher"", ""Dedicated workspace""]",$51.00,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,,t,0,0,28,303,2021-12-07,93,1,1,2017-10-02,2021-11-08,4.95,4.92,4.8,4.99,4.98,4.82,4.89,HSR20-001481,f,2,0,2,0,1.83
