name,total_population,white_alone,black_alone,american_indian_and_alaska_native,asian_alone,native_hawaiian_and_pacific_islander,other_alone,two_or_more_races,latino_alone,asians_all,other_all,white_percent,black_percent,american_indian_percent,asian_percent,native_hawaiian_percent,other_percent,two_or_more_races_percent,latino_percent,asians_all_percent,other_all_percent,nonwhite_percent,majority_nonwhite,majority_white,majority_black,majority_american_indian_and_alaska_native,majority_asian,majority_native_hawaiian,majority_other,majority_two_or_more_races,majority_latino,median_householdincome,total_occupied_housing_units,owner_occupied,renter_occupied,owner_percent,renter_percent,majority_owner,majority_renter,majorityhigherthanmedianincomeLA
Acton,13533.0,3030.0,43.0,9.0,122.0,0.0,0.0,64.0,1019.0,123.0,73.0,22.39,0.32,0.07,0.9,0.0,0.0,0.47,7.53,0.91,0.54,77.61,True,False,False,False,False,False,False,False,False,99453.50660453296,1474.265218465,1329.164851275,145.10036719,0.9015778400164132,0.0984221599835869,True,False,True
Adams-Normandie,37987.0,1455.0,3601.0,6.0,1622.0,62.0,32.0,273.0,11751.0,1683.0,311.0,3.83,9.48,0.02,4.27,0.16,0.08,0.72,30.93,4.43,0.82,96.17,True,False,False,False,False,False,False,False,False,37419.27012966718,5437.575802472,1123.870290818,4313.7055116540005,0.206685907772922,0.7933140922270782,False,True,False
Agoura Hills,27220.0,9337.0,415.0,0.0,1055.0,0.0,32.0,418.0,1548.0,1055.0,451.0,34.3,1.52,0.0,3.88,0.0,0.12,1.54,5.69,3.88,1.66,65.7,True,False,False,False,False,False,False,False,False,121211.78862807387,4675.116218937,3311.101230138,1364.014988799,0.7082393410298704,0.2917606589701296,True,False,True
Agua Dulce,17982.0,3431.0,84.0,29.0,176.0,2.0,4.0,131.0,1025.0,179.0,164.0,19.08,0.47,0.16,0.98,0.01,0.02,0.73,5.7,0.99,0.91,80.92,True,False,False,False,False,False,False,False,False,108312.3261359618,1490.569409319,1408.056410307,82.51299901200001,0.9446433030920056,0.0553566969079943,True,False,True
Alhambra,105896.0,3511.0,810.0,109.0,19403.0,191.0,149.0,773.0,15428.0,19594.0,1031.0,3.32,0.76,0.1,18.32,0.18,0.14,0.73,14.57,18.5,0.97,96.68,True,False,False,False,False,False,False,False,False,61884.53795951734,13840.151454729,5937.368580242,7902.782874487,0.4289959253454035,0.5710040746545966,False,True,False
Alondra Park,14428.0,1627.0,1097.0,0.0,1431.0,78.0,0.0,213.0,4155.0,1509.0,213.0,11.28,7.6,0.0,9.92,0.54,0.0,1.48,28.8,10.46,1.48,88.72,True,False,False,False,False,False,False,False,False,67556.60819651402,2732.141319966,1456.491235757,1275.650084209,0.5330951313218034,0.4669048686781966,True,False,False
Altadena,65208.0,16777.0,9504.0,103.0,2823.0,59.0,192.0,1638.0,12132.0,2882.0,1933.0,25.73,14.57,0.16,4.33,0.09,0.29,2.51,18.6,4.42,2.96,74.27,True,False,False,False,False,False,False,False,False,99190.45658700346,14660.063144604,10647.468818134,4012.59432647,0.7262907883212676,0.2737092116787324,True,False,True
Angeles Crest,48681.0,1122.0,92.0,1.0,236.0,8.0,9.0,117.0,409.0,244.0,127.0,2.31,0.19,0.0,0.49,0.02,0.02,0.24,0.84,0.5,0.26,97.69,True,False,False,False,False,False,False,False,False,126079.8203563742,604.624427696,536.795157334,67.829270362,0.8878158617896531,0.1121841382103469,True,False,True
Arcadia,110248.0,10253.0,593.0,70.0,29050.0,80.0,49.0,1409.0,6618.0,29129.0,1527.0,9.3,0.54,0.06,26.35,0.07,0.04,1.28,6.0,26.42,1.39,90.7,True,False,False,False,False,False,False,False,False,92549.90743180674,15629.267712772318,10258.05301737413,5371.214695398187,0.6563361256516962,0.3436638743483038,True,False,True
Arleta,60967.0,3032.0,406.0,89.0,3798.0,6.0,76.0,293.0,28272.0,3803.0,458.0,4.97,0.67,0.15,6.23,0.01,0.13,0.48,46.37,6.24,0.75,95.03,True,False,False,False,False,False,False,False,False,81794.4478367066,8058.817920999,6007.509174754,2051.308746245,0.7454578616424786,0.2545421383575213,True,False,True
Arlington Heights,44180.0,1196.0,3185.0,31.0,4509.0,49.0,12.0,323.0,12014.0,4558.0,367.0,2.71,7.21,0.07,10.2,0.11,0.03,0.73,27.19,10.32,0.83,97.29,True,False,False,False,False,False,False,False,False,42578.03978058064,7102.41358358,1356.310928074,5746.102655506,0.1909647913505969,0.809035208649403,False,True,False
Artesia,28600.0,1222.0,360.0,0.0,3500.0,32.0,27.0,287.0,3785.0,3532.0,314.0,4.27,1.26,0.0,12.24,0.11,0.09,1.0,13.23,12.35,1.1,95.73,True,False,False,False,False,False,False,False,False,67654.49111001924,2384.617585602,1212.706043322,1171.91154228,0.5085536778073583,0.4914463221926418,True,False,False
Athens,33309.0,120.0,5173.0,0.0,110.0,40.0,99.0,43.0,4454.0,150.0,143.0,0.36,15.53,0.0,0.33,0.12,0.3,0.13,13.37,0.45,0.43,99.64,True,False,False,False,False,False,False,False,False,60603.29255348427,3087.427896155,1922.213109023,1165.214787132,0.6225936843470491,0.3774063156529509,True,False,False
Atwater Village,37809.0,2490.0,107.0,5.0,1194.0,9.0,53.0,276.0,4246.0,1203.0,334.0,6.59,0.28,0.01,3.16,0.02,0.14,0.73,11.23,3.18,0.88,93.41,True,False,False,False,False,False,False,False,False,79113.26174573482,3326.265101714,1170.072618477,2156.192483237,0.3517676982132513,0.6482323017867487,False,True,True
Avalon,4167.0,1189.0,3.0,0.0,2.0,1.0,0.0,37.0,1560.0,2.0,37.0,28.53,0.07,0.0,0.04,0.02,0.0,0.89,37.45,0.06,0.89,71.47,True,False,False,False,False,False,False,False,False,73854.40208095063,1114.423676309,306.812935611,807.610740698,0.2753108554074985,0.7246891445925014,False,True,True
Avocado Heights,31234.0,795.0,53.0,0.0,1325.0,0.0,27.0,16.0,6269.0,1325.0,44.0,2.54,0.17,0.0,4.24,0.0,0.09,0.05,20.07,4.24,0.14,97.46,True,False,False,False,False,False,False,False,False,74490.66989590175,2294.0023966850003,1813.6442650280003,480.358131657,0.7906026025294689,0.2093973974705311,True,False,True
Azusa,82771.0,6191.0,1070.0,67.0,4162.0,40.0,56.0,644.0,30459.0,4202.0,767.0,7.48,1.29,0.08,5.03,0.05,0.07,0.78,36.8,5.08,0.93,92.52,True,False,False,False,False,False,False,False,False,70450.97129809696,11558.323586161,6381.230076504,5177.093509657,0.5520895853914636,0.4479104146085365,True,False,True
Baldwin Hills/Crenshaw,70259.0,2078.0,16456.0,77.0,1569.0,11.0,207.0,766.0,9111.0,1580.0,1050.0,2.96,23.42,0.11,2.23,0.02,0.3,1.09,12.97,2.25,1.49,97.04,True,False,False,False,False,False,False,False,False,40594.1739506395,13721.54166537,3795.902401525,9925.639263845,0.2766381864440917,0.7233618135559082,False,True,False
Baldwin Park,74330.0,2124.0,890.0,102.0,10205.0,362.0,110.0,114.0,41861.0,10567.0,325.0,2.86,1.2,0.14,13.73,0.49,0.15,0.15,56.32,14.22,0.44,97.14,True,False,False,False,False,False,False,False,True,65889.07962590284,13313.447932553,7593.393322724,5720.054609829,0.570355129729935,0.4296448702700651,True,False,False
