name,total_population,white_alone,black_alone,american_indian_and_alaska_native,asian_alone,native_hawaiian_and_pacific_islander,other_alone,two_or_more_races,latino_alone,asians_all,other_all,white_percent,black_percent,american_indian_percent,asian_percent,native_hawaiian_percent,other_percent,two_or_more_races_percent,latino_percent,asians_all_percent,other_all_percent,nonwhite_percent,majority_nonwhite,majority_white,majority_black,majority_american_indian_and_alaska_native,majority_asian,majority_native_hawaiian,majority_other,majority_two_or_more_races,majority_latino,median_householdincome,total_occupied_housing_units,owner_occupied,renter_occupied,owner_percent,renter_percent,majority_owner,majority_renter,majorityhigherthanmedianincomeLA
Bel-Air,36105.0,5237.0,206.0,0.0,673.0,0.0,0.0,464.0,285.0,674.0,465.0,14.5,0.57,0.0,1.87,0.0,0.0,1.29,0.79,1.87,1.29,85.5,True,False,False,False,False,False,False,False,False,200418.55260668256,2768.149730577,2284.649011979,483.500718598,0.8253343331622391,0.1746656668377609,True,False,True
Bell,61498.0,594.0,244.0,40.0,166.0,53.0,0.0,155.0,21872.0,219.0,195.0,0.97,0.4,0.07,0.27,0.09,0.0,0.25,35.57,0.36,0.32,99.03,True,False,False,False,False,False,False,False,False,44520.237436340256,5872.854564310353,1760.2379543712052,4112.6166099391485,0.2997244244848602,0.7002755755151399,False,True,False
Bell Gardens,43275.0,706.0,192.0,30.0,84.0,0.0,5.0,44.0,20928.0,84.0,79.0,1.63,0.44,0.07,0.19,0.0,0.01,0.1,48.36,0.19,0.18,98.37,True,False,False,False,False,False,False,False,False,42462.44652163865,5046.744220088,1094.698161708,3952.04605838,0.2169117581490809,0.7830882418509192,False,True,False
Bellflower,115628.0,11652.0,9872.0,152.0,8868.0,427.0,288.0,1505.0,40127.0,9295.0,1946.0,10.08,8.54,0.13,7.67,0.37,0.25,1.3,34.7,8.04,1.68,89.92,True,False,False,False,False,False,False,False,False,60085.391441500535,22089.399657063,8493.504956646,13595.894700417,0.38450592087188,0.6154940791281199,False,True,False
Beverly Crest,33052.0,5576.0,126.0,0.0,332.0,0.0,0.0,128.0,247.0,332.0,128.0,16.87,0.38,0.0,1.0,0.0,0.0,0.39,0.75,1.0,0.39,83.13,True,False,False,False,False,False,False,False,False,181637.74762171088,2647.946140831,2414.2517959,233.694344931,0.9117450535237624,0.0882549464762376,True,False,True
Beverly Grove,51737.0,15649.0,800.0,90.0,1808.0,13.0,39.0,933.0,1847.0,1821.0,1062.0,30.25,1.55,0.17,3.49,0.02,0.08,1.8,3.57,3.52,2.05,69.75,True,False,False,False,False,False,False,False,False,94742.15801175789,11525.221903083191,3188.517630059785,8336.704273023408,0.2766556389865953,0.7233443610134047,False,True,True
Beverly Hills,67147.0,11928.0,441.0,17.0,1679.0,0.0,142.0,542.0,1165.0,1679.0,701.0,17.76,0.66,0.03,2.5,0.0,0.21,0.81,1.73,2.5,1.04,82.24,True,False,False,False,False,False,False,False,False,109231.7170108808,7074.786495860865,2960.448692501521,4114.337803359344,0.4184506054329052,0.5815493945670949,False,True,True
Beverlywood,29704.0,5527.0,128.0,0.0,490.0,0.0,8.0,156.0,462.0,490.0,164.0,18.61,0.43,0.0,1.65,0.0,0.03,0.53,1.56,1.65,0.55,81.39,True,False,False,False,False,False,False,False,False,131530.78421603513,2590.068534164,1625.398241229,964.670292935,0.627550282855211,0.3724497171447889,True,False,True
Boyle Heights,128960.0,1892.0,1172.0,81.0,2206.0,13.0,68.0,228.0,67469.0,2219.0,377.0,1.47,0.91,0.06,1.71,0.01,0.05,0.18,52.32,1.72,0.29,98.53,True,False,False,False,False,False,False,False,True,41652.24801733739,19376.236984455,3985.8179476076,15390.4190368474,0.2057065028057464,0.7942934971942535,False,True,False
Bradbury,18977.0,19.0,5.0,0.0,14.0,0.0,0.0,1.0,28.0,14.0,1.0,0.1,0.02,0.0,0.07,0.0,0.0,0.0,0.15,0.07,0.0,99.9,True,False,False,False,False,False,False,False,False,87846.66113088968,24.5447839659,14.8951404663,9.6496434996,0.6068556352744345,0.3931443647255654,True,False,True
Brentwood,47232.0,27083.0,517.0,63.0,2675.0,0.0,82.0,1175.0,2017.0,2675.0,1320.0,57.34,1.09,0.13,5.66,0.0,0.17,2.49,4.27,5.66,2.79,42.66,False,True,False,False,False,False,False,False,False,126920.69392596664,15383.417911366,7618.019173531,7765.398737835,0.4952097913105803,0.5047902086894197,False,True,True
Broadway-Manchester,71389.0,145.0,6626.0,51.0,234.0,3.0,187.0,100.0,19789.0,237.0,338.0,0.2,9.28,0.07,0.33,0.0,0.26,0.14,27.72,0.33,0.47,99.8,True,False,False,False,False,False,False,False,False,39985.78550730897,6849.488830421999,2152.712828144,4696.776002278,0.314288099658288,0.6857119003417121,False,True,False
Burbank,129502.0,45819.0,2362.0,358.0,9423.0,0.0,1199.0,2641.0,18608.0,9423.0,4198.0,35.38,1.82,0.28,7.28,0.0,0.93,2.04,14.37,7.28,3.24,64.62,True,False,False,False,False,False,False,False,False,75862.92432405353,32676.616964628185,12368.60708444813,20308.00988018005,0.378515532921811,0.6214844670781888,False,True,True
Calabasas,43211.0,12426.0,190.0,81.0,1378.0,0.0,68.0,627.0,1377.0,1378.0,776.0,28.76,0.44,0.19,3.19,0.0,0.16,1.45,3.19,3.19,1.8,71.24,True,False,False,False,False,False,False,False,False,136749.79188848083,5796.956480788,4324.57946896,1472.377011828,0.7460086138808041,0.2539913861191959,True,False,True
Canoga Park,96549.0,12454.0,2130.0,46.0,7805.0,20.0,335.0,1017.0,33763.0,7825.0,1397.0,12.9,2.21,0.05,8.08,0.02,0.35,1.05,34.97,8.1,1.45,87.1,True,False,False,False,False,False,False,False,False,59050.34777956271,18520.773502662,5091.971280409,13428.802222253,0.2749329707896448,0.7250670292103552,False,True,False
Carson,125293.0,4822.0,19935.0,215.0,18639.0,1883.0,93.0,2403.0,30155.0,20522.0,2711.0,3.85,15.91,0.17,14.88,1.5,0.07,1.92,24.07,16.38,2.16,96.15,True,False,False,False,False,False,False,False,False,83292.3748779738,21077.969649024,15772.077154828,5305.892494196,0.7482730745633421,0.2517269254366577,True,False,True
Carthay,21995.0,3028.0,398.0,7.0,517.0,23.0,0.0,302.0,880.0,540.0,309.0,13.77,1.81,0.03,2.35,0.1,0.0,1.37,4.0,2.45,1.41,86.23,True,False,False,False,False,False,False,False,False,92489.82988676844,2267.454344438,714.829532808,1552.62481163,0.3152564172070128,0.6847435827929871,False,True,True
Castaic,25270.0,5728.0,546.0,22.0,1322.0,29.0,0.0,274.0,2556.0,1351.0,296.0,22.67,2.16,0.09,5.23,0.12,0.0,1.08,10.11,5.35,1.17,77.33,True,False,False,False,False,False,False,False,False,125952.5983107264,3098.921548708,2839.665098111,259.256450597,0.9163397825591652,0.0836602174408348,True,False,True
Castaic Canyons,120880.0,21921.0,2261.0,133.0,4003.0,34.0,148.0,1737.0,14208.0,4037.0,2018.0,18.13,1.87,0.11,3.31,0.03,0.12,1.44,11.75,3.34,1.67,81.87,True,False,False,False,False,False,False,False,False,117849.38962135726,11925.669023675,10167.36290772,1758.306115955,0.8525612179522686,0.1474387820477314,True,False,True
Central-Alameda,66075.0,163.0,3076.0,126.0,147.0,7.0,16.0,94.0,37386.0,154.0,235.0,0.25,4.65,0.19,0.22,0.01,0.02,0.14,56.58,0.23,0.36,99.75,True,False,False,False,False,False,False,False,True,40923.74972872256,8896.638268676,2414.603910374,6482.034358302,0.2714063264632813,0.7285936735367187,False,True,False
Century City,21095.0,4212.0,193.0,0.0,1059.0,4.0,32.0,231.0,277.0,1063.0,263.0,19.97,0.92,0.0,5.02,0.02,0.15,1.1,1.31,5.04,1.25,80.03,True,False,False,False,False,False,False,False,False,121632.8928241242,3001.273651997,1968.774815489,1032.498836508,0.6559797751794504,0.3440202248205496,True,False,True
Cerritos,85684.0,4820.0,3238.0,35.0,19640.0,153.0,72.0,1118.0,5242.0,19793.0,1225.0,5.62,3.78,0.04,22.92,0.18,0.08,1.3,6.12,23.1,1.43,94.38,True,False,False,False,False,False,False,False,False,105234.97508145864,10457.416907811785,8090.966657197015,2366.4502506147683,0.7737060431389123,0.2262939568610876,True,False,True
Charter Oak,36677.0,2076.0,322.0,37.0,1268.0,0.0,29.0,266.0,5240.0,1268.0,332.0,5.66,0.88,0.1,3.46,0.0,0.08,0.73,14.29,3.46,0.9,94.34,True,False,False,False,False,False,False,False,False,72111.91100100728,2768.608435643709,1625.2459416993504,1143.362493944359,0.587026291177747,0.412973708822253,True,False,True
Chatsworth,94481.0,21641.0,2941.0,151.0,10397.0,110.0,348.0,1760.0,12549.0,10507.0,2259.0,22.91,3.11,0.16,11.0,0.12,0.37,1.86,13.28,11.12,2.39,77.09,True,False,False,False,False,False,False,False,False,91179.63335605836,17103.55954581401,10750.9714284934,6352.58811732061,0.6285809336761501,0.3714190663238499,True,False,True
Chatsworth Reservoir,19981.0,65.0,17.0,0.0,16.0,0.0,1.0,8.0,32.0,16.0,9.0,0.33,0.09,0.0,0.08,0.0,0.01,0.04,0.16,0.08,0.04,99.67,True,False,False,False,False,False,False,False,False,94423.27662729497,48.489600045,33.260542646000005,15.229057399,0.6859314701530449,0.3140685298469551,True,False,True
Chesterfield Square,19212.0,210.0,3302.0,6.0,64.0,12.0,2.0,77.0,4627.0,76.0,85.0,1.09,17.19,0.03,0.33,0.06,0.01,0.4,24.08,0.39,0.44,98.91,True,False,False,False,False,False,False,False,False,44565.67668057159,2712.355781498,1373.620903926,1338.7348775720002,0.5064309458574665,0.4935690541425335,True,False,False
Cheviot Hills,18162.0,5660.0,116.0,0.0,865.0,6.0,0.0,368.0,767.0,871.0,368.0,31.16,0.64,0.0,4.76,0.03,0.0,2.03,4.22,4.8,2.03,68.84,True,False,False,False,False,False,False,False,False,136332.7862528186,3171.120536491,2210.190370729,960.930165762,0.696974569492298,0.3030254305077018,True,False,True
Chinatown,29697.0,2147.0,2088.0,122.0,5654.0,29.0,35.0,310.0,4914.0,5683.0,467.0,7.23,7.03,0.41,19.04,0.1,0.12,1.04,16.55,19.14,1.57,92.77,True,False,False,False,False,False,False,False,False,40524.456293996576,4125.497855333,247.222796568,3878.275058765,0.0599255666194122,0.9400744333805876,False,True,False
Citrus,48824.0,1849.0,362.0,13.0,1151.0,28.0,15.0,127.0,9255.0,1179.0,155.0,3.79,0.74,0.03,2.36,0.06,0.03,0.26,18.96,2.41,0.32,96.21,True,False,False,False,False,False,False,False,False,69301.66856439126,3018.152209018,1739.663972005,1278.488237013,0.5764003441599206,0.4235996558400793,True,False,True
Claremont,28763.0,7593.0,1193.0,108.0,2899.0,8.0,27.0,861.0,4823.0,2907.0,996.0,26.4,4.15,0.38,10.08,0.03,0.1,2.99,16.77,10.11,3.46,73.6,True,False,False,False,False,False,False,False,False,100222.8885784195,4987.237736338,2982.315173598,2004.92256274,0.59798937433206,0.40201062566794,True,False,True
Commerce,83889.0,271.0,353.0,93.0,74.0,17.0,16.0,56.0,12588.0,91.0,165.0,0.32,0.42,0.11,0.09,0.02,0.02,0.07,15.01,0.11,0.2,99.68,True,False,False,False,False,False,False,False,False,49493.14053837504,3493.409130248,1621.98044298,1871.428687268,0.4642973045830604,0.5357026954169395,False,True,False
Compton,159267.0,946.0,20946.0,57.0,724.0,298.0,500.0,875.0,52710.0,1022.0,1432.0,0.59,13.15,0.04,0.45,0.19,0.31,0.55,33.1,0.64,0.9,99.41,True,False,False,False,False,False,False,False,False,54164.05759817584,19204.38554615222,9833.390578304608,9370.994967847611,0.5120388025262709,0.4879611974737291,True,False,False
Covina,89525.0,9597.0,1379.0,136.0,5628.0,25.0,154.0,836.0,24185.0,5653.0,1126.0,10.72,1.54,0.15,6.29,0.03,0.17,0.93,27.01,6.31,1.26,89.28,True,False,False,False,False,False,False,False,False,70941.36566799955,13056.292042911,8188.422816183,4867.869226728,0.6271629639771238,0.3728370360228762,True,False,True
Cudahy,39191.0,557.0,100.0,17.0,27.0,34.0,0.0,0.0,14972.0,61.0,18.0,1.42,0.25,0.04,0.07,0.09,0.0,0.0,38.2,0.16,0.05,98.58,True,False,False,False,False,False,False,False,False,46450.501731153294,3723.251193068,573.399588731,3149.851604337,0.1540050775511905,0.8459949224488095,False,True,False
Culver City,91685.0,13662.0,2500.0,54.0,4947.0,38.0,208.0,1551.0,7967.0,4985.0,1813.0,14.9,2.73,0.06,5.4,0.04,0.23,1.69,8.69,5.44,1.98,85.1,True,False,False,False,False,False,False,False,False,93804.54097293848,13143.92899429167,6810.03143740727,6333.8975568844,0.5181123118030253,0.4818876881969747,True,False,True
Cypress Park,23577.0,860.0,96.0,2.0,950.0,7.0,12.0,69.0,7763.0,957.0,83.0,3.65,0.41,0.01,4.03,0.03,0.05,0.29,32.93,4.06,0.35,96.35,True,False,False,False,False,False,False,False,False,52316.083258786326,2782.949632485,973.66484982,1809.284782665,0.3498679381238309,0.650132061876169,False,True,False
Del Aire,30602.0,2158.0,911.0,2.0,623.0,99.0,22.0,372.0,4684.0,722.0,395.0,7.05,2.98,0.01,2.04,0.32,0.07,1.21,15.31,2.36,1.29,92.95,True,False,False,False,False,False,False,False,False,89473.2271754567,2931.748330658205,1601.471998531183,1330.276332127022,0.5462515256797768,0.4537484743202233,True,False,True
Del Rey,50641.0,7268.0,1145.0,21.0,2391.0,0.0,37.0,774.0,8785.0,2391.0,832.0,14.35,2.26,0.04,4.72,0.0,0.07,1.53,17.35,4.72,1.64,85.65,True,False,False,False,False,False,False,False,False,79520.88395251062,8493.518427701,3264.11778296,5229.400644741,0.3843069054061641,0.6156930945938359,False,True,True
Desert View Highlands,12569.0,435.0,167.0,1.0,175.0,0.0,17.0,70.0,1050.0,175.0,88.0,3.46,1.33,0.01,1.39,0.0,0.13,0.55,8.35,1.39,0.7,96.54,True,False,False,False,False,False,False,False,False,72770.40233468046,587.095186849,397.557019996,189.538166853,0.677159392380185,0.322840607619815,True,False,True
Diamond Bar,59893.0,7360.0,1490.0,122.0,24238.0,43.0,2.0,931.0,7058.0,24281.0,1055.0,12.29,2.49,0.2,40.47,0.07,0.0,1.55,11.79,40.54,1.76,87.71,True,False,False,False,False,False,False,False,False,98274.48766205422,13144.560837532,10051.053269386,3093.507568146,0.7646549316951671,0.2353450683048328,True,False,True
Downey,166554.0,15296.0,3534.0,81.0,7377.0,100.0,178.0,1006.0,80962.0,7477.0,1266.0,9.18,2.12,0.05,4.43,0.06,0.11,0.6,48.61,4.49,0.76,90.82,True,False,False,False,False,False,False,False,False,76139.48028768829,32008.852671894,15840.968507125,16167.884164769,0.4948933555820472,0.5051066444179527,False,True,True
Downtown,107302.0,14972.0,10609.0,236.0,14086.0,130.0,191.0,2361.0,15622.0,14216.0,2787.0,13.95,9.89,0.22,13.13,0.12,0.18,2.2,14.56,13.25,2.6,86.05,True,False,False,False,False,False,False,False,False,43682.9490280873,31507.74684079,2853.388812553,28654.358028237,0.0905614999057627,0.9094385000942372,False,True,False
Duarte,37541.0,3924.0,848.0,92.0,2801.0,1.0,18.0,334.0,7981.0,2801.0,444.0,10.45,2.26,0.25,7.46,0.0,0.05,0.89,21.26,7.46,1.18,89.55,True,False,False,False,False,False,False,False,False,74842.42209462954,5163.354780087,3719.148656306,1444.206123781,0.7202969415638981,0.2797030584361019,True,False,True
Eagle Rock,71459.0,9280.0,585.0,46.0,7603.0,124.0,154.0,1095.0,11106.0,7728.0,1295.0,12.99,0.82,0.06,10.64,0.17,0.22,1.53,15.54,10.81,1.81,87.01,True,False,False,False,False,False,False,False,False,84536.70125038814,9867.235058093054,5546.600216468499,4320.634841624556,0.5621230449880897,0.4378769550119102,True,False,True
East Compton,24166.0,136.0,976.0,22.0,73.0,0.0,0.0,66.0,7709.0,73.0,88.0,0.56,4.04,0.09,0.3,0.0,0.0,0.27,31.9,0.3,0.36,99.44,True,False,False,False,False,False,False,False,False,54185.6792682277,1978.739691717,983.682233254,995.057458463,0.4971256387950834,0.5028743612049166,False,True,False
East Hollywood,92240.0,13891.0,1843.0,45.0,11827.0,132.0,105.0,1057.0,35547.0,11959.0,1207.0,15.06,2.0,0.05,12.82,0.14,0.11,1.15,38.54,12.97,1.31,84.94,True,False,False,False,False,False,False,False,False,42657.9920277338,23020.756688966,2040.111796063,20980.644892903,0.0886205359635653,0.9113794640364348,False,True,False
East La Mirada,23842.0,1887.0,37.0,0.0,366.0,13.0,31.0,147.0,2990.0,379.0,178.0,7.92,0.15,0.0,1.54,0.05,0.13,0.62,12.54,1.59,0.75,92.08,True,False,False,False,False,False,False,False,False,77413.81204884284,1739.926078152,1196.963559117,542.9625190349999,0.6879393177371718,0.3120606822628281,True,False,True
East Los Angeles,169190.0,2381.0,272.0,181.0,1412.0,25.0,109.0,123.0,111816.0,1438.0,413.0,1.41,0.16,0.11,0.83,0.01,0.06,0.07,66.09,0.85,0.24,98.59,True,False,False,False,False,False,False,False,True,46418.78265810468,30170.490452441,10360.638047028,19809.852405413,0.3434030369297411,0.6565969630702588,False,True,False
East Pasadena,21163.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.01,0.0,99.99,True,False,False,False,False,False,False,False,False,92169.68522651675,1.97518647536,1.40253765209,0.57264882327,0.710078602494669,0.2899213975053308,True,False,True
East San Gabriel,50873.0,3129.0,174.0,0.0,9995.0,16.0,110.0,241.0,5034.0,10012.0,351.0,6.15,0.34,0.0,19.65,0.03,0.22,0.47,9.9,19.68,0.69,93.85,True,False,False,False,False,False,False,False,False,78493.19172573103,6033.374477735854,3250.7294963899226,2782.6449813459312,0.5387912698582941,0.4612087301417059,True,False,True
Echo Park,60931.0,10175.0,1276.0,120.0,5223.0,61.0,119.0,930.0,15022.0,5284.0,1168.0,16.7,2.09,0.2,8.57,0.1,0.2,1.53,24.65,8.67,1.92,83.3,True,False,False,False,False,False,False,False,False,69103.27151108165,12810.133227054,3271.112321603,9539.020905451,0.25535349739335,0.7446465026066499,False,True,True
El Monte,152227.0,3770.0,491.0,234.0,28459.0,730.0,133.0,373.0,65943.0,29188.0,740.0,2.48,0.32,0.15,18.69,0.48,0.09,0.24,43.32,19.17,0.49,97.52,True,False,False,False,False,False,False,False,False,49163.1382622008,25760.522051386,10420.069258907,15340.452792479,0.4044975966760878,0.5955024033239122,False,True,False
El Segundo,36124.0,10377.0,628.0,0.0,1702.0,9.0,70.0,1242.0,2714.0,1712.0,1312.0,28.73,1.74,0.0,4.71,0.03,0.19,3.44,7.51,4.74,3.63,71.27,True,False,False,False,False,False,False,False,False,108771.1426023207,6421.663922115,2794.244282335,3627.41963978,0.4351277669191235,0.5648722330808765,False,True,True
El Sereno,82276.0,3325.0,667.0,177.0,4615.0,7.0,127.0,580.0,32571.0,4622.0,884.0,4.04,0.81,0.22,5.61,0.01,0.15,0.7,39.59,5.62,1.07,95.96,True,False,False,False,False,False,False,False,False,57530.993319549874,11955.80460538,5909.271371189,6046.533234191001,0.4942596141567823,0.5057403858432177,False,True,False
Elizabeth Lake,12061.0,534.0,29.0,16.0,37.0,0.0,1.0,36.0,215.0,37.0,53.0,4.43,0.24,0.14,0.3,0.0,0.01,0.29,1.79,0.31,0.44,95.57,True,False,False,False,False,False,False,False,False,81725.37830676434,316.145721759,260.023365613,56.122356146,0.8224794698035406,0.1775205301964593,True,False,True
Elysian Park,32615.0,426.0,49.0,21.0,1003.0,0.0,0.0,51.0,1148.0,1004.0,73.0,1.31,0.15,0.07,3.08,0.0,0.0,0.16,3.52,3.08,0.22,98.69,True,False,False,False,False,False,False,False,False,50963.71020770106,936.078958139,140.506274719,795.57268342,0.1501008793086618,0.849899120691338,False,True,False
Elysian Valley,21625.0,1133.0,148.0,18.0,1579.0,19.0,0.0,147.0,4513.0,1597.0,166.0,5.24,0.68,0.08,7.3,0.09,0.0,0.68,20.87,7.39,0.77,94.76,True,False,False,False,False,False,False,False,False,66245.51034248262,2405.590370226,1110.738066728,1294.852303498,0.4617320057793748,0.5382679942206251,False,True,False
Encino,57213.0,30159.0,1108.0,29.0,3011.0,20.0,70.0,1407.0,5752.0,3031.0,1506.0,52.71,1.94,0.05,5.26,0.03,0.12,2.46,10.05,5.3,2.63,47.29,False,True,False,False,False,False,False,False,False,93485.688511832,16738.838003835,8986.444017934,7752.393985901,0.5368618786964265,0.4631381213035734,True,False,True
Exposition Park,66012.0,951.0,5195.0,27.0,933.0,10.0,85.0,303.0,18702.0,943.0,415.0,1.44,7.87,0.04,1.41,0.02,0.13,0.46,28.33,1.43,0.63,98.56,True,False,False,False,False,False,False,False,False,40028.91994785268,7049.582232129,2022.593351824,5026.988880305,0.2869096756692728,0.7130903243307272,False,True,False
