type,name,pop2020,white2020,whitepct2020
Los Angeles,Adams-Normandie,7590,488,6.0
Los Angeles,Alsace,10553,743,7.0
Los Angeles,Angeles National Forest,11,8,73.0
Los Angeles,Angelino Heights,2431,800,33.0
Los Angeles,Arleta,31465,2324,7.0
Los Angeles,Atwater Village,14435,4727,33.0
Los Angeles,Baldwin Hills,30096,2562,9.0
Los Angeles,Bel Air,7748,5870,76.0
Los Angeles,Beverly Crest,11918,9276,78.0
Los Angeles,Beverlywood,12975,9270,71.0
Los Angeles,Boyle Heights,78612,2143,3.0
Los Angeles,Brentwood,30334,22861,75.0
Los Angeles,Brookside,720,342,48.0
Los Angeles,Cadillac-Corning,6086,1339,22.0
Los Angeles,Canoga Park,62627,13440,21.0
Los Angeles,Carthay,14080,10109,72.0
Los Angeles,Central,34738,443,1.0
Los Angeles,Century City,13600,9492,70.0
Los Angeles,Century Palms/Cove,32671,359,1.0
Los Angeles,Chatsworth,36838,15793,43.0
Los Angeles,Cheviot Hills,9588,6937,72.0
Los Angeles,Chinatown,8706,1019,12.0
Los Angeles,Cloverdale/Cochran,13287,1608,12.0
Los Angeles,Country Club Park,14016,2029,14.0
Los Angeles,Crenshaw District,13419,1248,9.0
Los Angeles,Crestview,11310,6650,59.0
Los Angeles,Del Rey,29261,12006,41.0
Los Angeles,Downtown,40904,13163,32.0
Los Angeles,Eagle Rock,36289,11698,32.0
Los Angeles,East Hollywood,24474,6839,28.0
Los Angeles,Echo Park,13271,5082,38.0
Los Angeles,El Sereno,38141,2817,7.0
Los Angeles,Elysian Park,4709,961,20.0
Los Angeles,Elysian Valley,8856,1547,17.0
Los Angeles,Encino,45045,32272,72.0
Los Angeles,Exposition,3169,315,10.0
Los Angeles,Exposition Park,42417,3645,9.0
Los Angeles,Faircrest Heights,3642,970,27.0
Los Angeles,Figueroa Park Square,8558,134,2.0
Los Angeles,Florence-Firestone,45781,512,1.0
Los Angeles,Glassell Park,28146,6698,24.0
Los Angeles,Gramercy Place,10601,201,2.0
Los Angeles,Granada Hills,56970,24163,42.0
Los Angeles,Green Meadows,21142,249,1.0
Los Angeles,Hancock Park,16342,8757,54.0
Los Angeles,Harbor City,28561,6181,22.0
Los Angeles,Harbor Gateway,41093,3050,7.0
Los Angeles,Harbor Pines,2571,955,37.0
Los Angeles,Harvard Heights,15806,856,5.0
Los Angeles,Harvard Park,38178,555,1.0
Los Angeles,Highland Park,43093,8658,20.0
Los Angeles,Historic Filipinotown,11997,1378,11.0
Los Angeles,Hollywood,65469,33768,52.0
Los Angeles,Hollywood Hills,29679,20648,70.0
Los Angeles,Hyde Park,29133,995,3.0
Los Angeles,Jefferson Park,7339,530,7.0
Los Angeles,Koreatown,47297,4268,9.0
Los Angeles,Lafayette Square,4123,557,14.0
Los Angeles,Lake Balboa,39515,11938,30.0
Los Angeles,Lakeview Terrace,12795,2516,20.0
Los Angeles,Leimert Park,15827,838,5.0
Los Angeles,Lincoln Heights,29354,2453,8.0
Los Angeles,Little Armenia,6942,2725,39.0
Los Angeles,Little Bangladesh,27319,2837,10.0
Los Angeles,Little Tokyo,5682,1225,22.0
Los Angeles,Longwood,3837,390,10.0
Los Angeles,Los Feliz,21042,14050,67.0
Los Angeles,Manchester Square,8409,195,2.0
Los Angeles,Mandeville Canyon,3242,2620,81.0
Los Angeles,Mar Vista,39576,20599,52.0
Los Angeles,Marina Peninsula,4903,3604,74.0
Los Angeles,Melrose,71128,28492,40.0
Los Angeles,Mid-city,14556,4684,32.0
Los Angeles,Miracle Mile,17275,9142,53.0
Los Angeles,Mission Hills,23333,3309,14.0
Los Angeles,Mt. Washington,21324,4955,23.0
Los Angeles,North Hills,58069,10039,17.0
Los Angeles,North Hollywood,142039,49095,35.0
Los Angeles,Northridge,68270,23296,34.0
Los Angeles,Pacific Palisades,20952,17011,81.0
Los Angeles,Pacoima,72056,2599,4.0
Los Angeles,Palisades Highlands,3911,3026,77.0
Los Angeles,Palms,42167,17508,42.0
Los Angeles,Panorama City,69747,7598,11.0
Los Angeles,Park La Brea,12287,5577,45.0
Los Angeles,Pico-Union,39024,1858,5.0
Los Angeles,Playa Del Rey,2958,2088,71.0
Los Angeles,Playa Vista,16230,8035,50.0
Los Angeles,Porter Ranch,35717,15973,45.0
Los Angeles,Rancho Park,6663,3563,53.0
Los Angeles,Regent Square,2496,677,27.0
