year,month_year,day_count
2006,2006-10,1
2006,2006-11,2
2006,2006-12,0
2007,2007-01,2
2007,2007-02,24
2007,2007-03,76
2007,2007-04,110
2007,2007-05,57
2007,2007-06,246
2007,2007-07,300
2007,2007-08,147
2007,2007-09,333
2007,2007-10,264
2007,2007-11,156
2007,2007-12,995
2008,2008-01,1731
2008,2008-02,1663
2008,2008-03,667
2008,2008-04,520
2008,2008-05,334
2008,2008-06,815
2008,2008-07,558
2008,2008-08,544
2008,2008-09,1415
2008,2008-10,1839
2008,2008-11,754
2008,2008-12,955
2009,2009-01,1334
2009,2009-02,3143
2009,2009-03,7142
2009,2009-04,20726
2009,2009-05,31720
2009,2009-06,49332
2009,2009-07,36390
2009,2009-08,42285
2009,2009-09,11863
2009,2009-10,17431
2009,2009-11,12996
2009,2009-12,23131
2010,2010-01,22351
2010,2010-02,20599
2010,2010-03,22513
2010,2010-04,19766
2010,2010-05,60312
2010,2010-06,141913
2010,2010-07,65979
2010,2010-08,70604
2010,2010-09,34024
2010,2010-10,31048
2010,2010-11,158454
2010,2010-12,84654
2011,2011-01,45928
2011,2011-02,35535
2011,2011-03,26710
2011,2011-04,27422
2011,2011-05,36117
2011,2011-06,38041
2011,2011-07,38650
2011,2011-08,41466
2011,2011-09,34772
2011,2011-10,35572
2011,2011-11,31886
2011,2011-12,320651
2012,2012-01,86634
2012,2012-02,76118
2012,2012-03,114632
2012,2012-04,322994
2012,2012-05,70466
2012,2012-06,63002
2012,2012-07,170821
2012,2012-08,91140
2012,2012-09,70610
2012,2012-10,67038
2012,2012-11,58116
2012,2012-12,238666
2013,2013-01,317640
2013,2013-02,381072
2013,2013-03,763942
2013,2013-04,2132613
2013,2013-05,198367
2013,2013-06,106325
2013,2013-07,109243
2013,2013-08,100676
2013,2013-09,113650
2013,2013-10,76943
2013,2013-11,107648
2013,2013-12,210567
2014,2014-01,197185
2014,2014-02,176910
2014,2014-03,212033
2014,2014-04,152796
2014,2014-05,122125
2014,2014-06,155781
2014,2014-07,191907
2014,2014-08,116385
2014,2014-09,139239
2014,2014-10,212438
2014,2014-11,157121
2014,2014-12,920488
2015,2015-01,258100
2015,2015-02,126943
2015,2015-03,139241
2015,2015-04,111775
2015,2015-05,193851
2015,2015-06,118238
2015,2015-07,109972
2015,2015-08,295110
2015,2015-09,120614
2015,2015-10,127717
2015,2015-11,83835
2015,2015-12,117315
2016,2016-01,491593
2016,2016-02,360905
2016,2016-03,375240
2016,2016-04,252613
2016,2016-05,237422
2016,2016-06,163313
2016,2016-07,407455
2016,2016-08,245948
2016,2016-09,399892
2016,2016-10,136176
2016,2016-11,118897
2016,2016-12,98844
2017,2017-01,197152
2017,2017-02,454407
2017,2017-03,642402
2017,2017-04,2006453
2017,2017-05,752252
2017,2017-06,613393
2017,2017-07,1311248
2017,2017-08,2967067
2017,2017-09,2459571
2017,2017-10,912034
2017,2017-11,944071
2017,2017-12,852446
2018,2018-01,947869
2018,2018-02,835053
2018,2018-03,1054165
2018,2018-04,1064097
2018,2018-05,1689762
2018,2018-06,2299533
2018,2018-07,935371
2018,2018-08,447559
2018,2018-09,364962
2018,2018-10,236202
2018,2018-11,279322
2018,2018-12,244738
2019,2019-01,337214
2019,2019-02,666918
2019,2019-03,535205
2019,2019-04,306876
2019,2019-05,424570
2019,2019-06,538609
2019,2019-07,566500
2019,2019-08,375727
2019,2019-09,238069
2019,2019-10,263207
2019,2019-11,239062
2019,2019-12,605053
2020,2020-01,371700
2020,2020-02,255061
2020,2020-03,454705
2020,2020-04,666825
2020,2020-05,351466
2020,2020-06,437091
2020,2020-07,249208
2020,2020-08,255438
2020,2020-09,288420
2020,2020-10,454262
2020,2020-11,215860
2020,2020-12,152044
2021,2021-01,303148
2021,2021-02,280372
2021,2021-03,364961
2021,2021-04,167592
2021,2021-05,213137
2021,2021-06,257598
2021,2021-07,176925
2021,2021-08,189525
2021,2021-09,241599
2021,2021-10,230584
2021,2021-11,139286
2021,2021-12,160903
2022,2022-01,285753
2022,2022-02,404883
2022,2022-03,504723
2022,2022-04,102361
