year,month_year,day_count
2007,2007-03,4
2007,2007-04,0
2007,2007-05,4
2007,2007-06,0
2007,2007-07,0
2007,2007-08,2
2007,2007-09,2
2007,2007-10,3
2007,2007-11,0
2007,2007-12,4
2008,2008-01,1
2008,2008-02,15
2008,2008-03,6
2008,2008-04,8
2008,2008-05,24
2008,2008-06,20
2008,2008-07,10
2008,2008-08,62
2008,2008-09,78
2008,2008-10,77
2008,2008-11,134
2008,2008-12,38
2009,2009-01,55
2009,2009-02,44
2009,2009-03,110
2009,2009-04,706
2009,2009-05,486
2009,2009-06,989
2009,2009-07,241
2009,2009-08,188
2009,2009-09,249
2009,2009-10,66
2009,2009-11,124
2009,2009-12,54
2010,2010-01,259
2010,2010-02,928
2010,2010-03,215
2010,2010-04,392
2010,2010-05,1822
2010,2010-06,3433
2010,2010-07,2850
2010,2010-08,1683
2010,2010-09,341
2010,2010-10,829
2010,2010-11,1006
2010,2010-12,1860
2011,2011-01,652
2011,2011-02,309
2011,2011-03,1090
2011,2011-04,3769
2011,2011-05,1347
2011,2011-06,364
2011,2011-07,551
2011,2011-08,2895
2011,2011-09,3355
2011,2011-10,2605
2011,2011-11,1073
2011,2011-12,1391
2012,2012-01,1248
2012,2012-02,2841
2012,2012-03,3573
2012,2012-04,8462
2012,2012-05,12265
2012,2012-06,5758
2012,2012-07,5041
2012,2012-08,6611
2012,2012-09,7386
2012,2012-10,5936
2012,2012-11,17439
2012,2012-12,5521
2013,2013-01,6487
2013,2013-02,23805
2013,2013-03,27605
2013,2013-04,11902
2013,2013-05,29745
2013,2013-06,10509
2013,2013-07,23662
2013,2013-08,87226
2013,2013-09,27602
2013,2013-10,28251
2013,2013-11,21548
2013,2013-12,13389
2014,2014-01,9345
2014,2014-02,22195
2014,2014-03,30268
2014,2014-04,21106
2014,2014-05,31311
2014,2014-06,62891
2014,2014-07,33753
2014,2014-08,32995
2014,2014-09,22615
2014,2014-10,72805
2014,2014-11,40911
2014,2014-12,32443
2015,2015-01,118259
2015,2015-02,43904
2015,2015-03,62703
2015,2015-04,51872
2015,2015-05,124737
2015,2015-06,65414
2015,2015-07,65350
2015,2015-08,58205
2015,2015-09,83363
2015,2015-10,101588
2015,2015-11,52751
2015,2015-12,110230
2016,2016-01,83694
2016,2016-02,68668
2016,2016-03,42992
2016,2016-04,114910
2016,2016-05,83860
2016,2016-06,188633
2016,2016-07,131931
2016,2016-08,88142
2016,2016-09,215369
2016,2016-10,142948
2016,2016-11,128445
2016,2016-12,90214
2017,2017-01,106701
2017,2017-02,165354
2017,2017-03,178354
2017,2017-04,155425
2017,2017-05,161440
2017,2017-06,211956
2017,2017-07,233856
2017,2017-08,205230
2017,2017-09,176549
2017,2017-10,188115
2017,2017-11,204643
2017,2017-12,197117
2018,2018-01,136204
2018,2018-02,504855
2018,2018-03,258165
2018,2018-04,166697
2018,2018-05,406458
2018,2018-06,244331
2018,2018-07,731463
2018,2018-08,422373
2018,2018-09,484183
2018,2018-10,233781
2018,2018-11,173154
2018,2018-12,205061
2019,2019-01,132505
2019,2019-02,167166
2019,2019-03,154543
2019,2019-04,222831
2019,2019-05,141374
2019,2019-06,213010
2019,2019-07,169351
2019,2019-08,134518
2019,2019-09,128460
2019,2019-10,148812
2019,2019-11,332641
2019,2019-12,194828
2020,2020-01,253561
2020,2020-02,139292
2020,2020-03,239147
2020,2020-04,350551
2020,2020-05,1513290
2020,2020-06,234713
2020,2020-07,1081234
2020,2020-08,476292
2020,2020-09,319618
2020,2020-10,222102
2020,2020-11,304413
2020,2020-12,412030
2021,2021-01,1099349
2021,2021-02,959493
2021,2021-03,676464
2021,2021-04,668999
2021,2021-05,1468003
2021,2021-06,846389
2021,2021-07,650093
2021,2021-08,560458
2021,2021-09,469916
2021,2021-10,826472
2021,2021-11,1116963
2021,2021-12,1480705
2022,2022-01,952070
2022,2022-02,1111814
2022,2022-03,1246998
2022,2022-04,2330987
