year,month_year,day_count
2006,2006-12,2
2007,2007-01,7
2007,2007-02,8
2007,2007-03,30
2007,2007-04,80
2007,2007-05,94
2007,2007-06,59
2007,2007-07,58
2007,2007-08,75
2007,2007-09,87
2007,2007-10,135
2007,2007-11,156
2007,2007-12,229
2008,2008-01,298
2008,2008-02,279
2008,2008-03,391
2008,2008-04,419
2008,2008-05,383
2008,2008-06,530
2008,2008-07,511
2008,2008-08,887
2008,2008-09,867
2008,2008-10,1171
2008,2008-11,1210
2008,2008-12,1608
2009,2009-01,1809
2009,2009-02,3532
2009,2009-03,5821
2009,2009-04,8681
2009,2009-05,20127
2009,2009-06,40211
2009,2009-07,57241
2009,2009-08,61936
2009,2009-09,97435
2009,2009-10,104402
2009,2009-11,55398
2009,2009-12,49395
2010,2010-01,60707
2010,2010-02,53566
2010,2010-03,52673
2010,2010-04,53377
2010,2010-05,58453
2010,2010-06,49145
2010,2010-07,51469
2010,2010-08,58515
2010,2010-09,59544
2010,2010-10,63704
2010,2010-11,60751
2010,2010-12,65301
2011,2011-01,84523
2011,2011-02,102999
2011,2011-03,196960
2011,2011-04,705754
2011,2011-05,578472
2011,2011-06,114006
2011,2011-07,105867
2011,2011-08,104284
2011,2011-09,125194
2011,2011-10,112007
2011,2011-11,101714
2011,2011-12,292061
2012,2012-01,123559
2012,2012-02,197238
2012,2012-03,154424
2012,2012-04,150196
2012,2012-05,194443
2012,2012-06,135800
2012,2012-07,116010
2012,2012-08,139832
2012,2012-09,109388
2012,2012-10,465919
2012,2012-11,448221
2012,2012-12,149929
2013,2013-01,143076
2013,2013-02,165281
2013,2013-03,155243
2013,2013-04,145117
2013,2013-05,154925
2013,2013-06,110492
2013,2013-07,93107
2013,2013-08,137300
2013,2013-09,80816
2013,2013-10,87595
2013,2013-11,92942
2013,2013-12,206321
2014,2014-01,262175
2014,2014-02,120007
2014,2014-03,117314
2014,2014-04,131220
2014,2014-05,108245
2014,2014-06,114791
2014,2014-07,108458
2014,2014-08,113213
2014,2014-09,135328
2014,2014-10,118508
2014,2014-11,97574
2014,2014-12,134968
2015,2015-01,181127
2015,2015-02,167646
2015,2015-03,159974
2015,2015-04,163324
2015,2015-05,138066
2015,2015-06,1471707
2015,2015-07,3334553
2015,2015-08,5331716
2015,2015-09,4136961
2015,2015-10,2490220
2015,2015-11,3092199
2015,2015-12,6652326
2016,2016-01,6189986
2016,2016-02,10226535
2016,2016-03,20636714
2016,2016-04,9164727
2016,2016-05,12508142
2016,2016-06,13146042
2016,2016-07,19412327
2016,2016-08,21426405
2016,2016-09,28944934
2016,2016-10,45639592
2016,2016-11,70341956
2016,2016-12,26523540
2017,2017-01,68036881
2017,2017-02,54350786
2017,2017-03,44388163
2017,2017-04,32298486
2017,2017-05,43413816
2017,2017-06,36716750
2017,2017-07,39424866
2017,2017-08,48156085
2017,2017-09,34688922
2017,2017-10,36321821
2017,2017-11,31876988
2017,2017-12,36345916
2018,2018-01,44865291
2018,2018-02,31159721
2018,2018-03,33737675
2018,2018-04,33304640
2018,2018-05,35143548
2018,2018-06,48920867
2018,2018-07,50576088
2018,2018-08,40900608
2018,2018-09,30337416
2018,2018-10,37051747
2018,2018-11,36420874
2018,2018-12,33228557
2019,2019-01,45146726
2019,2019-02,33728700
2019,2019-03,33473341
2019,2019-04,33234070
2019,2019-05,35792575
2019,2019-06,35676666
2019,2019-07,44758832
2019,2019-08,42221704
2019,2019-09,42398821
2019,2019-10,59592748
2019,2019-11,47341306
2019,2019-12,47066973
2020,2020-01,60588973
2020,2020-02,53620772
2020,2020-03,66816898
2020,2020-04,63303922
2020,2020-05,60720726
2020,2020-06,87326120
2020,2020-07,76998507
2020,2020-08,85083210
2020,2020-09,101968348
2020,2020-10,118828258
2020,2020-11,113297578
2020,2020-12,47477917
2021,2021-01,118256554
2021,2021-02,41575128
2021,2021-03,20049668
2021,2021-04,13182991
2021,2021-05,17456470
2021,2021-06,18279861
2021,2021-07,18538582
2021,2021-08,21396075
2021,2021-09,14446120
2021,2021-10,13101051
2021,2021-11,12444039
2021,2021-12,15140245
2022,2022-01,17601508
2022,2022-02,22869873
2022,2022-03,20957810
2022,2022-04,8070948
