year,month_year,day_count
2007,2007-01,13
2007,2007-02,14
2007,2007-03,18
2007,2007-04,84
2007,2007-05,152
2007,2007-06,399
2007,2007-07,210
2007,2007-08,142
2007,2007-09,220
2007,2007-10,294
2007,2007-11,259
2007,2007-12,809
2008,2008-01,1245
2008,2008-02,2369
2008,2008-03,2099
2008,2008-04,1704
2008,2008-05,427
2008,2008-06,667
2008,2008-07,532
2008,2008-08,2016
2008,2008-09,1531
2008,2008-10,1273
2008,2008-11,974
2008,2008-12,1891
2009,2009-01,1472
2009,2009-02,2989
2009,2009-03,7975
2009,2009-04,15380
2009,2009-05,5389
2009,2009-06,5892
2009,2009-07,9088
2009,2009-08,14709
2009,2009-09,23109
2009,2009-10,15406
2009,2009-11,17332
2009,2009-12,20277
2010,2010-01,19350
2010,2010-02,42654
2010,2010-03,24632
2010,2010-04,30659
2010,2010-05,33669
2010,2010-06,41523
2010,2010-07,48617
2010,2010-08,36639
2010,2010-09,48837
2010,2010-10,92938
2010,2010-11,104708
2010,2010-12,48658
2011,2011-01,38037
2011,2011-02,56122
2011,2011-03,197860
2011,2011-04,275407
2011,2011-05,269384
2011,2011-06,266387
2011,2011-07,161730
2011,2011-08,271362
2011,2011-09,176482
2011,2011-10,234777
2011,2011-11,196124
2011,2011-12,153772
2012,2012-01,124655
2012,2012-02,173092
2012,2012-03,176951
2012,2012-04,173940
2012,2012-05,575161
2012,2012-06,222589
2012,2012-07,206481
2012,2012-08,163996
2012,2012-09,189847
2012,2012-10,200761
2012,2012-11,166419
2012,2012-12,243174
2013,2013-01,169191
2013,2013-02,166807
2013,2013-03,171192
2013,2013-04,193006
2013,2013-05,168398
2013,2013-06,170645
2013,2013-07,145436
2013,2013-08,155105
2013,2013-09,161976
2013,2013-10,163631
2013,2013-11,186759
2013,2013-12,153441
2014,2014-01,145348
2014,2014-02,168428
2014,2014-03,447014
2014,2014-04,376933
2014,2014-05,315877
2014,2014-06,305677
2014,2014-07,258289
2014,2014-08,432018
2014,2014-09,705558
2014,2014-10,319400
2014,2014-11,288302
2014,2014-12,301247
2015,2015-01,272823
2015,2015-02,319054
2015,2015-03,345796
2015,2015-04,272013
2015,2015-05,296117
2015,2015-06,318153
2015,2015-07,276668
2015,2015-08,264710
2015,2015-09,326501
2015,2015-10,438325
2015,2015-11,505000
2015,2015-12,401257
2016,2016-01,296258
2016,2016-02,482630
2016,2016-03,408661
2016,2016-04,346930
2016,2016-05,439820
2016,2016-06,453545
2016,2016-07,880014
2016,2016-08,370084
2016,2016-09,326208
2016,2016-10,384359
2016,2016-11,490759
2016,2016-12,374073
2017,2017-01,635726
2017,2017-02,522809
2017,2017-03,774904
2017,2017-04,532166
2017,2017-05,1333101
2017,2017-06,564046
2017,2017-07,392758
2017,2017-08,322194
2017,2017-09,336316
2017,2017-10,341097
2017,2017-11,547376
2017,2017-12,376861
2018,2018-01,405276
2018,2018-02,424731
2018,2018-03,682406
2018,2018-04,510821
2018,2018-05,434544
2018,2018-06,680668
2018,2018-07,2570699
2018,2018-08,530936
2018,2018-09,441387
2018,2018-10,472484
2018,2018-11,627592
2018,2018-12,492776
2019,2019-01,862628
2019,2019-02,530121
2019,2019-03,577943
2019,2019-04,619843
2019,2019-05,443673
2019,2019-06,440323
2019,2019-07,460207
2019,2019-08,459245
2019,2019-09,434608
2019,2019-10,1099930
2019,2019-11,718113
2019,2019-12,1486452
2020,2020-01,608664
2020,2020-02,686414
2020,2020-03,644421
2020,2020-04,573556
2020,2020-05,485149
2020,2020-06,654941
2020,2020-07,651340
2020,2020-08,572950
2020,2020-09,677110
2020,2020-10,722621
2020,2020-11,508349
2020,2020-12,495271
2021,2021-01,534733
2021,2021-02,579437
2021,2021-03,719166
2021,2021-04,796756
2021,2021-05,638482
2021,2021-06,1438126
2021,2021-07,702198
2021,2021-08,1329219
2021,2021-09,696994
2021,2021-10,622302
2021,2021-11,686723
2021,2021-12,1010864
2022,2022-01,1976805
2022,2022-02,10164016
2022,2022-03,13945280
2022,2022-04,3227539
