date_occurred,Battles,Explosions/Remote violence,Riots,Violence against civilians
2022-02-24,51.0,19.0,0.0,8.0
2022-02-25,19.0,13.0,0.0,3.0
2022-02-26,53.0,25.0,0.0,5.0
2022-02-27,30.0,13.0,0.0,16.0
2022-02-28,14.0,91.0,0.0,10.0
2022-03-01,12.0,67.0,0.0,5.0
2022-03-02,235.0,29.0,0.0,3.0
2022-03-03,53.0,68.0,0.0,3.0
2022-03-04,28.0,44.0,0.0,4.0
2022-03-05,82.0,27.0,0.0,5.0
2022-03-06,64.0,28.0,0.0,5.0
2022-03-07,104.0,25.0,0.0,5.0
2022-03-08,109.0,57.0,0.0,3.0
2022-03-09,40.0,35.0,0.0,10.0
2022-03-10,22.0,31.0,0.0,6.0
2022-03-11,10.0,27.0,0.0,0.0
