year,month_year,day_count
2006,2006-09,1
2006,2006-10,1
2006,2006-11,0
2006,2006-12,0
2007,2007-01,4
2007,2007-02,3
2007,2007-03,13
2007,2007-04,44
2007,2007-05,47
2007,2007-06,36
2007,2007-07,59
2007,2007-08,67
2007,2007-09,73
2007,2007-10,80
2007,2007-11,120
2007,2007-12,80
2008,2008-01,127
2008,2008-02,120
2008,2008-03,258
2008,2008-04,312
2008,2008-05,384
2008,2008-06,313
2008,2008-07,384
2008,2008-08,491
2008,2008-09,489
2008,2008-10,733
2008,2008-11,968
2008,2008-12,810
2009,2009-01,1342
2009,2009-02,2964
2009,2009-03,30641
2009,2009-04,6950
2009,2009-05,7239
2009,2009-06,9028
2009,2009-07,12434
2009,2009-08,11400
2009,2009-09,12083
2009,2009-10,14054
2009,2009-11,15384
2009,2009-12,14522
2010,2010-01,18042
2010,2010-02,22711
2010,2010-03,25272
2010,2010-04,27041
2010,2010-05,32009
2010,2010-06,34437
2010,2010-07,35308
2010,2010-08,36009
2010,2010-09,38365
2010,2010-10,47320
2010,2010-11,44954
2010,2010-12,46132
2011,2011-01,49784
2011,2011-02,52048
2011,2011-03,74035
2011,2011-04,74181
2011,2011-05,85552
2011,2011-06,90613
2011,2011-07,106976
2011,2011-08,107848
2011,2011-09,96332
2011,2011-10,113505
2011,2011-11,120645
2011,2011-12,154353
2012,2012-01,144974
2012,2012-02,171336
2012,2012-03,388171
2012,2012-04,225064
2012,2012-05,175146
2012,2012-06,198997
2012,2012-07,229740
2012,2012-08,201735
2012,2012-09,183718
2012,2012-10,213136
2012,2012-11,181760
2012,2012-12,178311
2013,2013-01,201209
2013,2013-02,188096
2013,2013-03,187581
2013,2013-04,177993
2013,2013-05,174778
2013,2013-06,172071
2013,2013-07,292675
2013,2013-08,195843
2013,2013-09,141142
2013,2013-10,153038
2013,2013-11,140775
2013,2013-12,136118
2014,2014-01,244310
2014,2014-02,176536
2014,2014-03,133504
2014,2014-04,115467
2014,2014-05,97905
2014,2014-06,111533
2014,2014-07,136004
2014,2014-08,106749
2014,2014-09,102936
2014,2014-10,84727
2014,2014-11,78028
2014,2014-12,89072
2015,2015-01,127433
2015,2015-02,142825
2015,2015-03,79429
2015,2015-04,63990
2015,2015-05,68183
2015,2015-06,94125
2015,2015-07,67311
2015,2015-08,62019
2015,2015-09,68341
2015,2015-10,58655
2015,2015-11,47326
2015,2015-12,59963
2016,2016-01,71042
2016,2016-02,71929
2016,2016-03,52330
2016,2016-04,63097
2016,2016-05,74395
2016,2016-06,61924
2016,2016-07,95598
2016,2016-08,45962
2016,2016-09,388527
2016,2016-10,92122
2016,2016-11,51565
2016,2016-12,43619
2017,2017-01,90881
2017,2017-02,91016
2017,2017-03,95522
2017,2017-04,99202
2017,2017-05,61094
2017,2017-06,50707
2017,2017-07,46069
2017,2017-08,67189
2017,2017-09,37024
2017,2017-10,47658
2017,2017-11,64510
2017,2017-12,45739
2018,2018-01,45873
2018,2018-02,47662
2018,2018-03,54812
2018,2018-04,45337
2018,2018-05,42719
2018,2018-06,57085
2018,2018-07,64780
2018,2018-08,67712
2018,2018-09,59888
2018,2018-10,92545
2018,2018-11,68790
2018,2018-12,81315
2019,2019-01,49155
2019,2019-02,41379
2019,2019-03,43278
2019,2019-04,43761
2019,2019-05,39063
2019,2019-06,121500
2019,2019-07,32473
2019,2019-08,91686
2019,2019-09,62282
2019,2019-10,61604
2019,2019-11,46948
2019,2019-12,62327
2020,2020-01,67575
2020,2020-02,54539
2020,2020-03,134324
2020,2020-04,78247
2020,2020-05,119612
2020,2020-06,108926
2020,2020-07,65913
2020,2020-08,338009
2020,2020-09,146988
2020,2020-10,76603
2020,2020-11,49819
2020,2020-12,65232
2021,2021-01,117527
2021,2021-02,82940
2021,2021-03,87612
2021,2021-04,106340
2021,2021-05,89935
2021,2021-06,78899
2021,2021-07,63530
2021,2021-08,73892
2021,2021-09,80151
2021,2021-10,112078
2021,2021-11,116904
2021,2021-12,123454
2022,2022-01,104442
2022,2022-02,133010
2022,2022-03,141151
2022,2022-04,50940
