,president,subgroup,date,approve,approve_hi,approve_lo,disapprove,disapprove_hi,disapprove_lo,timestamp,spread,datetime,date_display
1,Joe Biden,Adults,05-25-22,39.72,43.853712,35.581935,54.28,59.218723,49.347126,13:29:30 25 May 2022,-14.57,2022-05-25 13:29:30,May. 25
4,Joe Biden,Adults,05-24-22,39.62,43.829725,35.40513,54.82,59.649962,49.998597,20:24:30 24 May 2022,-15.21,2022-05-24 20:24:30,May. 24
7,Joe Biden,Adults,05-23-22,40.28,44.386236,36.173263,54.22,58.923822,49.51719,21:28:30 23 May 2022,-13.94,2022-05-23 21:28:30,May. 23
13,Joe Biden,Adults,05-22-22,39.86,43.884241,35.839905,53.88,58.867182,48.890625,13:07:54 22 May 2022,-14.02,2022-05-22 13:07:54,May. 22
16,Joe Biden,Adults,05-20-22,39.86,43.884248,35.839898,53.88,58.86719,48.890617,12:59:29 20 May 2022,-14.02,2022-05-20 12:59:29,May. 20
19,Joe Biden,Adults,05-19-22,40.39,44.502532,36.285451,53.15,57.809819,48.494077,14:50:30 19 May 2022,-12.76,2022-05-19 14:50:30,May. 19
22,Joe Biden,Adults,05-18-22,40.53,44.854075,36.20299,52.82,57.602354,48.041093,14:09:28 18 May 2022,-12.29,2022-05-18 14:09:28,May. 18
25,Joe Biden,Adults,05-17-22,40.79,44.596438,36.97537,52.53,57.20191,47.859381,21:29:28 17 May 2022,-11.74,2022-05-17 21:29:28,May. 17
28,Joe Biden,Adults,05-16-22,40.78,44.529348,37.037512,52.39,57.061139,47.71498,20:06:28 16 May 2022,-11.6,2022-05-16 20:06:28,May. 16
31,Joe Biden,Adults,05-15-22,40.45,43.942756,36.955874,52.56,57.20914,47.913285,13:30:29 15 May 2022,-12.11,2022-05-15 13:30:29,May. 15
34,Joe Biden,Adults,05-13-22,40.57,44.09483,37.038762,52.16,56.71518,47.611936,09:40:28 13 May 2022,-11.6,2022-05-13 09:40:28,May. 13
37,Joe Biden,Adults,05-12-22,40.57,44.094828,37.038764,52.16,56.71517,47.611946,14:27:28 12 May 2022,-11.6,2022-05-12 14:27:28,May. 12
40,Joe Biden,Adults,05-11-22,41.0,44.522293,37.469909,51.33,55.644949,47.017849,13:49:29 11 May 2022,-10.34,2022-05-11 13:49:29,May. 11
43,Joe Biden,Adults,05-10-22,41.02,44.573165,37.470095,51.53,56.007968,47.044849,20:39:27 10 May 2022,-10.5,2022-05-10 20:39:27,May. 10
51,Joe Biden,Adults,05-09-22,42.21,45.917632,38.508935,52.38,56.655589,48.112768,09:47:23  9 May 2022,-10.17,2022-05-09 09:47:23,May. 09
54,Joe Biden,Adults,05-06-22,41.43,44.989655,37.865605,52.11,56.357642,47.870201,20:26:27  6 May 2022,-10.69,2022-05-06 20:26:27,May. 06
57,Joe Biden,Adults,05-05-22,41.58,45.141154,38.021602,52.02,56.344255,47.691151,12:28:28  5 May 2022,-10.44,2022-05-05 12:28:28,May. 05
60,Joe Biden,Adults,05-04-22,41.72,45.382887,38.052847,51.78,56.236457,47.331341,20:01:28  4 May 2022,-10.07,2022-05-04 20:01:28,May. 04
63,Joe Biden,Adults,05-03-22,41.65,45.505945,37.802493,51.42,55.432957,47.40423,20:05:27  3 May 2022,-9.76,2022-05-03 20:05:27,May. 03
66,Joe Biden,Adults,05-02-22,41.56,45.232827,37.88271,51.67,55.62984,47.709509,20:08:27  2 May 2022,-10.11,2022-05-02 20:08:27,May. 02
69,Joe Biden,Adults,05-01-22,41.42,45.079895,37.757841,51.2,55.040819,47.365331,13:25:28  1 May 2022,-9.78,2022-05-01 13:25:28,May. 01
72,Joe Biden,Adults,04-29-22,41.0,44.768956,37.23403,51.35,55.345011,47.361109,10:26:27 29 Apr 2022,-10.35,2022-04-29 10:26:27,Apr. 29
75,Joe Biden,Adults,04-28-22,40.79,44.726585,36.852847,51.76,55.936731,47.579582,15:07:27 28 Apr 2022,-10.97,2022-04-28 15:07:27,Apr. 28
78,Joe Biden,Adults,04-27-22,41.0,45.058808,36.946527,51.64,55.960717,47.32819,19:53:27 27 Apr 2022,-10.64,2022-04-27 19:53:27,Apr. 27
81,Joe Biden,Adults,04-26-22,40.71,44.977717,36.447488,52.48,57.132912,47.834515,20:32:18 26 Apr 2022,-11.77,2022-04-26 20:32:18,Apr. 26
90,Joe Biden,Adults,04-25-22,40.51,44.921639,36.105542,52.52,57.324268,47.708529,09:31:48 25 Apr 2022,-12.0,2022-04-25 09:31:48,Apr. 25
93,Joe Biden,Adults,04-22-22,40.51,44.921633,36.105548,52.52,57.324269,47.708527,14:43:26 22 Apr 2022,-12.0,2022-04-22 14:43:26,Apr. 22
