year,month_year,day_count
2006,2006-11,5
2006,2006-12,9
2007,2007-01,13
2007,2007-02,3
2007,2007-03,42
2007,2007-04,43
2007,2007-05,44
2007,2007-06,38
2007,2007-07,21
2007,2007-08,89
2007,2007-09,299
2007,2007-10,378
2007,2007-11,256
2007,2007-12,239
2008,2008-01,478
2008,2008-02,260
2008,2008-03,559
2008,2008-04,376
2008,2008-05,443
2008,2008-06,319
2008,2008-07,339
2008,2008-08,1062
2008,2008-09,5857
2008,2008-10,2181
2008,2008-11,3059
2008,2008-12,2856
2009,2009-01,6168
2009,2009-02,4592
2009,2009-03,10002
2009,2009-04,11808
2009,2009-05,9759
2009,2009-06,13181
2009,2009-07,12485
2009,2009-08,19595
2009,2009-09,101167
2009,2009-10,56151
2009,2009-11,58106
2009,2009-12,39684
2010,2010-01,84714
2010,2010-02,37912
2010,2010-03,31671
2010,2010-04,36416
2010,2010-05,30235
2010,2010-06,73153
2010,2010-07,51792
2010,2010-08,46484
2010,2010-09,93370
2010,2010-10,105239
2010,2010-11,79032
2010,2010-12,67091
2011,2011-01,68790
2011,2011-02,68532
2011,2011-03,90851
2011,2011-04,71542
2011,2011-05,67023
2011,2011-06,85656
2011,2011-07,62726
2011,2011-08,88057
2011,2011-09,171972
2011,2011-10,210294
2011,2011-11,282481
2011,2011-12,150524
2012,2012-01,127116
2012,2012-02,116087
2012,2012-03,121819
2012,2012-04,133747
2012,2012-05,111146
2012,2012-06,116894
2012,2012-07,133787
2012,2012-08,212217
2012,2012-09,436094
2012,2012-10,303078
2012,2012-11,635142
2012,2012-12,173735
2013,2013-01,193798
2013,2013-02,145422
2013,2013-03,137708
2013,2013-04,196068
2013,2013-05,135851
2013,2013-06,118203
2013,2013-07,112467
2013,2013-08,197540
2013,2013-09,364228
2013,2013-10,264565
2013,2013-11,319805
2013,2013-12,272838
2014,2014-01,188785
2014,2014-02,165980
2014,2014-03,146883
2014,2014-04,129854
2014,2014-05,128385
2014,2014-06,87788
2014,2014-07,112466
2014,2014-08,276148
2014,2014-09,336765
2014,2014-10,288952
2014,2014-11,294830
2014,2014-12,166209
2015,2015-01,170752
2015,2015-02,198190
2015,2015-03,155055
2015,2015-04,134447
2015,2015-05,143665
2015,2015-06,95408
2015,2015-07,99451
2015,2015-08,151586
2015,2015-09,258396
2015,2015-10,420049
2015,2015-11,296416
2015,2015-12,216793
2016,2016-01,201269
2016,2016-02,154135
2016,2016-03,166109
2016,2016-04,161817
2016,2016-05,119503
2016,2016-06,97791
2016,2016-07,102216
2016,2016-08,154300
2016,2016-09,415255
2016,2016-10,210717
2016,2016-11,329800
2016,2016-12,231571
2017,2017-01,390522
2017,2017-02,163476
2017,2017-03,249277
2017,2017-04,164162
2017,2017-05,150818
2017,2017-06,112377
2017,2017-07,138835
2017,2017-08,176636
2017,2017-09,555782
2017,2017-10,293225
2017,2017-11,283957
2017,2017-12,357629
2018,2018-01,192763
2018,2018-02,172761
2018,2018-03,234549
2018,2018-04,168166
2018,2018-05,211610
2018,2018-06,160908
2018,2018-07,121249
2018,2018-08,182271
2018,2018-09,258306
2018,2018-10,202218
2018,2018-11,281321
2018,2018-12,199583
2019,2019-01,229069
2019,2019-02,156494
2019,2019-03,437883
2019,2019-04,208404
2019,2019-05,155392
2019,2019-06,121526
2019,2019-07,127171
2019,2019-08,157068
2019,2019-09,347884
2019,2019-10,263141
2019,2019-11,320518
2019,2019-12,261173
2020,2020-01,196595
2020,2020-02,244714
2020,2020-03,176187
2020,2020-04,246850
2020,2020-05,172989
2020,2020-06,203684
2020,2020-07,189157
2020,2020-08,288743
2020,2020-09,179117
2020,2020-10,207937
2020,2020-11,219681
2020,2020-12,282808
2021,2021-01,280332
2021,2021-02,158963
2021,2021-03,282171
2021,2021-04,152489
2021,2021-05,137322
2021,2021-06,125356
2021,2021-07,159659
2021,2021-08,138786
2021,2021-09,337528
2021,2021-10,251114
2021,2021-11,356274
2021,2021-12,282405
2022,2022-01,262532
2022,2022-02,244147
2022,2022-03,211916
2022,2022-04,93460
