place,cases,case_rate,deaths,death_rate
City of Agoura Hills,1446,6924.0,19,91.0
City of Alhambra,8213,9470.0,217,250.0
City of Arcadia,3370,5835.0,147,255.0
City of Artesia,2436,14504.0,80,476.0
City of Avalon,32,827.0,0,0.0
City of Azusa,7441,14870.0,130,260.0
City of Baldwin Park,14655,19090.0,334,435.0
City of Bell,7569,20833.0,126,347.0
City of Bell Gardens,9092,21109.0,120,279.0
City of Bellflower,13004,16729.0,214,275.0
City of Beverly Hills,3626,10504.0,35,101.0
City of Bradbury,42,3929.0,0,0.0
City of Burbank,11207,10456.0,259,242.0
City of Calabasas,1777,7306.0,34,140.0
City of Carson,12092,12885.0,267,285.0
City of Cerritos,3752,7494.0,61,122.0
City of Claremont,2854,7823.0,62,170.0
City of Commerce*,2702,20675.0,40,306.0
City of Compton,19655,19674.0,279,279.0
City of Covina,7706,15716.0,180,367.0
City of Cudahy,5383,22110.0,65,267.0
City of Culver City,2930,7350.0,114,286.0
City of Diamond Bar,4024,6996.0,88,153.0
City of Downey,20448,17896.0,321,281.0
City of Duarte,2763,12550.0,99,450.0
City of El Monte,19111,16297.0,460,392.0
City of El Segundo,1083,6452.0,10,60.0
City of Gardena,7842,12791.0,212,346.0
City of Glendale,24760,11991.0,687,333.0
City of Glendora,5965,11305.0,200,379.0
City of Hawaiian Gardens,2576,17552.0,26,177.0
City of Hawthorne,12675,14276.0,237,267.0
City of Hermosa Beach,1579,8027.0,11,56.0
City of Hidden Hills,135,7143.0,2,106.0
City of Huntington Park,12408,20859.0,183,308.0
City of Industry,191,43707.0,5,1144.0
City of Inglewood,16807,14797.0,345,304.0
City of Irwindale,303,20768.0,7,480.0
City of La Canada Flintridge,1096,5296.0,17,82.0
City of La Habra Heights,131,2401.0,2,37.0
City of La Mirada,5386,10859.0,130,262.0
City of La Puente,7501,18431.0,127,312.0
City of La Verne,3559,10693.0,61,183.0
City of Lakewood,9390,11685.0,126,157.0
City of Lancaster*,28457,17613.0,329,204.0
City of Lawndale,4284,12745.0,59,176.0
City of Lomita,1947,9393.0,43,207.0
City of Lynwood*,14934,20728.0,252,350.0
City of Malibu,671,5177.0,11,85.0
City of Manhattan Beach,2082,5783.0,19,53.0
City of Maywood,5760,20535.0,95,339.0
City of Monrovia,4003,10317.0,83,214.0
City of Montebello,11531,17912.0,234,363.0
City of Monterey Park,5603,8999.0,207,332.0
City of Norwalk,18536,17223.0,408,379.0
City of Palmdale,29736,18706.0,361,227.0
City of Palos Verdes Estates,676,4999.0,10,74.0
City of Paramount,11404,20356.0,172,307.0
City of Pico Rivera,12567,19549.0,283,440.0
City of Pomona,29249,18758.0,501,321.0
City of Rancho Palos Verdes,2134,4992.0,60,140.0
City of Redondo Beach,4134,6018.0,57,83.0
City of Rolling Hills,84,4330.0,2,103.0
City of Rolling Hills Estates,434,5349.0,8,99.0
City of Rosemead,5588,10096.0,163,294.0
City of San Dimas*,3985,11545.0,100,290.0
City of San Fernando,6002,24386.0,71,288.0
City of San Gabriel,3671,8964.0,213,520.0
City of San Marino,471,3547.0,11,83.0
City of Santa Clarita,27124,12305.0,292,132.0
City of Santa Fe Springs,3378,18395.0,48,261.0
City of Santa Monica,6674,7219.0,189,204.0
City of Sierra Madre,637,5797.0,13,118.0
City of Signal Hill,1465,12418.0,10,85.0
City of South El Monte,3841,18391.0,72,345.0
City of South Gate,21163,21561.0,249,254.0
City of South Pasadena,1714,6579.0,46,177.0
City of Temple City,2760,7571.0,127,348.0
City of Torrance,9720,6512.0,237,159.0
City of Vernon,141,67464.0,0,0.0
City of Walnut,2147,7032.0,41,134.0
City of West Covina,15230,14071.0,291,269.0
City of West Hollywood,3627,9816.0,45,122.0
City of Westlake Village,153,1830.0,1,12.0
City of Whittier,13164,15056.0,282,323.0
Los Angeles,604039,14934.0,10477,259.0
Los Angeles - Adams-Normandie,1365,16642.0,18,219.0
Los Angeles - Alsace,1857,14922.0,21,169.0
Los Angeles - Angeles National Forest,5,12500.0,0,0.0
Los Angeles - Angelino Heights,347,13869.0,6,240.0
Los Angeles - Arleta,7882,22933.0,123,358.0
Los Angeles - Atwater Village,1721,11735.0,28,191.0
Los Angeles - Baldwin Hills,3591,11537.0,79,254.0
Los Angeles - Bel Air,563,6679.0,2,24.0
Los Angeles - Beverly Crest,894,7138.0,6,48.0
Los Angeles - Beverlywood,1300,9869.0,2,15.0
Los Angeles - Boyle Heights*,19309,22224.0,321,369.0
Los Angeles - Brentwood,2142,6920.0,20,65.0
Los Angeles - Brookside,47,8090.0,2,344.0
Los Angeles - Cadillac-Corning,868,12189.0,10,140.0
Los Angeles - Canoga Park,10982,16821.0,180,276.0
Los Angeles - Carthay,1303,9072.0,79,550.0
Los Angeles - Central,8397,21535.0,136,349.0
