DataExtractDate,ReportPeriod,FlightType,Arrival_Departure,Domestic_International,FlightOpsCount
04/01/2021 09:37:48 AM,02/01/2021 12:00:00 AM,Scheduled,Departure,International,1690
04/18/2018 03:12:41 PM,12/01/2017 12:00:00 AM,Scheduled,Departure,Domestic,20797
04/18/2018 03:12:41 PM,10/01/2008 12:00:00 AM,Charter,Departure,International,9
04/18/2018 03:12:41 PM,02/01/2016 12:00:00 AM,Scheduled,Arrival,Domestic,18427
04/18/2018 03:12:41 PM,09/01/2007 12:00:00 AM,Scheduled,Departure,International,4227
08/10/2018 06:01:24 AM,06/01/2018 12:00:00 AM,Charter,Departure,International,2
04/18/2018 03:12:41 PM,04/01/2013 12:00:00 AM,Scheduled,Departure,International,3639
07/18/2019 06:18:08 AM,06/01/2019 12:00:00 AM,Scheduled,Arrival,Domestic,21483
04/18/2018 03:12:41 PM,04/01/2007 12:00:00 AM,Scheduled,Departure,Domestic,19903
04/18/2018 03:12:41 PM,03/01/2015 12:00:00 AM,Scheduled,Departure,International,4157
04/18/2018 03:12:41 PM,10/01/2012 12:00:00 AM,Charter,Departure,Domestic,33
04/18/2018 03:12:41 PM,06/01/2012 12:00:00 AM,Charter,Departure,Domestic,19
04/18/2018 03:12:41 PM,04/01/2008 12:00:00 AM,Scheduled,Departure,International,4159
04/18/2018 03:12:41 PM,02/01/2018 12:00:00 AM,Scheduled,Arrival,International,4822
04/18/2018 03:12:41 PM,07/01/2017 12:00:00 AM,Charter,Arrival,International,1
04/18/2018 03:12:41 PM,11/01/2006 12:00:00 AM,Charter,Departure,Domestic,50
04/18/2018 03:12:41 PM,05/01/2009 12:00:00 AM,Charter,Arrival,International,3
04/18/2018 03:12:41 PM,12/01/2007 12:00:00 AM,Charter,Arrival,International,2
04/18/2018 03:12:41 PM,09/01/2006 12:00:00 AM,Scheduled,Departure,International,3902
04/18/2018 03:12:41 PM,02/01/2008 12:00:00 AM,Scheduled,Departure,International,4004
12/10/2018 06:01:26 AM,10/01/2018 12:00:00 AM,Charter,Arrival,Domestic,16
04/18/2018 03:12:41 PM,02/01/2009 12:00:00 AM,Charter,Arrival,Domestic,33
04/18/2018 03:12:41 PM,06/01/2013 12:00:00 AM,Scheduled,Departure,Domestic,20480
05/23/2018 07:44:39 AM,04/01/2018 12:00:00 AM,Scheduled,Departure,Domestic,21142
04/18/2018 03:12:41 PM,09/01/2013 12:00:00 AM,Scheduled,Departure,International,3825
04/18/2018 03:12:41 PM,02/01/2016 12:00:00 AM,Scheduled,Departure,Domestic,18420
04/18/2018 03:12:41 PM,06/01/2015 12:00:00 AM,Scheduled,Arrival,International,4644
