date,area,vaccinated_cases,boosted_cases,vaccinated_hosp,boosted_hosp,vaccinated_deaths,boosted_deaths,population_unvaccinated,fully_vaccinated,population_boosted,vaccinated_cases_per_100k,boosted_cases_per_100k,vaccinated_hosp_per_100k,boosted_hosp_per_100k,unvaccinated_deaths_per_100k,vaccinated_deaths_per_100k,boosted_deaths_per_100k
5/13/21,California,78,0,10,0,3,0,14981372,13824152,0,0.59729833,,0.06303667,,0.11347425,0.01033388,
5/14/21,California,78,0,7,0,2,0,14821433,14073593,0,0.57656106,,0.05785912,,0.11084334,0.01218087,
5/15/21,California,60,0,4,0,0,0,14718682,14241286,0,0.56475638,,0.05517158,,0.11452889,0.00902808,
5/16/21,California,61,0,4,0,1,0,14672142,14321091,0,0.56759443,,0.05386661,,0.10710287,0.00798024,
5/17/21,California,120,0,6,0,0,0,14585700,14502659,0,0.57526397,,0.04826701,,0.11361422,0.00689529,
5/18/21,California,112,0,11,0,1,0,14476770,14743372,0,0.58525088,,0.05038584,,0.10361427,0.00775167,
5/19/21,California,91,0,10,0,0,0,14368173,14996586,0,0.57155866,,0.04953508,,0.10340315,0.00666818,
5/20/21,California,90,0,5,0,1,0,14264695,15272767,0,0.57244749,,0.04396247,,0.09914588,0.00467686,
5/21/21,California,85,0,8,0,1,0,14155973,15540570,0,0.56901755,,0.04412414,,0.09990735,0.00367701,
5/22/21,California,48,0,6,0,2,0,14082247,15717144,0,0.55171783,,0.04544628,,0.09332926,0.00545355,
5/23/21,California,40,0,9,0,1,0,14053743,15791371,0,0.53012677,,0.04975593,,0.1006341,0.00542792,
5/24/21,California,111,0,4,0,0,0,13992721,15954213,0,0.51665708,,0.04745724,,0.10719859,0.00537252,
5/25/21,California,96,0,9,0,2,0,13909074,16165544,0,0.49576344,,0.0450694,,0.10681619,0.006186,
5/26/21,California,78,0,7,0,1,0,13824268,16372524,0,0.478153,,0.04188201,,0.10230456,0.00698034,
5/27/21,California,79,0,4,0,0,0,13693468,16578539,0,0.46273249,,0.04049986,,0.10223853,0.00603189,
5/28/21,California,70,0,7,0,0,0,13546124,16796051,0,0.44398191,,0.03912484,,0.09913221,0.00510324,
5/29/21,California,45,0,5,0,3,0,13420569,16967357,0,0.43697352,,0.03788788,,0.10325302,0.00589367,
5/30/21,California,47,0,9,0,2,0,13358160,17054436,0,0.44060593,,0.03769442,,0.09197161,0.00670123,
5/31/21,California,51,0,5,0,0,0,13252047,17205732,0,0.38691425,,0.03819325,,0.08624005,0.0066423,
6/1/21,California,134,0,14,0,1,0,13130221,17385134,0,0.41414694,,0.04190773,,0.08704021,0.00575204,
6/2/21,California,94,0,10,0,1,0,13005224,17555480,0,0.42314829,,0.04394232,,0.08677832,0.00569623,
6/3/21,California,106,0,16,0,0,0,12891668,17726282,0,0.4408305,,0.05318979,,0.08200202,0.00564134,
6/4/21,California,87,0,4,0,1,0,12772914,17910495,0,0.44985596,,0.05024987,,0.08723818,0.00638094,
6/5/21,California,67,0,7,0,0,0,12676251,18032869,0,0.46423165,,0.05149327,,0.08339554,0.00396102,
6/6/21,California,59,0,9,0,2,0,12633434,18086739,0,0.47232711,,0.0513399,,0.08707055,0.00394922,
6/7/21,California,114,0,7,0,1,0,12555900,18196181,0,0.5189472,,0.0526013,,0.08191937,0.00471056,
6/8/21,California,113,0,10,0,2,0,12471527,18317369,0,0.49913594,,0.04913369,,0.07903718,0.0054593,
6/9/21,California,103,0,7,0,0,0,12388709,18434605,0,0.50293611,,0.0464964,,0.07034055,0.00464964,
6/10/21,California,113,0,5,0,1,0,12308045,18542058,0,0.50541469,,0.03775201,,0.0673195,0.00539314,
6/11/21,California,103,0,8,0,0,0,12216603,18654470,0,0.51462196,,0.04058774,,0.05963781,0.00459484,
6/12/21,California,83,0,6,0,1,0,12161664,18714542,0,0.52518365,,0.03969411,,0.05873256,0.00534344,
6/13/21,California,75,0,10,0,0,0,12137642,18742263,0,0.53660238,,0.04039762,,0.05649485,0.0038111,
6/14/21,California,122,0,10,0,1,0,12129695,18756299,0,0.54229401,,0.04265234,,0.06006511,0.00380824,
6/15/21,California,125,0,10,0,1,0,12059881,18869396,0,0.54812868,,0.04239669,,0.06633565,0.00302834,
6/16/21,California,133,0,18,0,0,0,11996283,18961593,0,0.56806559,,0.05047798,,0.06906901,0.00301361,
6/17/21,California,131,0,11,0,2,0,11934804,19085168,0,0.57786085,,0.05464228,,0.07181876,0.00374262,
6/18/21,California,127,0,10,0,0,0,11866015,19230469,0,0.59132352,,0.05571516,,0.07464294,0.00371434,
6/19/21,California,103,0,9,0,2,0,11815164,19348583,0,0.60248044,,0.05759004,,0.072546,0.00443,
6/20/21,California,137,0,11,0,1,0,11795402,19397581,0,0.64661966,,0.05818104,,0.06782304,0.00515528,
6/21/21,California,222,0,11,0,0,0,11747207,19497552,0,0.71657347,,0.05861542,,0.06323692,0.00439616,
6/22/21,California,191,0,12,0,0,0,11691295,19613216,0,0.7604202,,0.05972649,,0.05987361,0.00364186,
6/23/21,California,183,0,13,0,1,0,11640405,19728067,0,0.79219984,,0.05575812,,0.05277185,0.00434479,
6/24/21,California,226,0,9,0,0,0,11588407,19836690,0,0.85627765,,0.05401247,,0.0542414,0.00288066,
6/25/21,California,211,0,9,0,1,0,11529690,19951185,0,0.91151048,,0.05298647,,0.05451763,0.00358017,
6/26/21,California,174,0,10,0,4,0,11491901,20037302,0,0.95821284,,0.0534717,,0.06091246,0.00499069,
6/27/21,California,212,0,18,0,0,0,11478204,20072345,0,1.0099183,,0.05836032,,0.06720813,0.00427027,
6/28/21,California,358,0,12,0,1,0,11431880,20153148,0,1.10227373,,0.05883519,,0.06623083,0.004962,
6/29/21,California,355,0,14,0,1,0,11376723,20244415,0,1.21303297,,0.05998127,,0.06404054,0.0056453,
6/30/21,California,374,0,17,0,1,0,11325199,20327135,0,1.34232957,,0.06254834,,0.08325303,0.00562232,
7/1/21,California,380,0,14,0,0,0,11273839,20405386,0,1.44499664,,0.06580896,,0.08870093,0.00560076,
7/2/21,California,429,0,15,0,2,0,11216969,20492338,0,1.59083849,,0.06971247,,0.09042422,0.00627412,
7/3/21,California,325,0,17,0,1,0,11182515,20542442,0,1.69196743,,0.0744104,,0.08814782,0.00417255,
7/4/21,California,329,0,15,0,1,0,11168548,20562588,0,1.77159468,,0.07225327,,0.08314164,0.0048632,
7/5/21,California,630,0,22,0,1,0,11123517,20599527,0,1.9570491,,0.07905868,,0.0911839,0.00485448,
7/6/21,California,749,0,30,0,2,0,11075885,20663899,0,2.22333922,,0.08987379,,0.09415565,0.00553069,
7/7/21,California,792,0,27,0,2,0,11029403,20722450,0,2.50521949,,0.09651368,,0.08678102,0.00620445,
7/8/21,California,749,0,44,0,0,0,10984555,20779193,0,2.75206618,,0.11687516,,0.08843586,0.00618751,
7/9/21,California,793,0,24,0,1,0,10933375,20844578,0,2.99289889,,0.12267664,,0.09799614,0.00548276,
7/10/21,California,656,0,31,0,4,0,10900472,20886402,0,3.21330049,,0.1320066,,0.0996025,0.00752369,
7/11/21,California,734,0,35,0,3,0,10884722,20905224,0,3.48716665,,0.14555487,,0.11024627,0.00888363,
7/12/21,California,1189,0,27,0,0,0,10846960,20947579,0,3.8613395,,0.14867044,,0.11458115,0.00818369,
7/13/21,California,1252,0,39,0,1,0,10805033,20998342,0,4.19420869,,0.15443396,,0.12295857,0.00748358,
7/14/21,California,1288,0,49,0,1,0,10763240,21044051,0,4.52180727,,0.16903318,,0.12741782,0.00678848,
7/15/21,California,1410,0,56,0,2,0,10724106,21087825,0,4.96020808,,0.17681157,,0.13054701,0.00812927,
7/16/21,California,1399,0,50,0,0,0,10680582,21137304,0,5.35816407,,0.19396986,,0.13375408,0.00743439,
7/17/21,California,1145,0,48,0,4,0,10656473,21163610,0,5.68158538,,0.20520399,,0.14478122,0.00742514,
7/18/21,California,1172,0,42,0,0,0,10654478,21165667,0,5.97666022,,0.20990868,,0.14346751,0.00539958,
7/19/21,California,2075,0,57,0,2,0,10632755,21188471,0,6.56758776,,0.2299094,,0.14779129,0.00674221,
7/20/21,California,2003,0,63,0,4,0,10593427,21244305,0,7.05533621,,0.24544393,,0.15508269,0.00874184,
7/21/21,California,2294,0,78,0,3,0,10556565,21289860,0,7.71527586,,0.26437804,,0.15833072,0.01006515,
7/22/21,California,1978,0,75,0,6,0,10521316,21333365,0,8.07989872,,0.27656209,,0.17108126,0.0127232,
7/23/21,California,1848,0,67,0,8,0,10479326,21383029,0,8.3611033,,0.28727722,,0.18403583,0.01803834,
7/24/21,California,1595,0,55,0,4,0,10452921,21413651,0,8.64935576,,0.29153633,,0.18860073,0.01801254,
7/25/21,California,1585,0,70,0,4,0,10440271,21426818,0,8.91939651,,0.31002537,,0.20524919,0.02066836,
7/26/21,California,2812,0,102,0,3,0,10407471,21466897,0,9.39320001,,0.33939299,,0.21138661,0.02129525,
7/27/21,California,2730,0,96,0,7,0,10370984,21507194,0,9.85849532,,0.36067666,,0.21626271,0.02324804,
7/28/21,California,2992,0,95,0,5,0,10335867,21546261,0,10.30341181,,0.37129412,,0.23496543,0.02453193,
7/29/21,California,2792,0,92,0,5,0,10299464,21584382,0,10.82396389,,0.38188988,,0.24134404,0.02382675,
7/30/21,California,2586,0,91,0,8,0,10254058,21629289,0,11.28892534,,0.39694852,,0.22987415,0.02377728,
7/31/21,California,2047,0,71,0,7,0,10224692,21658111,0,11.57204206,,0.40697389,,0.26406663,0.02572444,
8/1/21,California,2105,0,97,0,5,0,10210133,21671486,0,11.90768104,,0.42452096,,0.27423737,0.02636776,
8/2/21,California,3384,0,107,0,7,0,10172042,21707050,0,12.26461318,,0.42711601,,0.31739659,0.02895702,
8/3/21,California,3649,0,119,0,10,0,10127605,21746146,0,12.84628287,,0.44145753,,0.34135838,0.03087575,
8/4/21,California,3427,0,100,0,8,0,10083923,21784212,0,13.10910069,,0.44396504,,0.36125396,0.03278915,
8/5/21,California,3242,0,106,0,6,0,10038544,21820540,0,13.38188697,,0.45239158,,0.38138712,0.03338925,
8/6/21,California,2965,0,101,0,10,0,9983891,21862338,0,13.60395607,,0.45806106,,0.4249703,0.03463229,
8/7/21,California,2343,0,92,0,9,0,9949981,21886770,0,13.78197227,,0.47125664,,0.43216163,0.03589905,
8/8/21,California,2247,0,104,0,10,0,9930492,21893587,0,13.87033694,,0.47567745,,0.47472831,0.03915041,
8/9/21,California,3754,0,146,0,6,0,9882134,21920681,0,14.09432229,,0.50050583,,0.49006188,0.03845032,
8/10/21,California,3821,0,118,0,11,0,9828838,21956440,0,14.1832777,,0.49904005,,0.52469507,0.03903833,
8/11/21,California,3499,0,102,0,7,0,9774577,21990860,0,14.20785077,,0.49955819,,0.55976116,0.03832761,
8/12/21,California,3397,0,115,0,14,0,9721298,22023344,0,14.28743713,,0.50465932,,0.60691484,0.04346038,
8/13/21,California,3019,6,110,0,15,0,9659416,22061514,1082,14.29768471,79.21837866,0.50961403,0,0.69214477,0.04662288,0
8/14/21,California,2262,7,104,1,8,0,9620977,22084419,1899,14.23045943,97.79583239,0.51684791,7.52275634,0.73500109,0.04592766,0
8/15/21,California,1937,7,84,0,10,0,9600324,22094303,2489,14.02365384,114.7907938,0.50368511,5.73953969,0.73807033,0.04590712,0
8/16/21,California,3604,5,147,0,19,0,9546250,22123074,3301,13.90855538,108.1923227,0.50367581,4.32769291,0.78864176,0.05424201,0
8/17/21,California,3437,3,138,0,14,0,9486674,22156832,4204,13.63977872,95.14747859,0.5158035,3.39812424,0.84931166,0.05609363,0
8/18/21,California,3391,5,123,1,18,0,9430593,22188136,5295,13.55099989,89.03278025,0.52859652,5.39592608,0.87254019,0.06309678,0
8/19/21,California,2999,5,106,1,16,0,9373352,22219907,6492,13.27574028,83.6193997,0.52205439,6.60153156,0.90225384,0.06429241,0
8/20/21,California,2892,3,111,0,9,0,9305300,22259568,7876,13.17058034,63.48400203,0.521766,5.44148589,0.89196479,0.06032719,0
8/21/21,California,2087,5,102,0,18,0,9264184,22283685,8823,13.04413649,53.43177734,0.51991914,3.23828954,0.917512,0.06667274,0
8/22/21,California,1846,5,87,0,15,0,9241245,22296213,9320,12.97850126,47.51686082,0.52154917,3.06560392,0.95689024,0.06983889,0
8/23/21,California,3336,3,106,1,20,0,9185427,22330831,10455,12.78693378,39.62560634,0.4945117,4.09920066,0.95803929,0.07037036,0
8/24/21,California,3220,5,146,1,22,0,9128652,22367858,11517,12.62717499,38.45247398,0.49880247,4.96160955,0.96399775,0.07536324,0
8/25/21,California,3036,5,111,1,19,0,9077192,22402941,12537,12.3810275,35.32401235,0.49036929,4.55793708,1.01195549,0.07588289,0
8/26/21,California,2706,7,101,2,18,0,9021903,22439142,13829,12.17451693,34.08985259,0.48639497,5.16512918,1.05932671,0.07703376,0
8/27/21,California,2504,4,125,2,16,0,8954630,22484527,16025,11.90342395,30.30978382,0.49430818,6.24024961,1.0832385,0.08132577,0
8/28/21,California,1827,3,93,0,21,0,8913001,22510257,20231,11.72481378,22.59615724,0.48803149,4.9429094,1.13477893,0.0831367,0
8/29/21,California,1592,1,84,0,16,0,8891141,22523182,23696,11.5569816,16.88048616,0.48584863,4.22012154,1.15524302,0.08372326,0
8/30/21,California,2926,7,128,1,23,0,8839134,22555933,32114,11.28052904,14.23500209,0.4990768,3.11390671,1.16204015,0.08550174,0
8/31/21,California,2769,8,87,0,24,0,8786223,22591297,41580,10.97767871,12.02501203,0.46098662,2.06143063,1.18204538,0.0866326,0
9/1/21,California,2921,8,117,2,19,0,8735272,22624596,52753,10.88890793,10.29054543,0.46409668,1.89562679,1.19057541,0.0865051,0
9/2/21,California,2405,9,103,0,18,0,8684400,22655642,65147,10.6841882,8.771372,0.46472183,1.0964215,1.22715937,0.08638655,0
9/3/21,California,2376,3,99,1,22,0,8623700,22696466,80431,10.58440426,6.92696668,0.4475209,0.71045812,1.26727175,0.09000772,0
9/4/21,California,1613,12,79,3,14,0,8588277,22722724,88914,10.43763189,7.71210704,0.43820199,1.12468228,1.23091379,0.08550283,0
9/5/21,California,1342,7,72,3,24,0,8567962,22736327,93621,10.27430684,8.23990954,0.43039996,1.52590917,1.26717916,0.09047824,0
9/6/21,California,1706,8,80,0,22,1,8518026,22771754,106035,9.49296346,7.40995224,0.39961788,1.21253764,1.30982728,0.08971014,0.1347264
9/7/21,California,2865,10,102,1,16,0,8469164,22809058,118447,9.53756429,6.87468416,0.40835907,1.20608494,1.31232383,0.08455287,0.12060849
9/8/21,California,2562,9,103,0,15,0,8421787,22844716,130295,9.29818019,6.35919589,0.39896691,0.87713047,1.33666915,0.08191954,0.10964131
9/9/21,California,2405,9,87,3,25,0,8374066,22879460,143358,9.28406028,5.77973624,0.3883708,1.09615687,1.31187338,0.08616587,0.09965062
9/10/21,California,2169,13,96,3,25,0,8318491,22925961,158791,9.13624266,6.1176551,0.3857137,1.16955171,1.31205115,0.08786047,0.08996552
9/11/21,California,1623,1,68,0,26,0,8285441,22956406,167034,9.13034906,4.87496985,0.37835689,0.85525787,1.3259058,0.09521152,0.08552579
9/12/21,California,1435,7,77,0,15,0,8267245,22972306,171748,9.18186322,4.74116563,0.38120434,0.58224841,1.29772027,0.08954882,0.08317834
9/13/21,California,2362,10,95,1,21,0,8224423,23009270,184821,9.57440197,4.56039705,0.38990496,0.61835892,1.31316203,0.08878409,0
9/14/21,California,2223,9,101,2,17,0,8183530,23044121,199276,9.16192774,4.15790877,0.38869536,0.64519274,1.29703022,0.08926975,0
9/15/21,California,2135,17,87,3,21,0,8140993,23074286,213989,8.88558681,4.40610098,0.37828132,0.80110927,1.26520192,0.09286776,0
9/16/21,California,1949,9,89,0,20,0,8102182,23104002,228786,8.59220345,4.12113129,0.37903143,0.56197245,1.24657777,0.0896567,0
9/17/21,California,1763,14,69,1,15,0,8055687,23147193,245178,8.32560068,3.90386926,0.36166064,0.40786694,1.22717209,0.08331772,0
9/18/21,California,1312,8,67,1,14,1,8029954,23173883,251880,8.12429357,4.19700991,0.36062765,0.4537308,1.25601146,0.07582427,0.05671635
9/19/21,California,1173,4,66,0,13,0,8013869,23187975,256119,7.95794249,3.96021269,0.35363157,0.44622115,1.21931474,0.07454603,0.05577764
9/20/21,California,2166,9,74,0,18,0,8005639,23196225,257851,7.83440286,3.87820873,0.34057266,0.38782087,1.19023246,0.07267192,0.05540298
