date,area,vaccinated_cases,boosted_cases,vaccinated_hosp,boosted_hosp,vaccinated_deaths,boosted_deaths,population_unvaccinated,fully_vaccinated,population_boosted,vaccinated_cases_per_100k,boosted_cases_per_100k,vaccinated_hosp_per_100k,boosted_hosp_per_100k,unvaccinated_deaths_per_100k,vaccinated_deaths_per_100k,boosted_deaths_per_100k
2/1/21,California,22,0,0,0,0,0,32628956,339985,0,,,,,,,
2/2/21,California,17,0,0,0,0,0,32512290,374207,0,,,,,,,
2/3/21,California,26,0,0,0,0,0,32377120,410871,0,,,,,,,
2/4/21,California,17,0,0,0,0,0,32213260,432526,0,,,,,,,
2/5/21,California,17,0,0,0,0,0,32049851,448513,0,,,,,,,
2/6/21,California,13,0,1,0,0,0,31946004,461697,0,,,,,,,
2/7/21,California,7,0,0,0,0,0,31887758,466793,0,3.64187124,,0.03060396,,0.07481599,0,
2/8/21,California,28,0,1,0,0,0,31771422,504665,0,3.53841516,,0.05661464,,0.08723023,0,
2/9/21,California,17,0,1,0,0,0,31632335,545731,0,3.27215109,,0.07853163,,0.09800099,0,
2/10/21,California,24,0,0,0,0,0,31481578,588319,0,2.98671785,,0.07284678,,0.11208369,0,
2/11/21,California,30,0,1,0,0,0,31319172,625563,0,3.10577375,,0.09134629,,0.1263489,0,
2/12/21,California,21,0,2,0,0,0,31162120,663283,0,3.01530418,,0.12922732,,0.14119707,0,
2/13/21,California,10,0,0,0,0,0,31046502,679808,0,2.87896414,,0.10507168,,0.14908512,0,
2/14/21,California,6,0,0,0,0,0,30977098,685267,0,2.8351827,,0.10423466,,0.1563367,0,
2/15/21,California,24,0,2,0,0,0,30847737,729648,0,2.58441644,,0.11747347,,0.16671749,0,
2/16/21,California,24,0,1,0,0,0,30697514,777977,0,2.55240744,,0.11017586,,0.17591001,0,
2/17/21,California,26,0,0,0,0,0,30531611,836441,0,2.40816234,,0.10247499,,0.18107696,0,
2/18/21,California,20,0,0,0,0,0,30355621,901551,0,2.07578781,,0.07922854,,0.18777412,0,
2/19/21,California,20,0,1,0,0,0,30179030,986122,0,1.883279,,0.05794705,,0.19692008,0,
2/20/21,California,13,0,0,0,0,0,30051673,1023063,0,1.85716813,,0.05585468,,0.20060685,0,
2/21/21,California,16,0,1,0,1,0,29998002,1040565,0,1.96321916,,0.06864403,,0.19667977,0.01372881,
2/22/21,California,36,0,0,0,0,0,29872032,1106484,0,2.0011909,,0.03873273,,0.20229147,0.01291091,
2/23/21,California,26,0,1,0,0,0,29740670,1196774,0,1.87408579,,0.03581056,,0.20414566,0.01193685,
2/24/21,California,22,0,0,0,0,0,29598403,1315731,0,1.66121668,,0.03257288,,0.21043606,0.01085763,
2/25/21,California,26,0,1,0,0,0,29448554,1443685,0,1.57335469,,0.03958125,,0.21102176,0.00989531,
2/26/21,California,34,0,2,0,1,0,29295312,1576340,0,1.5678271,,0.04531292,,0.20334799,0.01812517,
2/27/21,California,12,0,0,0,0,0,29199572,1654868,0,1.48479689,,0.0431627,,0.20597171,0.01726508,
2/28/21,California,13,0,1,0,1,0,29145986,1700895,0,1.41942078,,0.0419947,,0.21174197,0.01679788,
3/1/21,California,24,0,0,0,0,0,29064281,1768499,0,1.26822641,,0.04038938,,0.20103223,0.01615575,
3/2/21,California,37,0,3,0,0,0,28926157,1893869,0,1.2672471,,0.05280196,,0.20199217,0.01508628,
3/3/21,California,42,0,2,0,1,0,28793318,2034324,0,1.32019987,,0.06320106,,0.18803966,0.02106702,
3/4/21,California,35,0,2,0,1,0,28657197,2186396,0,1.28718023,,0.0653391,,0.1834493,0.02613564,
3/5/21,California,30,0,3,0,0,0,28521431,2318752,0,1.18906328,,0.06777045,,0.17831203,0.01848285,
3/6/21,California,19,0,2,0,0,0,28433287,2394844,0,1.19303924,,0.07754755,,0.17082594,0.01789559,
3/7/21,California,28,0,2,0,0,0,28387351,2441615,0,1.25794958,,0.081913,,0.15801807,0.01170186,
3/8/21,California,47,0,1,0,0,0,28298808,2533763,0,1.34187767,,0.08457212,,0.15548358,0.01127628,
3/9/21,California,36,0,1,0,0,0,28185459,2669600,0,1.26824778,,0.06956633,,0.1500267,0.01070251,
3/10/21,California,49,0,5,0,1,0,28041597,2834988,0,1.22953405,,0.08062518,,0.15690975,0.01007815,
3/11/21,California,42,0,5,0,0,0,27860445,3004298,0,1.19352817,,0.09034675,,0.1502386,0.00475509,
3/12/21,California,42,0,4,0,0,0,27649567,3178184,0,1.18216656,,0.0898986,,0.15190111,0.00449493,
3/13/21,California,30,0,5,0,0,0,27497532,3300695,0,1.18589743,,0.09954613,,0.1511824,0.00432809,
3/14/21,California,27,0,2,0,0,0,27413517,3364283,0,1.1592366,,0.09766462,,0.15216685,0.00424629,
3/15/21,California,50,0,7,0,0,0,27260317,3479697,0,1.13310358,,0.11905799,,0.1441132,0.00410545,
3/16/21,California,52,0,4,0,1,0,27071262,3613399,0,1.15443342,,0.12651325,,0.14195338,0.00790708,
3/17/21,California,49,0,1,0,0,0,26864214,3770883,0,1.10622063,,0.10607595,,0.14411099,0.00378843,
3/18/21,California,39,0,2,0,1,0,26643188,3933807,0,1.04951042,,0.0907881,,0.15013218,0.00726305,
3/19/21,California,32,0,3,0,0,0,26416193,4078129,0,0.97733894,,0.08407217,,0.14385116,0.00700601,
3/20/21,California,24,0,1,0,1,0,26238934,4185382,0,0.93181459,,0.0682648,,0.15026743,0.01023972,
3/21/21,California,28,0,4,0,1,0,26144407,4240930,0,0.92297815,,0.07410773,,0.14698582,0.01347413,
3/22/21,California,56,0,4,0,0,0,25978675,4324946,0,0.92486704,,0.06275883,,0.15012313,0.01321239,
3/23/21,California,55,0,3,0,0,0,25788661,4463179,0,0.90582456,,0.05761428,,0.1412581,0.00960238,
3/24/21,California,88,0,3,0,0,0,25579542,4623128,0,0.99499733,,0.06180108,,0.13012631,0.00927016,
3/25/21,California,63,0,4,0,0,0,25343759,4819193,0,1.02566076,,0.06521542,,0.12739118,0.00592867,
3/26/21,California,83,0,5,0,2,0,25095201,5034338,0,1.12654903,,0.06810372,,0.12409886,0.01135062,
3/27/21,California,39,0,3,0,0,0,24904579,5174362,0,1.13747633,,0.07178249,,0.1147236,0.00828259,
3/28/21,California,26,0,1,0,0,0,24808309,5256085,0,1.11435467,,0.06251258,,0.1088345,0.00543588,
3/29/21,California,62,0,2,0,1,0,24623431,5396290,0,1.10128572,,0.05559375,,0.10617065,0.00794196,
3/30/21,California,61,0,8,0,0,0,24383125,5562838,0,1.08372227,,0.06676962,,0.10956055,0.00770419,
3/31/21,California,86,0,5,0,1,0,24115124,5721258,0,1.0487204,,0.06991469,,0.10959335,0.00998781,
4/1/21,California,69,0,4,0,0,0,23849296,5897327,0,1.03194452,,0.06782734,,0.1018299,0.00968962,
4/2/21,California,58,0,3,0,0,0,23580930,6082699,0,0.94178118,,0.06106312,,0.09753644,0.00469716,
4/3/21,California,45,0,4,0,0,0,23370824,6198263,0,0.93805082,,0.06222942,,0.09046689,0.00460959,
4/4/21,California,35,0,2,0,0,0,23273594,6259820,0,0.9493655,,0.0638996,,0.09391391,0.00456426,
4/5/21,California,62,0,2,0,1,0,23079293,6361954,0,0.93412451,,0.06287376,,0.09222862,0.00449098,
4/6/21,California,70,0,6,0,0,0,22842360,6511092,0,0.9324747,,0.05704551,,0.08505501,0.00438812,
4/7/21,California,69,0,5,0,0,0,22597203,6685649,0,0.87180338,,0.0555561,,0.08281682,0.00213677,
4/8/21,California,65,0,4,0,0,0,22337428,6881075,0,0.83873938,,0.05397828,,0.08569857,0.00207609,
4/9/21,California,78,0,4,0,0,0,22079020,7095391,0,0.85367288,,0.05436124,,0.09381886,0.00201338,
4/10/21,California,45,0,3,0,1,0,21903972,7259762,0,0.83434455,,0.05116264,,0.09782961,0.00393559,
4/11/21,California,44,0,6,0,0,0,21809434,7345985,0,0.84205376,,0.05834091,,0.09235846,0.00388939,
4/12/21,California,115,0,10,0,0,0,21622648,7496020,0,0.92620579,,0.07241938,,0.09778107,0.00190577,
4/13/21,California,80,0,8,0,0,0,21373835,7684874,0,0.92203389,,0.07435757,,0.10226121,0.00185894,
4/14/21,California,70,0,7,0,1,0,21107762,7886836,0,0.90023426,,0.07607613,,0.10355026,0.00362267,
4/15/21,California,67,0,5,0,0,0,20786898,8123988,0,0.87747193,,0.07561381,,0.10308691,0.00351692,
4/16/21,California,69,0,8,0,1,0,20478053,8356675,0,0.83765373,,0.08034638,,0.09766553,0.00512849,
4/17/21,California,51,0,8,0,1,0,20265552,8530665,0,0.83061687,,0.0870808,,0.09586993,0.00502389,
4/18/21,California,46,0,7,0,2,0,20187871,8609170,0,0.82636139,,0.08794609,,0.09906939,0.0082968,
4/19/21,California,97,0,7,0,2,0,19968203,8803030,0,0.77895257,,0.08114089,,0.09729755,0.01135973,
4/20/21,California,91,0,5,0,0,0,19672880,9053367,0,0.77477095,,0.07416341,,0.09875815,0.01104561,
4/21/21,California,84,0,8,0,1,0,19364406,9311962,0,0.77473316,,0.073638,,0.10180682,0.01073888,
4/22/21,California,88,0,11,0,0,0,19034637,9591388,0,0.78344091,,0.08042929,,0.09831701,0.01042602,
4/23/21,California,76,0,1,0,0,0,18716948,9874488,0,0.77110689,,0.06799629,,0.10074903,0.00868038,
4/24/21,California,65,0,11,0,0,0,18479573,10100192,0,0.77367695,,0.07072001,,0.10204317,0.007072,
4/25/21,California,55,0,6,0,2,0,18363893,10216267,0,0.77747157,,0.06851818,,0.1003522,0.00699165,
4/26/21,California,111,0,8,0,0,0,18162425,10408937,0,0.78229479,,0.06862235,,0.09674605,0.00411734,
4/27/21,California,98,0,9,0,1,0,17913568,10610139,0,0.77688493,,0.07270674,,0.09809005,0.00538568,
4/28/21,California,95,0,5,0,1,0,17671540,10837398,0,0.7750938,,0.06722752,,0.08730745,0.00527275,
4/29/21,California,107,0,7,0,1,0,17390165,11065688,0,0.78363212,,0.06067662,,0.09036306,0.00645496,
4/30/21,California,97,0,7,0,0,0,17128535,11300137,0,0.79392211,,0.06700298,,0.0859051,0.00632104,
5/1/21,California,90,0,11,0,0,0,16927218,11456665,0,0.81424842,,0.06608754,,0.08270703,0.00623467,
5/2/21,California,59,0,7,0,1,0,16841783,11539916,0,0.81332605,,0.06684872,,0.08143013,0.00495176,
5/3/21,California,120,0,10,0,1,0,16687845,11717240,0,0.81199034,,0.06827546,,0.08218129,0.00609602,
5/4/21,California,96,0,12,0,3,0,16479199,11938054,0,0.79457793,,0.07060256,,0.07802044,0.00837657,
5/5/21,California,97,0,9,0,0,0,16262859,12178002,0,0.7812682,,0.07390375,,0.08432887,0.00703845,
5/6/21,California,85,0,7,0,4,0,16053684,12443051,0,0.7393685,,0.07232953,,0.09076688,0.01033279,
5/7/21,California,88,0,11,0,0,0,15844834,12700475,0,0.714259,,0.07536276,,0.09827448,0.01012336,
5/8/21,California,65,0,6,0,3,0,15673987,12869952,0,0.6771032,,0.06882033,,0.09843425,0.01332006,
5/9/21,California,55,0,5,0,2,0,15590948,12943441,0,0.668844,,0.06622218,,0.10262365,0.01434814,
5/10/21,California,105,0,11,0,1,0,15452344,13123318,0,0.64334775,,0.06640307,,0.09614815,0.01415147,
5/11/21,California,92,0,8,0,0,0,15290595,13356794,0,0.62782388,,0.06096416,,0.10744233,0.01069547,
5/12/21,California,95,0,10,0,1,0,15129782,13578768,0,0.61545663,,0.06101963,,0.11424959,0.01157269,
