start,end,day_count
2022-03-15T00:00:00.000Z,2022-03-16T00:00:00.000Z,65937
2022-03-16T00:00:00.000Z,2022-03-17T00:00:00.000Z,42434
2022-03-17T00:00:00.000Z,2022-03-18T00:00:00.000Z,39283
2022-03-18T00:00:00.000Z,2022-03-19T00:00:00.000Z,34954
2022-03-19T00:00:00.000Z,2022-03-20T00:00:00.000Z,23586
2022-03-20T00:00:00.000Z,2022-03-21T00:00:00.000Z,19861
2022-03-21T00:00:00.000Z,2022-03-22T00:00:00.000Z,23062
2022-03-22T00:00:00.000Z,2022-03-23T00:00:00.000Z,29311
2022-03-23T00:00:00.000Z,2022-03-24T00:00:00.000Z,26533
2022-03-24T00:00:00.000Z,2022-03-25T00:00:00.000Z,18409
2022-03-25T00:00:00.000Z,2022-03-26T00:00:00.000Z,30685
2022-03-26T00:00:00.000Z,2022-03-27T00:00:00.000Z,49955
2022-03-27T00:00:00.000Z,2022-03-28T00:00:00.000Z,67116
2022-03-28T00:00:00.000Z,2022-03-29T00:00:00.000Z,39406
2022-03-29T00:00:00.000Z,2022-03-30T00:00:00.000Z,22970
2022-03-30T00:00:00.000Z,2022-03-31T00:00:00.000Z,22766
2022-03-31T00:00:00.000Z,2022-04-01T00:00:00.000Z,12720
2022-04-01T00:00:00.000Z,2022-04-02T00:00:00.000Z,17309
2022-04-02T00:00:00.000Z,2022-04-03T00:00:00.000Z,15587
2022-04-03T00:00:00.000Z,2022-04-04T00:00:00.000Z,26033
2022-04-04T00:00:00.000Z,2022-04-05T00:00:00.000Z,256039
2022-04-05T00:00:00.000Z,2022-04-06T00:00:00.000Z,385568
2022-04-06T00:00:00.000Z,2022-04-07T00:00:00.000Z,195252
2022-04-07T00:00:00.000Z,2022-04-08T00:00:00.000Z,99830
2022-04-08T00:00:00.000Z,2022-04-09T00:00:00.000Z,111548
2022-04-09T00:00:00.000Z,2022-04-10T00:00:00.000Z,86301
2022-04-10T00:00:00.000Z,2022-04-11T00:00:00.000Z,95818
2022-04-11T00:00:00.000Z,2022-04-12T00:00:00.000Z,182429
2022-04-12T00:00:00.000Z,2022-04-13T00:00:00.000Z,83130
2022-04-13T00:00:00.000Z,2022-04-14T00:00:00.000Z,81318
2022-04-14T00:00:00.000Z,2022-04-14T20:09:09.000Z,694825
2022-02-12T00:00:00.000Z,2022-02-13T00:00:00.000Z,51250
2022-02-13T00:00:00.000Z,2022-02-14T00:00:00.000Z,55503
2022-02-14T00:00:00.000Z,2022-02-15T00:00:00.000Z,28410
2022-02-15T00:00:00.000Z,2022-02-16T00:00:00.000Z,36892
2022-02-16T00:00:00.000Z,2022-02-17T00:00:00.000Z,30965
2022-02-17T00:00:00.000Z,2022-02-18T00:00:00.000Z,62709
2022-02-18T00:00:00.000Z,2022-02-19T00:00:00.000Z,85582
2022-02-19T00:00:00.000Z,2022-02-20T00:00:00.000Z,39380
2022-02-20T00:00:00.000Z,2022-02-21T00:00:00.000Z,27810
2022-02-21T00:00:00.000Z,2022-02-22T00:00:00.000Z,30007
2022-02-22T00:00:00.000Z,2022-02-23T00:00:00.000Z,21274
2022-02-23T00:00:00.000Z,2022-02-24T00:00:00.000Z,34688
2022-02-24T00:00:00.000Z,2022-02-25T00:00:00.000Z,23451
2022-02-25T00:00:00.000Z,2022-02-26T00:00:00.000Z,20544
2022-02-26T00:00:00.000Z,2022-02-27T00:00:00.000Z,35754
2022-02-27T00:00:00.000Z,2022-02-28T00:00:00.000Z,140720
2022-02-28T00:00:00.000Z,2022-03-01T00:00:00.000Z,52059
2022-03-01T00:00:00.000Z,2022-03-02T00:00:00.000Z,57917
2022-03-02T00:00:00.000Z,2022-03-03T00:00:00.000Z,36419
2022-03-03T00:00:00.000Z,2022-03-04T00:00:00.000Z,44450
2022-03-04T00:00:00.000Z,2022-03-05T00:00:00.000Z,28939
2022-03-05T00:00:00.000Z,2022-03-06T00:00:00.000Z,94517
2022-03-06T00:00:00.000Z,2022-03-07T00:00:00.000Z,91339
2022-03-07T00:00:00.000Z,2022-03-08T00:00:00.000Z,41502
2022-03-08T00:00:00.000Z,2022-03-09T00:00:00.000Z,45749
2022-03-09T00:00:00.000Z,2022-03-10T00:00:00.000Z,38173
2022-03-10T00:00:00.000Z,2022-03-11T00:00:00.000Z,37528
2022-03-11T00:00:00.000Z,2022-03-12T00:00:00.000Z,28584
2022-03-12T00:00:00.000Z,2022-03-13T00:00:00.000Z,21442
2022-03-13T00:00:00.000Z,2022-03-14T00:00:00.000Z,18063
2022-03-14T00:00:00.000Z,2022-03-15T00:00:00.000Z,93388
2022-01-12T00:00:00.000Z,2022-01-13T00:00:00.000Z,11715
2022-01-13T00:00:00.000Z,2022-01-14T00:00:00.000Z,13049
2022-01-14T00:00:00.000Z,2022-01-15T00:00:00.000Z,23654
2022-01-15T00:00:00.000Z,2022-01-16T00:00:00.000Z,19924
2022-01-16T00:00:00.000Z,2022-01-17T00:00:00.000Z,29868
2022-01-17T00:00:00.000Z,2022-01-18T00:00:00.000Z,33466
2022-01-18T00:00:00.000Z,2022-01-19T00:00:00.000Z,21589
2022-01-19T00:00:00.000Z,2022-01-20T00:00:00.000Z,18190
2022-01-20T00:00:00.000Z,2022-01-21T00:00:00.000Z,18001
2022-01-21T00:00:00.000Z,2022-01-22T00:00:00.000Z,23083
2022-01-22T00:00:00.000Z,2022-01-23T00:00:00.000Z,16308
2022-01-23T00:00:00.000Z,2022-01-24T00:00:00.000Z,38121
2022-01-24T00:00:00.000Z,2022-01-25T00:00:00.000Z,29839
2022-01-25T00:00:00.000Z,2022-01-26T00:00:00.000Z,22040
2022-01-26T00:00:00.000Z,2022-01-27T00:00:00.000Z,32241
2022-01-27T00:00:00.000Z,2022-01-28T00:00:00.000Z,44348
2022-01-28T00:00:00.000Z,2022-01-29T00:00:00.000Z,123290
2022-01-29T00:00:00.000Z,2022-01-30T00:00:00.000Z,45830
2022-01-30T00:00:00.000Z,2022-01-31T00:00:00.000Z,45056
2022-01-31T00:00:00.000Z,2022-02-01T00:00:00.000Z,69378
2022-02-01T00:00:00.000Z,2022-02-02T00:00:00.000Z,38173
2022-02-02T00:00:00.000Z,2022-02-03T00:00:00.000Z,25714
2022-02-03T00:00:00.000Z,2022-02-04T00:00:00.000Z,22292
2022-02-04T00:00:00.000Z,2022-02-05T00:00:00.000Z,20077
2022-02-05T00:00:00.000Z,2022-02-06T00:00:00.000Z,49372
2022-02-06T00:00:00.000Z,2022-02-07T00:00:00.000Z,37599
2022-02-07T00:00:00.000Z,2022-02-08T00:00:00.000Z,24020
2022-02-08T00:00:00.000Z,2022-02-09T00:00:00.000Z,18753
2022-02-09T00:00:00.000Z,2022-02-10T00:00:00.000Z,20140
2022-02-10T00:00:00.000Z,2022-02-11T00:00:00.000Z,28270
2022-02-11T00:00:00.000Z,2022-02-12T00:00:00.000Z,50406
2021-12-12T00:00:00.000Z,2021-12-13T00:00:00.000Z,19117
2021-12-13T00:00:00.000Z,2021-12-14T00:00:00.000Z,142300
2021-12-14T00:00:00.000Z,2021-12-15T00:00:00.000Z,157062
2021-12-15T00:00:00.000Z,2021-12-16T00:00:00.000Z,140826
2021-12-16T00:00:00.000Z,2021-12-17T00:00:00.000Z,79699
2021-12-17T00:00:00.000Z,2021-12-18T00:00:00.000Z,79116
2021-12-18T00:00:00.000Z,2021-12-19T00:00:00.000Z,57140
2021-12-19T00:00:00.000Z,2021-12-20T00:00:00.000Z,44663
2021-12-20T00:00:00.000Z,2021-12-21T00:00:00.000Z,49468
2021-12-21T00:00:00.000Z,2021-12-22T00:00:00.000Z,54334
2021-12-22T00:00:00.000Z,2021-12-23T00:00:00.000Z,66827
2021-12-23T00:00:00.000Z,2021-12-24T00:00:00.000Z,46219
2021-12-24T00:00:00.000Z,2021-12-25T00:00:00.000Z,38137
2021-12-25T00:00:00.000Z,2021-12-26T00:00:00.000Z,21802
2021-12-26T00:00:00.000Z,2021-12-27T00:00:00.000Z,22926
2021-12-27T00:00:00.000Z,2021-12-28T00:00:00.000Z,34414
2021-12-28T00:00:00.000Z,2021-12-29T00:00:00.000Z,30402
2021-12-29T00:00:00.000Z,2021-12-30T00:00:00.000Z,38443
2021-12-30T00:00:00.000Z,2021-12-31T00:00:00.000Z,30477
2021-12-31T00:00:00.000Z,2022-01-01T00:00:00.000Z,27179
2022-01-01T00:00:00.000Z,2022-01-02T00:00:00.000Z,30461
2022-01-02T00:00:00.000Z,2022-01-03T00:00:00.000Z,28577
2022-01-03T00:00:00.000Z,2022-01-04T00:00:00.000Z,26969
2022-01-04T00:00:00.000Z,2022-01-05T00:00:00.000Z,46438
