start,end,minute_count
2022-04-13T03:44:00.000Z,2022-04-13T03:45:00.000Z,62
2022-04-13T03:45:00.000Z,2022-04-13T03:46:00.000Z,69
2022-04-13T03:46:00.000Z,2022-04-13T03:47:00.000Z,72
2022-04-13T03:47:00.000Z,2022-04-13T03:48:00.000Z,65
2022-04-13T03:48:00.000Z,2022-04-13T03:49:00.000Z,80
2022-04-13T03:49:00.000Z,2022-04-13T03:50:00.000Z,63
2022-04-13T03:50:00.000Z,2022-04-13T03:51:00.000Z,62
2022-04-13T03:51:00.000Z,2022-04-13T03:52:00.000Z,73
2022-04-13T03:52:00.000Z,2022-04-13T03:53:00.000Z,78
2022-04-13T03:53:00.000Z,2022-04-13T03:54:00.000Z,69
2022-04-13T03:54:00.000Z,2022-04-13T03:55:00.000Z,63
2022-04-13T03:55:00.000Z,2022-04-13T03:56:00.000Z,68
2022-04-13T03:56:00.000Z,2022-04-13T03:57:00.000Z,56
2022-04-13T03:57:00.000Z,2022-04-13T03:58:00.000Z,71
2022-04-13T03:58:00.000Z,2022-04-13T03:59:00.000Z,74
2022-04-13T03:59:00.000Z,2022-04-13T04:00:00.000Z,64
2022-04-13T04:00:00.000Z,2022-04-13T04:01:00.000Z,62
2022-04-13T04:01:00.000Z,2022-04-13T04:02:00.000Z,59
2022-04-13T04:02:00.000Z,2022-04-13T04:03:00.000Z,54
2022-04-13T04:03:00.000Z,2022-04-13T04:04:00.000Z,59
2022-04-13T04:04:00.000Z,2022-04-13T04:05:00.000Z,65
2022-04-13T04:05:00.000Z,2022-04-13T04:06:00.000Z,58
2022-04-13T04:06:00.000Z,2022-04-13T04:07:00.000Z,62
2022-04-13T04:07:00.000Z,2022-04-13T04:08:00.000Z,72
2022-04-13T04:08:00.000Z,2022-04-13T04:09:00.000Z,62
2022-04-13T04:09:00.000Z,2022-04-13T04:10:00.000Z,64
2022-04-13T04:10:00.000Z,2022-04-13T04:11:00.000Z,71
2022-04-13T04:11:00.000Z,2022-04-13T04:12:00.000Z,54
2022-04-13T04:12:00.000Z,2022-04-13T04:13:00.000Z,54
2022-04-13T04:13:00.000Z,2022-04-13T04:14:00.000Z,60
2022-04-13T04:14:00.000Z,2022-04-13T04:15:00.000Z,55
2022-04-13T04:15:00.000Z,2022-04-13T04:16:00.000Z,62
2022-04-13T04:16:00.000Z,2022-04-13T04:17:00.000Z,67
2022-04-13T04:17:00.000Z,2022-04-13T04:18:00.000Z,55
2022-04-13T04:18:00.000Z,2022-04-13T04:19:00.000Z,59
2022-04-13T04:19:00.000Z,2022-04-13T04:20:00.000Z,58
2022-04-13T04:20:00.000Z,2022-04-13T04:21:00.000Z,59
2022-04-13T04:21:00.000Z,2022-04-13T04:22:00.000Z,60
2022-04-13T04:22:00.000Z,2022-04-13T04:23:00.000Z,58
2022-04-13T04:23:00.000Z,2022-04-13T04:24:00.000Z,60
2022-04-13T04:24:00.000Z,2022-04-13T04:25:00.000Z,65
2022-04-13T04:25:00.000Z,2022-04-13T04:26:00.000Z,57
2022-04-13T04:26:00.000Z,2022-04-13T04:27:00.000Z,54
2022-04-13T04:27:00.000Z,2022-04-13T04:28:00.000Z,50
2022-04-13T04:28:00.000Z,2022-04-13T04:29:00.000Z,61
2022-04-13T04:29:00.000Z,2022-04-13T04:30:00.000Z,55
2022-04-13T04:30:00.000Z,2022-04-13T04:31:00.000Z,69
2022-04-13T04:31:00.000Z,2022-04-13T04:32:00.000Z,51
2022-04-13T04:32:00.000Z,2022-04-13T04:33:00.000Z,56
2022-04-13T04:33:00.000Z,2022-04-13T04:34:00.000Z,65
2022-04-13T04:34:00.000Z,2022-04-13T04:35:00.000Z,52
2022-04-13T04:35:00.000Z,2022-04-13T04:36:00.000Z,55
2022-04-13T04:36:00.000Z,2022-04-13T04:37:00.000Z,52
2022-04-13T04:37:00.000Z,2022-04-13T04:38:00.000Z,55
2022-04-13T04:38:00.000Z,2022-04-13T04:39:00.000Z,49
2022-04-13T04:39:00.000Z,2022-04-13T04:40:00.000Z,52
2022-04-13T04:40:00.000Z,2022-04-13T04:41:00.000Z,43
2022-04-13T04:41:00.000Z,2022-04-13T04:42:00.000Z,49
2022-04-13T04:42:00.000Z,2022-04-13T04:43:00.000Z,51
2022-04-13T04:43:00.000Z,2022-04-13T04:44:00.000Z,49
2022-04-13T04:44:00.000Z,2022-04-13T04:45:00.000Z,49
2022-04-13T04:45:00.000Z,2022-04-13T04:46:00.000Z,67
2022-04-13T04:46:00.000Z,2022-04-13T04:47:00.000Z,51
2022-04-13T04:47:00.000Z,2022-04-13T04:48:00.000Z,48
2022-04-13T04:48:00.000Z,2022-04-13T04:49:00.000Z,54
2022-04-13T04:49:00.000Z,2022-04-13T04:50:00.000Z,37
2022-04-13T04:50:00.000Z,2022-04-13T04:51:00.000Z,63
2022-04-13T04:51:00.000Z,2022-04-13T04:52:00.000Z,49
2022-04-13T04:52:00.000Z,2022-04-13T04:53:00.000Z,46
2022-04-13T04:53:00.000Z,2022-04-13T04:54:00.000Z,60
2022-04-13T04:54:00.000Z,2022-04-13T04:55:00.000Z,57
2022-04-13T04:55:00.000Z,2022-04-13T04:56:00.000Z,59
