start,end,hour_count
2022-04-07T21:22:32.000Z,2022-04-07T22:00:00.000Z,2844
2022-04-07T22:00:00.000Z,2022-04-07T23:00:00.000Z,4015
2022-04-07T23:00:00.000Z,2022-04-08T00:00:00.000Z,4616
2022-04-08T00:00:00.000Z,2022-04-08T01:00:00.000Z,3776
2022-04-08T01:00:00.000Z,2022-04-08T02:00:00.000Z,3913
2022-04-08T02:00:00.000Z,2022-04-08T03:00:00.000Z,4494
2022-04-08T03:00:00.000Z,2022-04-08T04:00:00.000Z,3910
2022-04-08T04:00:00.000Z,2022-04-08T05:00:00.000Z,3286
2022-04-08T05:00:00.000Z,2022-04-08T06:00:00.000Z,3058
2022-04-08T06:00:00.000Z,2022-04-08T07:00:00.000Z,2738
2022-04-08T07:00:00.000Z,2022-04-08T08:00:00.000Z,2794
2022-04-08T08:00:00.000Z,2022-04-08T09:00:00.000Z,2181
2022-04-08T09:00:00.000Z,2022-04-08T10:00:00.000Z,2218
2022-04-08T10:00:00.000Z,2022-04-08T11:00:00.000Z,2756
2022-04-08T11:00:00.000Z,2022-04-08T12:00:00.000Z,3489
2022-04-08T12:00:00.000Z,2022-04-08T13:00:00.000Z,4698
2022-04-08T13:00:00.000Z,2022-04-08T14:00:00.000Z,6049
2022-04-08T14:00:00.000Z,2022-04-08T15:00:00.000Z,7574
2022-04-08T15:00:00.000Z,2022-04-08T16:00:00.000Z,7568
2022-04-08T16:00:00.000Z,2022-04-08T17:00:00.000Z,7411
2022-04-08T17:00:00.000Z,2022-04-08T18:00:00.000Z,6556
2022-04-08T18:00:00.000Z,2022-04-08T19:00:00.000Z,5676
2022-04-08T19:00:00.000Z,2022-04-08T20:00:00.000Z,5516
2022-04-08T20:00:00.000Z,2022-04-08T21:00:00.000Z,6089
2022-04-08T21:00:00.000Z,2022-04-08T22:00:00.000Z,5963
2022-04-08T22:00:00.000Z,2022-04-08T23:00:00.000Z,4878
2022-04-08T23:00:00.000Z,2022-04-09T00:00:00.000Z,4944
2022-04-09T00:00:00.000Z,2022-04-09T01:00:00.000Z,4279
2022-04-09T01:00:00.000Z,2022-04-09T02:00:00.000Z,4009
2022-04-09T02:00:00.000Z,2022-04-09T03:00:00.000Z,3793
2022-04-09T03:00:00.000Z,2022-04-09T04:00:00.000Z,3477
2022-04-09T04:00:00.000Z,2022-04-09T05:00:00.000Z,2977
2022-04-09T05:00:00.000Z,2022-04-09T06:00:00.000Z,2497
2022-04-09T06:00:00.000Z,2022-04-09T07:00:00.000Z,2096
2022-04-09T07:00:00.000Z,2022-04-09T08:00:00.000Z,2208
2022-04-09T08:00:00.000Z,2022-04-09T09:00:00.000Z,2092
2022-04-09T09:00:00.000Z,2022-04-09T10:00:00.000Z,2250
2022-04-09T10:00:00.000Z,2022-04-09T11:00:00.000Z,2709
2022-04-09T11:00:00.000Z,2022-04-09T12:00:00.000Z,3079
2022-04-09T12:00:00.000Z,2022-04-09T13:00:00.000Z,4023
2022-04-09T13:00:00.000Z,2022-04-09T14:00:00.000Z,4675
2022-04-09T14:00:00.000Z,2022-04-09T15:00:00.000Z,4971
2022-04-09T15:00:00.000Z,2022-04-09T16:00:00.000Z,5080
2022-04-09T16:00:00.000Z,2022-04-09T17:00:00.000Z,4808
