datetime,altitude,speed
2020-01-26T09:45:29,1700,153
2020-01-26T09:45:23,2050,127
2020-01-26T09:45:15,2125,110
2020-01-26T09:45:08,1950,111
2020-01-26T09:45:00,1750,115
2020-01-26T09:44:49,1525,118
2020-01-26T09:44:39,1250,131
2020-01-26T09:44:13,1250,130
2020-01-26T09:44:04,1250,130
2020-01-26T09:43:51,1225,135
2020-01-26T09:43:42,1225,136
2020-01-26T09:43:32,1200,139
2020-01-26T09:43:23,1200,142
2020-01-26T09:43:15,1225,141
2020-01-26T09:43:07,1200,142
2020-01-26T09:42:56,1200,142
2020-01-26T09:42:47,1200,142
2020-01-26T09:42:33,1175,145
2020-01-26T09:42:27,1200,145
2020-01-26T09:42:18,1125,143
2020-01-26T09:42:02,1050,138
2020-01-26T09:41:38,1075,140
2020-01-26T09:41:30,1125,139
2020-01-26T09:41:21,1150,136
2020-01-26T09:41:14,1150,134
2020-01-26T09:41:08,1150,135
2020-01-26T09:41:02,1200,134
2020-01-26T09:40:51,1175,131
2020-01-26T09:40:44,1175,128
2020-01-26T09:40:38,1175,128
2020-01-26T09:40:29,1150,125
2020-01-26T09:40:23,1200,125
2020-01-26T09:40:17,1250,125
2020-01-26T09:40:11,1300,124
2020-01-26T09:40:03,1350,120
2020-01-26T09:39:55,1325,123
2020-01-26T09:39:47,1350,127
2020-01-26T09:39:41,1400,127
2020-01-26T09:39:33,1450,127
2020-01-26T09:39:26,1450,130
2020-01-26T09:39:20,1450,133
2020-01-26T09:39:11,1475,138
2020-01-26T09:39:04,1450,139
2020-01-26T09:38:58,1400,145
2020-01-26T09:38:50,1375,150
2020-01-26T09:38:44,1325,151
2020-01-26T09:38:32,1300,153
2020-01-26T09:38:25,1275,153
2020-01-26T09:38:14,1300,151
2020-01-26T09:38:08,1325,150
2020-01-26T09:37:56,1300,145
2020-01-26T09:37:48,1300,142
2020-01-26T09:37:40,1275,138
2020-01-26T09:37:34,1300,136
2020-01-26T09:37:28,1275,136
2020-01-26T09:37:22,1250,138
2020-01-26T09:37:16,1225,139
2020-01-26T09:37:10,1200,139
2020-01-26T09:36:59,1200,138
2020-01-26T09:36:52,1175,137
2020-01-26T09:36:43,1150,139
2020-01-26T09:36:37,1125,139
2020-01-26T09:36:31,1125,139
2020-01-26T09:36:20,1125,138
2020-01-26T09:36:13,1125,137
2020-01-26T09:36:07,1100,138
2020-01-26T09:36:01,1100,137
2020-01-26T09:35:55,1100,137
2020-01-26T09:35:47,1100,135
2020-01-26T09:35:39,1125,131
2020-01-26T09:35:32,1100,130
2020-01-26T09:35:24,1050,129
2020-01-26T09:35:18,1025,130
2020-01-26T09:35:12,975,129
2020-01-26T09:35:06,925,128
2020-01-26T09:35:00,900,127
2020-01-26T09:34:49,850,126
2020-01-26T09:34:37,850,129
2020-01-26T09:34:25,850,131
2020-01-26T09:34:18,850,130
2020-01-26T09:34:07,850,132
2020-01-26T09:34:01,825,133
