"Country, Other",Cases in the last 7 days,Cases in the preceding 7 days,Weekly Case % Change,Cases in the last 7 days/1M pop,Deaths in the last 7 days,Deaths in the preceding 7 days,Weekly Death % Change,Deaths in the last 7 days/1M pop,Population
Afghanistan,1365,4003,-66,34,48,59,-19,1,40363736
Albania,2066,3429,-40,719,31,27,15,11,2872647
Algeria,2036,3687,-45,45,61,90,-32,1,45147880
Andorra,312,469,-33,4027,1,2,-50,13,77468
Angola,126,123,2,4,1,2,-50,0,34539147
Anguilla,9,61,-85,591,0,0,0,0,15222
Antigua and Barbuda,77,478,-84,776,1,3,-67,10,99258
Argentina,91073,132316,-31,1985,1102,1406,-22,24,45875348
Armenia,8683,15486,-44,2921,152,89,71,51,2972320
Aruba,105,185,-43,977,13,3,333,121,107509
Australia,163576,180050,-9,6295,311,371,-16,12,25984635
Austria,195306,215002,-9,21484,202,146,38,22,9090615
Azerbaijan,27514,44584,-38,2674,184,179,3,18,10288929
Bahamas,118,148,-20,295,4,13,-69,10,399401
Bahrain,26589,40500,-34,14785,71,13,446,39,1798332
Bangladesh,20886,43455,-52,125,136,211,-36,0.8,167377842
Barbados,1989,3237,-39,6907,12,13,-8,42,287952
Belarus,49011,55311,-11,5190,110,106,4,12,9444229
Belgium,66000,108920,-39,5654,291,388,-25,25,11672287
Belize,738,1339,-45,1802,13,2,550,32,409450
Benin,15,54,-72,1,0,0,0,0,12642957
Bermuda,177,188,-6,2859,2,2,0,32,61901
Bhutan,2446,1366,79,3114,1,1,0,1,785529
Bolivia,6013,10923,-45,504,77,151,-49,6,11933873
Bosnia and Herzegovina,4125,7680,-46,1270,231,296,-22,71,3247371
Botswana,2161,3324,-35,890,11,10,10,5,2429379
Brazil,709460,935994,-24,3299,5782,6193,-7,27,215035499
British Virgin Islands,53,158,-66,1734,1,10,-90,33,30561
Brunei,13806,5840,136,31071,7,0,700,16,444343
Bulgaria,29539,39506,-25,4304,594,645,-8,87,6862712
Burkina Faso,30,38,-21,1,0,3,-100,0,21841401
Burundi,64,265,-76,5,0,0,0,0,12470311
CAR,0,164,-100,0,0,3,-100,0,4967301
Cabo Verde,19,42,-55,34,0,2,-100,0,565881
Cambodia,3022,2074,46,177,5,0,500,0.3,17098015
Cameroon,432,999,-57,16,5,8,-38,0.2,27627556
Canada,39498,64428,-39,1032,466,733,-36,12,38284405
Caribbean Netherlands,104,187,-44,3907,0,1,-100,0,26622
Cayman Islands,1041,1753,-41,15541,1,0,100,15,66986
Chad,32,0,3200,2,0,0,0,0,17197232
