,year
1972,1
1979,2
1980,1
1981,1
1982,1
1983,4
1984,2
1985,4
1986,1
1987,2
1988,3
1989,3
1990,7
1991,4
1992,2
1993,6
1994,5
1995,3
1996,4
1997,3
1998,7
1999,6
2000,13
2001,10
2002,14
2003,22
2004,17
2005,11
2006,17
2007,25
2008,22
2009,24
2010,24
2011,26
2012,26
2013,21
2014,31
2015,43
2016,42
2017,29
2018,32
2019,28
2020,22
2021,27
2022,10
