,CauseLong
Predation,1
Infectious disease - FeLV,1
Degenerative diseases,1
Capture related,1
Malnutrition,2
Infectious disease - Other,2
Illegal kill,7
Infectious disease - Pseudorabies,12
Other,16
ISA,83
Unknown,86
Vehicular trauma,396
