start,end,day_count
2022-03-15T00:00:00.000Z,2022-03-16T00:00:00.000Z,426176
2022-03-16T00:00:00.000Z,2022-03-17T00:00:00.000Z,493862
2022-03-17T00:00:00.000Z,2022-03-18T00:00:00.000Z,323005
2022-03-18T00:00:00.000Z,2022-03-19T00:00:00.000Z,283436
2022-03-19T00:00:00.000Z,2022-03-20T00:00:00.000Z,298073
2022-03-20T00:00:00.000Z,2022-03-21T00:00:00.000Z,397231
2022-03-21T00:00:00.000Z,2022-03-22T00:00:00.000Z,328263
2022-03-22T00:00:00.000Z,2022-03-23T00:00:00.000Z,298644
2022-03-23T00:00:00.000Z,2022-03-24T00:00:00.000Z,332995
2022-03-24T00:00:00.000Z,2022-03-25T00:00:00.000Z,715412
2022-03-25T00:00:00.000Z,2022-03-26T00:00:00.000Z,443101
2022-03-26T00:00:00.000Z,2022-03-27T00:00:00.000Z,292779
2022-03-27T00:00:00.000Z,2022-03-28T00:00:00.000Z,257182
2022-03-28T00:00:00.000Z,2022-03-29T00:00:00.000Z,193195
2022-03-29T00:00:00.000Z,2022-03-30T00:00:00.000Z,204389
2022-03-30T00:00:00.000Z,2022-03-31T00:00:00.000Z,170824
2022-03-31T00:00:00.000Z,2022-04-01T00:00:00.000Z,162907
2022-04-01T00:00:00.000Z,2022-04-02T00:00:00.000Z,135524
2022-04-02T00:00:00.000Z,2022-04-03T00:00:00.000Z,136662
2022-04-03T00:00:00.000Z,2022-04-04T00:00:00.000Z,271068
2022-04-04T00:00:00.000Z,2022-04-05T00:00:00.000Z,250931
2022-04-05T00:00:00.000Z,2022-04-06T00:00:00.000Z,223493
2022-04-06T00:00:00.000Z,2022-04-07T00:00:00.000Z,265052
2022-04-07T00:00:00.000Z,2022-04-08T00:00:00.000Z,255630
2022-04-08T00:00:00.000Z,2022-04-09T00:00:00.000Z,207804
2022-04-09T00:00:00.000Z,2022-04-10T00:00:00.000Z,200550
2022-04-10T00:00:00.000Z,2022-04-11T00:00:00.000Z,217290
2022-04-11T00:00:00.000Z,2022-04-12T00:00:00.000Z,298167
2022-04-12T00:00:00.000Z,2022-04-13T00:00:00.000Z,226622
2022-04-13T00:00:00.000Z,2022-04-14T00:00:00.000Z,304920
2022-04-14T00:00:00.000Z,2022-04-14T18:59:03.000Z,233826
2022-02-12T00:00:00.000Z,2022-02-13T00:00:00.000Z,147185
2022-02-13T00:00:00.000Z,2022-02-14T00:00:00.000Z,113626
2022-02-14T00:00:00.000Z,2022-02-15T00:00:00.000Z,139994
2022-02-15T00:00:00.000Z,2022-02-16T00:00:00.000Z,137825
2022-02-16T00:00:00.000Z,2022-02-17T00:00:00.000Z,119346
2022-02-17T00:00:00.000Z,2022-02-18T00:00:00.000Z,120071
2022-02-18T00:00:00.000Z,2022-02-19T00:00:00.000Z,126726
2022-02-19T00:00:00.000Z,2022-02-20T00:00:00.000Z,162542
