start,end,day_count
2022-03-15T00:00:00.000Z,2022-03-16T00:00:00.000Z,65932
2022-03-16T00:00:00.000Z,2022-03-17T00:00:00.000Z,42433
2022-03-17T00:00:00.000Z,2022-03-18T00:00:00.000Z,39301
2022-03-18T00:00:00.000Z,2022-03-19T00:00:00.000Z,34958
2022-03-19T00:00:00.000Z,2022-03-20T00:00:00.000Z,23583
2022-03-20T00:00:00.000Z,2022-03-21T00:00:00.000Z,19857
2022-03-21T00:00:00.000Z,2022-03-22T00:00:00.000Z,23062
2022-03-22T00:00:00.000Z,2022-03-23T00:00:00.000Z,29304
2022-03-23T00:00:00.000Z,2022-03-24T00:00:00.000Z,26533
2022-03-24T00:00:00.000Z,2022-03-25T00:00:00.000Z,18410
2022-03-25T00:00:00.000Z,2022-03-26T00:00:00.000Z,30689
2022-03-26T00:00:00.000Z,2022-03-27T00:00:00.000Z,49954
2022-03-27T00:00:00.000Z,2022-03-28T00:00:00.000Z,67126
2022-03-28T00:00:00.000Z,2022-03-29T00:00:00.000Z,39405
2022-03-29T00:00:00.000Z,2022-03-30T00:00:00.000Z,22964
2022-03-30T00:00:00.000Z,2022-03-31T00:00:00.000Z,22769
2022-03-31T00:00:00.000Z,2022-04-01T00:00:00.000Z,12721
2022-04-01T00:00:00.000Z,2022-04-02T00:00:00.000Z,17309
2022-04-02T00:00:00.000Z,2022-04-03T00:00:00.000Z,15584
2022-04-03T00:00:00.000Z,2022-04-04T00:00:00.000Z,26033
2022-04-04T00:00:00.000Z,2022-04-05T00:00:00.000Z,256011
2022-04-05T00:00:00.000Z,2022-04-06T00:00:00.000Z,385590
2022-04-06T00:00:00.000Z,2022-04-07T00:00:00.000Z,194523
2022-04-07T00:00:00.000Z,2022-04-08T00:00:00.000Z,99841
2022-04-08T00:00:00.000Z,2022-04-09T00:00:00.000Z,111568
2022-04-09T00:00:00.000Z,2022-04-10T00:00:00.000Z,86309
2022-04-10T00:00:00.000Z,2022-04-11T00:00:00.000Z,95829
2022-04-11T00:00:00.000Z,2022-04-12T00:00:00.000Z,182471
2022-04-12T00:00:00.000Z,2022-04-13T00:00:00.000Z,83145
2022-04-13T00:00:00.000Z,2022-04-14T00:00:00.000Z,81340
2022-04-14T00:00:00.000Z,2022-04-14T17:43:29.000Z,529321
2022-02-12T00:00:00.000Z,2022-02-13T00:00:00.000Z,51257
2022-02-13T00:00:00.000Z,2022-02-14T00:00:00.000Z,55497
2022-02-14T00:00:00.000Z,2022-02-15T00:00:00.000Z,28406
2022-02-15T00:00:00.000Z,2022-02-16T00:00:00.000Z,36892
2022-02-16T00:00:00.000Z,2022-02-17T00:00:00.000Z,30968
2022-02-17T00:00:00.000Z,2022-02-18T00:00:00.000Z,62698
2022-02-18T00:00:00.000Z,2022-02-19T00:00:00.000Z,85577
2022-02-19T00:00:00.000Z,2022-02-20T00:00:00.000Z,39383
2022-02-20T00:00:00.000Z,2022-02-21T00:00:00.000Z,27814
2022-02-21T00:00:00.000Z,2022-02-22T00:00:00.000Z,30006
2022-02-22T00:00:00.000Z,2022-02-23T00:00:00.000Z,21270
2022-02-23T00:00:00.000Z,2022-02-24T00:00:00.000Z,34696
2022-02-24T00:00:00.000Z,2022-02-25T00:00:00.000Z,23449
2022-02-25T00:00:00.000Z,2022-02-26T00:00:00.000Z,20549
2022-02-26T00:00:00.000Z,2022-02-27T00:00:00.000Z,35745
2022-02-27T00:00:00.000Z,2022-02-28T00:00:00.000Z,140717
2022-02-28T00:00:00.000Z,2022-03-01T00:00:00.000Z,52064
2022-03-01T00:00:00.000Z,2022-03-02T00:00:00.000Z,57917
2022-03-02T00:00:00.000Z,2022-03-03T00:00:00.000Z,36418
2022-03-03T00:00:00.000Z,2022-03-04T00:00:00.000Z,44448
2022-03-04T00:00:00.000Z,2022-03-05T00:00:00.000Z,28934
2022-03-05T00:00:00.000Z,2022-03-06T00:00:00.000Z,94516
2022-03-06T00:00:00.000Z,2022-03-07T00:00:00.000Z,91338
2022-03-07T00:00:00.000Z,2022-03-08T00:00:00.000Z,41514
2022-03-08T00:00:00.000Z,2022-03-09T00:00:00.000Z,45743
2022-03-09T00:00:00.000Z,2022-03-10T00:00:00.000Z,38181
2022-03-10T00:00:00.000Z,2022-03-11T00:00:00.000Z,37529
2022-03-11T00:00:00.000Z,2022-03-12T00:00:00.000Z,28587
2022-03-12T00:00:00.000Z,2022-03-13T00:00:00.000Z,21450
2022-03-13T00:00:00.000Z,2022-03-14T00:00:00.000Z,18060
2022-03-14T00:00:00.000Z,2022-03-15T00:00:00.000Z,93389
2022-01-12T00:00:00.000Z,2022-01-13T00:00:00.000Z,11715
2022-01-13T00:00:00.000Z,2022-01-14T00:00:00.000Z,13046
2022-01-14T00:00:00.000Z,2022-01-15T00:00:00.000Z,23654
2022-01-15T00:00:00.000Z,2022-01-16T00:00:00.000Z,19922
2022-01-16T00:00:00.000Z,2022-01-17T00:00:00.000Z,29859
2022-01-17T00:00:00.000Z,2022-01-18T00:00:00.000Z,33459
2022-01-18T00:00:00.000Z,2022-01-19T00:00:00.000Z,21588
2022-01-19T00:00:00.000Z,2022-01-20T00:00:00.000Z,18191
2022-01-20T00:00:00.000Z,2022-01-21T00:00:00.000Z,17995
2022-01-21T00:00:00.000Z,2022-01-22T00:00:00.000Z,23079
2022-01-22T00:00:00.000Z,2022-01-23T00:00:00.000Z,16310
2022-01-23T00:00:00.000Z,2022-01-24T00:00:00.000Z,38105
2022-01-24T00:00:00.000Z,2022-01-25T00:00:00.000Z,29839
2022-01-25T00:00:00.000Z,2022-01-26T00:00:00.000Z,22042
2022-01-26T00:00:00.000Z,2022-01-27T00:00:00.000Z,32247
2022-01-27T00:00:00.000Z,2022-01-28T00:00:00.000Z,44345
2022-01-28T00:00:00.000Z,2022-01-29T00:00:00.000Z,123265
2022-01-29T00:00:00.000Z,2022-01-30T00:00:00.000Z,45830
2022-01-30T00:00:00.000Z,2022-01-31T00:00:00.000Z,45044
2022-01-31T00:00:00.000Z,2022-02-01T00:00:00.000Z,69379
2022-02-01T00:00:00.000Z,2022-02-02T00:00:00.000Z,38173
2022-02-02T00:00:00.000Z,2022-02-03T00:00:00.000Z,25713
2022-02-03T00:00:00.000Z,2022-02-04T00:00:00.000Z,22291
2022-02-04T00:00:00.000Z,2022-02-05T00:00:00.000Z,20079
2022-02-05T00:00:00.000Z,2022-02-06T00:00:00.000Z,49367
2022-02-06T00:00:00.000Z,2022-02-07T00:00:00.000Z,37595
2022-02-07T00:00:00.000Z,2022-02-08T00:00:00.000Z,24014
2022-02-08T00:00:00.000Z,2022-02-09T00:00:00.000Z,18747
2022-02-09T00:00:00.000Z,2022-02-10T00:00:00.000Z,20146
2022-02-10T00:00:00.000Z,2022-02-11T00:00:00.000Z,28268
2022-02-11T00:00:00.000Z,2022-02-12T00:00:00.000Z,50414
2021-12-12T00:00:00.000Z,2021-12-13T00:00:00.000Z,19111
2021-12-13T00:00:00.000Z,2021-12-14T00:00:00.000Z,142298
2021-12-14T00:00:00.000Z,2021-12-15T00:00:00.000Z,157059
2021-12-15T00:00:00.000Z,2021-12-16T00:00:00.000Z,140831
2021-12-16T00:00:00.000Z,2021-12-17T00:00:00.000Z,79699
2021-12-17T00:00:00.000Z,2021-12-18T00:00:00.000Z,79127
2021-12-18T00:00:00.000Z,2021-12-19T00:00:00.000Z,57135
2021-12-19T00:00:00.000Z,2021-12-20T00:00:00.000Z,44658
2021-12-20T00:00:00.000Z,2021-12-21T00:00:00.000Z,49470
2021-12-21T00:00:00.000Z,2021-12-22T00:00:00.000Z,54336
2021-12-22T00:00:00.000Z,2021-12-23T00:00:00.000Z,66813
2021-12-23T00:00:00.000Z,2021-12-24T00:00:00.000Z,46206
2021-12-24T00:00:00.000Z,2021-12-25T00:00:00.000Z,38138
2021-12-25T00:00:00.000Z,2021-12-26T00:00:00.000Z,21803
2021-12-26T00:00:00.000Z,2021-12-27T00:00:00.000Z,22923
2021-12-27T00:00:00.000Z,2021-12-28T00:00:00.000Z,34414
2021-12-28T00:00:00.000Z,2021-12-29T00:00:00.000Z,30405
2021-12-29T00:00:00.000Z,2021-12-30T00:00:00.000Z,38443
2021-12-30T00:00:00.000Z,2021-12-31T00:00:00.000Z,30476
2021-12-31T00:00:00.000Z,2022-01-01T00:00:00.000Z,27179
2022-01-01T00:00:00.000Z,2022-01-02T00:00:00.000Z,30464
2022-01-02T00:00:00.000Z,2022-01-03T00:00:00.000Z,28568
2022-01-03T00:00:00.000Z,2022-01-04T00:00:00.000Z,26969
2022-01-04T00:00:00.000Z,2022-01-05T00:00:00.000Z,46441
2022-01-05T00:00:00.000Z,2022-01-06T00:00:00.000Z,33506
2022-01-06T00:00:00.000Z,2022-01-07T00:00:00.000Z,18180
