Site name,Geomorphic details,Latitude,Longitude,Section of Garlock Fault,Notes,,,,,,,,,,,,,,,,,,,,,,
Feature a,Shutter ridge,34.851°,-118.820°,Western,"Vegetation, offset from term project",,,,,,,,,,,,,,,,,,,,,,
Feature b,Offset drainage,34.854°,-118.814°,Western,"Vegetation, offset from term project",,,,,,,,,,,,,,,,,,,,,,
Feature c,Shutter ridge,34.894°,-118.744°,Western,"Vegetation, offset from term project",,,,,,,,,,,,,,,,,,,,,,
Feature d,Shutter ridge,34.896°,-118.739°,Western,"Vegetation, offset from term project",,,,,,,,,,,,,,,,,,,,,,
Feature e,Offset drainage,34.903°,-118.725°,Western,"Vegetation, offset from term project",,,,,,,,,,,,,,,,,,,,,,
Feature f,Offset drainage,same as e,same as e,Western,"Vegetation, offset from term project",,,,,,,,,,,,,,,,,,,,,,
Feature g,Offset drainage,34.905°,-118.719°,Western,"Vegetation, offset from term project",,,,,,,,,,,,,,,,,,,,,,
Feature h,Shutter ridge,34.907°,-118.715°,Western,"Vegetation, offset from term project",,,,,,,,,,,,,,,,,,,,,,
Feature i,Abandoned channel,34.988°,-118.502°,Western,"Vegetation, offset from term project",,,,,,,,,,,,,,,,,,,,,,
Feature j,Abandoned channel,34.990°,-118.495°,Western,"Vegetation, offset from term project, house nearby",,,,,,,,,,,,,,,,,,,,,,
Feature k,Offset fan,35.024°,-118.420°,Western,"Vegetation, offset from term project",,,,,,,,,,,,,,,,,,,,,,
Feature l,Offset drainage,35.189°,-118.112°,Western,offset from term project,,,,,,,,,,,,,,,,,,,,,,
Oak Creek Canyon,Multiple drainage offsets, 35.038719°,-118.392024°,Western,"offset from term project, on/near wind farm",,,,,,,,,,,,,,,,,,,,,,
Clark Wash,Offset drainage, 35.206083°,-118.088695°,Central,McGill et al. (2009),,,,,,,,,,,,,,,,,,,,,,
Site 449100,Offset drainage/terrace, 35.478960°,-117.560440°,Central,Ganev et al. (2012),,,,,,,,,,,,,,,,,,,,,,
Summit Range East 175 m (SRE),Offset terrace, 35.485096°,-117.534051°,Central,,,,,,,,,,,,,,,,,,,,,,,
Summit Range East 39.5 m (SRE),Offset drainage/fan, 35.485993°,-117.529554°,Central,Fougere et al. (202?),,,,,,,,,,,,,,,,,,,,,,
Christmas Canyon West,Offset terrace, 35.521300°,-117.383000°,Central,Dolan et al. (2016),,,,,,,,,,,,,,,,,,,,,,
Searles Lake Shoreline,Offset shoreline and riser, 35.548314°,-117.256579°,Central,McGill and Sieh (1993),,,,,,,,,,,,,,,,,,,,,,
Pilot Knob Valley 30-50 m (PKV),Shutter ridge, 35.560047°,-117.202696°,Central,Ritasse et al. (2014),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
