start,end,day_count
2022-03-15T00:00:00.000Z,2022-03-16T00:00:00.000Z,524391
2022-03-16T00:00:00.000Z,2022-03-17T00:00:00.000Z,574599
2022-03-17T00:00:00.000Z,2022-03-18T00:00:00.000Z,595870
2022-03-18T00:00:00.000Z,2022-03-19T00:00:00.000Z,644727
2022-03-19T00:00:00.000Z,2022-03-20T00:00:00.000Z,517202
2022-03-20T00:00:00.000Z,2022-03-21T00:00:00.000Z,543886
2022-03-21T00:00:00.000Z,2022-03-22T00:00:00.000Z,495254
2022-03-22T00:00:00.000Z,2022-03-23T00:00:00.000Z,485208
2022-03-23T00:00:00.000Z,2022-03-24T00:00:00.000Z,474722
2022-03-24T00:00:00.000Z,2022-03-25T00:00:00.000Z,789762
2022-03-25T00:00:00.000Z,2022-03-26T00:00:00.000Z,717897
2022-03-26T00:00:00.000Z,2022-03-27T00:00:00.000Z,540637
2022-03-27T00:00:00.000Z,2022-03-28T00:00:00.000Z,740898
2022-03-28T00:00:00.000Z,2022-03-29T00:00:00.000Z,671139
2022-03-29T00:00:00.000Z,2022-03-30T00:00:00.000Z,1023006
2022-03-30T00:00:00.000Z,2022-03-31T00:00:00.000Z,1144955
2022-03-31T00:00:00.000Z,2022-04-01T00:00:00.000Z,774013
2022-04-01T00:00:00.000Z,2022-04-02T00:00:00.000Z,528931
2022-04-02T00:00:00.000Z,2022-04-03T00:00:00.000Z,459376
2022-04-03T00:00:00.000Z,2022-04-04T00:00:00.000Z,659085
2022-04-04T00:00:00.000Z,2022-04-05T00:00:00.000Z,598390
2022-04-05T00:00:00.000Z,2022-04-06T00:00:00.000Z,638112
2022-04-06T00:00:00.000Z,2022-04-07T00:00:00.000Z,589594
2022-04-07T00:00:00.000Z,2022-04-08T00:00:00.000Z,582333
2022-04-08T00:00:00.000Z,2022-04-09T00:00:00.000Z,651855
2022-04-09T00:00:00.000Z,2022-04-10T00:00:00.000Z,592517
2022-04-10T00:00:00.000Z,2022-04-11T00:00:00.000Z,661054
2022-04-11T00:00:00.000Z,2022-04-12T00:00:00.000Z,585050
2022-04-12T00:00:00.000Z,2022-04-13T00:00:00.000Z,566982
2022-04-13T00:00:00.000Z,2022-04-14T00:00:00.000Z,529623
2022-04-14T00:00:00.000Z,2022-04-14T18:21:34.000Z,428046
2022-02-12T00:00:00.000Z,2022-02-13T00:00:00.000Z,576592
2022-02-13T00:00:00.000Z,2022-02-14T00:00:00.000Z,980438
2022-02-14T00:00:00.000Z,2022-02-15T00:00:00.000Z,719357
2022-02-15T00:00:00.000Z,2022-02-16T00:00:00.000Z,926638
2022-02-16T00:00:00.000Z,2022-02-17T00:00:00.000Z,687898
2022-02-17T00:00:00.000Z,2022-02-18T00:00:00.000Z,734749
2022-02-18T00:00:00.000Z,2022-02-19T00:00:00.000Z,777425
2022-02-19T00:00:00.000Z,2022-02-20T00:00:00.000Z,632526
2022-02-20T00:00:00.000Z,2022-02-21T00:00:00.000Z,486208
2022-02-21T00:00:00.000Z,2022-02-22T00:00:00.000Z,638060
2022-02-22T00:00:00.000Z,2022-02-23T00:00:00.000Z,897422
2022-02-23T00:00:00.000Z,2022-02-24T00:00:00.000Z,1052850
2022-02-24T00:00:00.000Z,2022-02-25T00:00:00.000Z,1906662
2022-02-25T00:00:00.000Z,2022-02-26T00:00:00.000Z,1259657
2022-02-26T00:00:00.000Z,2022-02-27T00:00:00.000Z,1181620
