date,time,timestamp,altitude,speed,direction,latitude,longitude,geometry,flight
2022-03-21,02:10:42,1647828642,2025,157,17,29.745804,106.672333,POINT (106.672333 29.745804),China Eastern Airlines Flight 5735
2022-03-21,02:10:48,1647828648,2225,161,17,29.750061,106.673866,POINT (106.673866 29.750061),China Eastern Airlines Flight 5735
2022-03-21,02:10:54,1647828654,2425,165,19,29.754364,106.675552,POINT (106.675552 29.754364),China Eastern Airlines Flight 5735
2022-03-21,02:10:57,1647828657,2550,166,23,29.756378,106.676506,POINT (106.676506 29.756378),China Eastern Airlines Flight 5735
2022-03-21,02:11:00,1647828660,2650,166,26,29.758425,106.677734,POINT (106.677734 29.758425),China Eastern Airlines Flight 5735
2022-03-21,02:11:03,1647828663,2775,167,30,29.760406,106.679092,POINT (106.679092 29.760406),China Eastern Airlines Flight 5735
2022-03-21,02:11:09,1647828669,3025,168,36,29.764206,106.682213,POINT (106.682213 29.764206),China Eastern Airlines Flight 5735
2022-03-21,02:11:12,1647828672,3150,169,39,29.7659,106.683792,POINT (106.683792 29.7659),China Eastern Airlines Flight 5735
2022-03-21,02:11:16,1647828676,3275,169,40,29.76828,106.686172,POINT (106.686172 29.76828),China Eastern Airlines Flight 5735
2022-03-21,02:11:18,1647828678,3400,169,40,29.769928,106.687813,POINT (106.687813 29.769928),China Eastern Airlines Flight 5735
2022-03-21,02:11:21,1647828681,3475,169,40,29.771118,106.688972,POINT (106.688972 29.771118),China Eastern Airlines Flight 5735
2022-03-21,02:11:24,1647828684,3600,169,39,29.773415,106.691193,POINT (106.691193 29.773415),China Eastern Airlines Flight 5735
2022-03-21,02:11:27,1647828687,3700,169,39,29.775284,106.692879,POINT (106.692879 29.775284),China Eastern Airlines Flight 5735
2022-03-21,02:11:30,1647828690,3825,170,35,29.777231,106.694481,POINT (106.694481 29.777231),China Eastern Airlines Flight 5735
2022-03-21,02:11:37,1647828697,4025,172,31,29.781282,106.697388,POINT (106.697388 29.781282),China Eastern Airlines Flight 5735
2022-03-21,02:11:39,1647828699,4125,174,31,29.78319,106.69873,POINT (106.69873 29.78319),China Eastern Airlines Flight 5735
2022-03-21,02:11:43,1647828703,4250,174,30,29.785984,106.700623,POINT (106.700623 29.785984),China Eastern Airlines Flight 5735
2022-03-21,02:11:46,1647828706,4375,175,31,29.788055,106.702072,POINT (106.702072 29.788055),China Eastern Airlines Flight 5735
2022-03-21,02:11:49,1647828709,4475,175,31,29.790174,106.703583,POINT (106.703583 29.790174),China Eastern Airlines Flight 5735
2022-03-21,02:11:52,1647828712,4575,177,31,29.79213,106.704926,POINT (106.704926 29.79213),China Eastern Airlines Flight 5735
2022-03-21,02:11:55,1647828715,4675,177,31,29.794085,106.706329,POINT (106.706329 29.794085),China Eastern Airlines Flight 5735
2022-03-21,02:12:01,1647828721,4825,181,31,29.799088,106.709938,POINT (106.709938 29.799088),China Eastern Airlines Flight 5735
2022-03-21,02:12:07,1647828727,4925,190,31,29.80344,106.713005,POINT (106.713005 29.80344),China Eastern Airlines Flight 5735
2022-03-21,02:12:25,1647828745,5250,220,31,29.817919,106.723343,POINT (106.723343 29.817919),China Eastern Airlines Flight 5735
2022-03-21,02:12:40,1647828760,5500,242,31,29.830395,106.732178,POINT (106.732178 29.830395),China Eastern Airlines Flight 5735
2022-03-21,02:13:03,1647828783,6250,262,31,29.854229,106.748978,POINT (106.748978 29.854229),China Eastern Airlines Flight 5735
2022-03-21,02:13:31,1647828811,7350,279,34,29.884369,106.770416,POINT (106.770416 29.884369),China Eastern Airlines Flight 5735
2022-03-21,02:13:39,1647828819,7775,281,48,29.89282,106.779625,POINT (106.779625 29.89282),China Eastern Airlines Flight 5735
2022-03-21,02:13:43,1647828823,7950,281,53,29.895401,106.783676,POINT (106.783676 29.895401),China Eastern Airlines Flight 5735
2022-03-21,02:13:46,1647828826,8075,280,57,29.89743,106.787483,POINT (106.787483 29.89743),China Eastern Airlines Flight 5735
2022-03-21,02:13:49,1647828829,8200,282,61,29.899105,106.791199,POINT (106.791199 29.899105),China Eastern Airlines Flight 5735
2022-03-21,02:13:51,1647828831,8325,282,66,29.900549,106.795082,POINT (106.795082 29.900549),China Eastern Airlines Flight 5735
2022-03-21,02:13:55,1647828835,8450,283,69,29.902039,106.800194,POINT (106.800194 29.902039),China Eastern Airlines Flight 5735
2022-03-21,02:13:56,1647828836,8500,284,73,29.902597,106.802513,POINT (106.802513 29.902597),China Eastern Airlines Flight 5735
2022-03-21,02:14:01,1647828841,8675,284,74,29.903435,106.807899,POINT (106.807899 29.903435),China Eastern Airlines Flight 5735
2022-03-21,02:14:04,1647828844,8825,285,86,29.903824,106.812408,POINT (106.812408 29.903824),China Eastern Airlines Flight 5735
2022-03-21,02:14:07,1647828847,8925,285,91,29.903761,106.818779,POINT (106.818779 29.903761),China Eastern Airlines Flight 5735
2022-03-21,02:14:10,1647828850,9075,285,95,29.903366,106.823288,POINT (106.823288 29.903366),China Eastern Airlines Flight 5735
2022-03-21,02:14:13,1647828853,9175,284,100,29.902597,106.827766,POINT (106.827766 29.902597),China Eastern Airlines Flight 5735
2022-03-21,02:14:16,1647828856,9300,286,103,29.901627,106.832161,POINT (106.832161 29.901627),China Eastern Airlines Flight 5735
2022-03-21,02:14:20,1647828860,9450,284,107,29.900345,106.836815,POINT (106.836815 29.900345),China Eastern Airlines Flight 5735
